text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc
mājtəŋ	майтыӈ	mājtəŋ	mājtəŋ	A		17	3	4	amod														
palite	палите	palite	palit	N-sl3		17	4	5	obj							Lit. ʺat its sideʺ. Kálmán: <i>mājtəŋ palite</i>, lit. 'mane of its liver', denotes the dorsal fin of the fish.							
nōŋχ-χasartᵘmane,	ноӈx-xасартумане,	nōŋx-xasartumane	nōŋx-xasarti	Vdra3sp		17	5	0	root							Verbal moods (pos. 3):<br/>i - indicative<br/>m - imperative<br/>n - infinitive<br/>r - narrative<br/>o - conditional-optative<br/>Precative forms (e.g. <i>totikem</i> 'I bring something [with love]') are not attested in this text, but, in spite of Kálmán (1965:54), I would rather consider it a derivational category (as in Riese 2001:59)							
																							
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		18	1	2	advmod				and now it pricked them.			Forms <i>ań-maləŋ</i> and <i>-manəŋ</i> are considered equal by Kálmán.							
pēləliane.	пелылиане.	pēləliane	pēləli	Vdia3sp		18	2	0	root														
																							
tuwl	тувл	tuwl	tuwəl	R		19	1	4	advmod				then I did not hunt anymore (?).										
at-	ат-	at	at	Qz		19	2	4	advmod														
ta	та	ta	ta	Pd		19	3	4	obj														
kissᵘm.	киссум.	kissum	kinsi	Vmia1s		19	4	0	root					1									
																							
tāl	тал	tāl	tāl	N-sn		20	1	2	nsubj				Winter began,			Kálmán: a set phrase.							
wārs,	варс,	wārs	wāri	Vmia3s		20	2	0	root														
																							
ta	та	ta	ta	Pd		21	1	2	advmod				so I went hunting again.										
kissᵘm.	киссум.	kissum	kinsi	Vmia1s		21	2	0	root														
																							
tēli	тели	tēli	tāl	N-sl		22	1	3	advmod				I went far in the winter.										
χosan	xосан	xosan	xosa	R	N-sd	22	2	3	advmod														
minasum.	минасум.	minasum	mini	Vmia1s		22	3	0	root														
																							
χolitan	xолитан	xolitan	xolit	R	N-sd	23	1	3	advmod				Tomorrow the stoves will be heated up.										
kūrt	курт	kūrt	kūr	N-sl		23	2	3	nsubj														
nōŋχ-pāltawet,	ноӈx-палтавет,	nōŋx-pāltawet	nōŋx-pālti	Vmip3p-p		23	3	0	root							Unless indicated by a ʺpʺ at the pos. 6 of the tag, the verb is considered active per default.							
																							
tūpəl-ūs	тупыл-ус	tūpəl-ūs	Tūpəl-ūs	N-sn		24	1	5	nsubj				Tobolsk stands in smoke as in a trunk.										
posimət	посимыт	posimət	posim	N-sl		24	2	5	obl	loc													
jar	яр	jar	jar	C		24	3	4	mark														
āŋkwalət	аӈквалыт	āŋkwalət	āŋkwal	N-sl		24	4	5	advcl														
ľūľentēɣet.	люлентегет.	ľūľentēɣet	ľūľenti	Vmip3p		24	5	0	root														
																							
tuw	тув	tuw	tuw	Pr		25	1	2	advmod				There we moved,										
iləlaχtəltəsuw;	илылаxтылтысув;	iləlaxtəltəsuw	ilxatenti	Vmia1p		25	2	0	root														
																							
man	ман	man	man	C		26	1	2	cc				or we will move (?).										
ilχatentew.	илxатентев.	ilxatentew	ilxatenti	Vmip1p		26	2	0	root														
																							
kit	кит	kit	kit	Ml		27	1	2	amod	det			From both sides, the cuckoos were singing, (so strong?) as if dogs were barking.										
pālnəl	палныл	pālnəl	pāl	N-sb		27	2	4	obl	abl													
kukkukət	куккукыт	kukkukət	kukkuk	N-pn		27	3	4	nsubj														
lujɣentēɣət,	луйгентегыт,	lujɣentēɣət	lujɣenti	Vmip3p		27	4	0	root														
jar	яр	jar	jar	C		27	5	7	mark														
āmpət	ампыт	āmpət	āmp	N-pn		27	6	7	nsubj														
ūtentēɣət.	утентегыт.	ūtentēɣət	ūtenti	Vmip3p		27	7	4	advcl					1									
																							
tuwəl	тувыл	tuwəl	tuwəl	R		28	1	2	advmod				Then we came back,										
juw-iləlaχtsew,	юв-илылаxтсев,	juw-iləlaxtsew	juw-ilxatenti	Vmia1p		28	2	0	root														
																							
χūlpᵘmn	xулпумн	xūlpumn	xūlp	N-sd1		29	1	2	obl				I went for my fishing net.										
minasᵘm.	минасум.	minasum	mini	Vmia1s		29	2	0	root														
																							
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		30	1	5	advmod				And now the entire fish would be entangled and rotten,										
akw	акв	akw	akw	Ml		30	2	4	amod	det						Fixed phrase: <i>akw samtal</i> lit. 'one whole'.							
samtal	самтал	samtal	samtal	R		30	3	2	fixed														
χūln	xулн	xūln	xūl	N-sd		30	4	5	nsubj							The lative-dative case ending usually marks agents of passive sentences (Kálmán 1965:35, Riese 2001:25 or 52), but here its function is somewhat unclear.							
pēri̮ɣlimat,	периглимат,	pēriɣlimat	pēriɣli	Vmra3p-p		30	5	0	root														
χot-sajimat,	xот-сайимат,	xot-sajimat	xot-saji	Vmra3p-p		30	6	5	conj														
																							
uś	ущ	uś	uś	R		31	1	4	advmod				(and) already only its side bones are laying (lit. standing) there.										
akw	акв	akw	akw	Ml		31	2	3	amod														
pōχ-lusᵘmane	поx-лусумане	pōx-lusumane	pōx-lusam	N-pn3		31	3	4	nsubj														
ľūľentēɣət.	люлентегыт.	ľūľentēɣət	ľūľenti	Vmip3p		31	4	0	root					1									
																							
saχ	саx	sax	sax	A		32	1	2	amod				I rowed home on a sunny day.										
χōtal	xотал	xōtal	xōtal	N-sn		32	2	3	advmod														
juw-towentēɣum.	юв-товентегум.	juw-towentēɣum	juw-towenti	Vmip1s		32	3	0	root														
																							
χōntsᵘm,	xонтсум,	xōntsum	xōnti	Vmia1s		33	1	0	root				And now, I saw a diving bird, having arisen ashore, to lie about, falling asleep.										
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		33	2	7	advmod														
ńāltᵘp	нялтуп	ńāltup	ńāltup	N-sn		33	3	1	obj														
pā-	па-	pā	pā	R		33	4	5	advmod														
kwālᵘm	квалум	kwālum	kwāli	Vmpa--m		33	5	3	acl							Cf. Riese 2001:68 for the functions of the m-participle.							
χujenti	xуйенти	xujenti	xujenti	Vmip3s	Vmpp--i	33	6	5	conj							Lit. 'the diving bird lays about, falling down (into) sleep'. The ending -<i>i</i> can be interpreted both as a 3sg.prs or as an archaic i-participle, but in the latter function it seems to be used following the subjet noun (e.g. <i>lujɣi kukuk</i> 'singing cuckoo', Riese 2001:66).							
jol-ojima.	йол-ойима.	jol-ojima	jol-oji	Vmrp3s		33	7	6	conj							The suffix -<i>ima</i>- is basically a gerund denoting manner or state (Riese 2001:69), but it also forms past narrative passive forms (ibid. 53).							
																							
am	ам	am	am	Pp1-sn		34	1	4	nsubj				I rowed slowly (to) this.										
akw-śikwəl	акв-щиквыл	akw-śikwəl	akw-śikwəl	R		34	2	4	advmod														
ti	ти	ti	ti	Pd		34	3	4	obl	lat													
towaślasᵘm.	товащласум.	towaślasum	towaśli	Vmia1s		34	4	0	root														
																							
taw	тав	taw	taw	Pp3-sn		35	1	3	nsubj				It jumped into the water.										
witn	витн	witn	wit	N-sd		35	2	3	obl	lat													
lakwaltəs.	лаквалтыс.	lakwaltəs	lakwalti	Vmia3s		35	3	0	root														
																							
nalᵘm-pātrāli,	налум-патрали,	nalum-pātrāli	nalum-pātrāli	Vmip3s		36	1	0	root				It dives,										
																							
nēɣləli,	неглыли,	nēɣləli	nēɣlali	Vmip3s		37	1	0	root				it emerges,										
																							
am	ам	am	am	Pp1-sn		38	1	2	nsubj				I rowed there.										
tuw-towli̮ɣtasᵘm,	тув-товлигтасум,	tuw-towliɣtasum	tuw-towliɣti	Vmia1s		38	2	0	root														
																							
nōŋχ	ноӈx	nōŋx	nōŋx	N-sn		39	1	3	obj				I caught the top (of) this,										
ti	ти	ti	ti	Pd		39	2	1	det														
pūɣaslᵘm,	пугаслум,	pūɣaslum	pūwi	Vdia1ss		39	3	0	root														
																							
tarwitəŋ,	тарвитыӈ,	tarwitəŋ	tarwitəŋ	A		40	1	0	root				(it was) heavy,										
																							
χotam-soχ	xотам-соx	xotam-sox	xotam-sox	R		41	1	3	advmod				(but) somehow I lifted the top.										
nōŋχ-	ноӈx-	nōŋx	nōŋx	N-sn		41	2	3	obj														
pattaslᵘm.	паттаслум.	pattaslum	patti	Vdia1ss		41	3	0	root					1									
																							
ti	ти	ti	ti	Pd		42	1	4	obj				Then I saw this:										
am	ам	am	am	Pp1-sn		42	2	4	nsubj														
koss	косс	koss	kos	C		42	3	4	cc														
χōntilᵘm:	xонтилум:	xōntilum	xōnti	Vdip1ss		42	4	0	root														
																							
wōj	вой	wōj	wōj	N-sn		43	1	3	obj				I made fat (out of it),										
am	ам	am	am	Pp1-sn		43	2	3	nsubj														
wāslᵘm,	васлум,	wāslum	wāri	Vdia1ss		43	3	0	root							Shortened <i>wāraslum</i>? Or from <i>wāɣ</i> 'to see, know'?							
																							
punəŋ-taɣəl	пуныӈ-тагыл	punəŋ-taɣəl	punəŋ-taɣəl	A	N-si	44	1	4	obl				I cut through the feathers,										
ūltta	ултта	ūltta	ūltta	S		44	2	1	case														
supi̮ɣ	супыг	supiɣ	supiɣ	S	N-st	44	3	2	fixed														
samaslᵘm:	самаслум:	samaslum	sami	Vdia1ss		44	4	0	root														
																							
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		45	1	4	advmod				and now the feathers fell into pieces.										
punane	пунане	punane	pun	N-pn3		45	2	4	nsubj														
rawi̮ɣ	равиг	rawiɣ	raw	N-st		45	3	4	obl														
jēmteɣət.	йемтегыт.	jēmteɣət	jēmti	Vmip3p		45	4	0	root														
																							
nal	нал	nal	nal	R		46	1	3	advmod				I put it into the water.										
ti	ти	ti	ti	Pd		46	2	3	obj														
wāraslᵘm.	вараслум.	wāraslum	wāri	Vdia1ss		46	3	0	root														
																							
ti	ти	ti	ti	Pd		47	1	6	nsubj				This filled (?) my seven buckets (with) fat.										
ānum	анум	ānum	am	Pp1-sa		47	2	4	nmod	poss						The 1sg.acc <i>anum</i> is used likely as an adnominal possessive attribute (cf. Kálmán 1965:34). According to Riese (2001:66), possessive constructions involving two (and more) words ʺusuallyʺ include a possessive suffix.							
sāt	сат	sāt	sāt	Ml		47	3	4	nummod														
pētər	петыр	pētər	pētər	N-sn		47	4	6	obj														
wōj	вой	wōj	wōj	N-sn		47	5	4	nmod														
tēləs.	телыс.	tēləs	tēli	Vmia3s		47	6	0	root														
																							
χotaľ	xоталь	xotaľ	xotaľ	Pq		48	1	2	advmod				Now, I don't have place where to put the vessels!										
punuŋkwe	пунуӈкве	punuŋkwe	puni	Vmn		48	2	5	advcl	lat													
tas	тас	tas	tas	N-sn		48	3	5	obl	loc													
at	ат	at	at	Qz		48	4	5	advmod														
ōńśeɣᵘm.	оньщегум.	ōńśeɣum	ōńśi	Vmip1si		48	5	0	root														
																							
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		49	1	2	advmod				And now my boat is like an intact cup.										
χāpᵘm	xапум	xāpum	xāp	N-sn1		49	2	0	root														
jar	яр	jar	jar	C		49	3	5	mark														
mostal	мостал	mostal	mostal	A		49	4	5	amod														
āna.	ана.	āna	āna	N-sn		49	5	2	advcl	pred													
																							
am	ам	am	am	Pp1-sn		50	1	6	nsubj				I took this seven buckets of fat,										
ti	ти	ti	ti	Pd		50	2	4	det														
sāt	сат	sāt	sāt	Ml		50	3	4	nummod														
pētər	петыр	pētər	pētər	N-sn		50	4	6	obj														
wōj	вой	wōj	wōj	N-sn		50	5	4	nmod														
wislᵘm,	вислум,	wislum	wiɣ	Vdia1ss		50	6	0	root														
																							
χāp	xап	xāp	xāp	N-sn		51	1	3	obl	lat			I poured it into the boat,										
kiwərn	кивырн	kiwərn	kiwər	S	N-sd	51	2	1	case														
sōsaslum.	сосаслум.	sōsaslum	sōsi	Vdia1ss		51	3	0	root														
																							
tuwl-	тувл-	tuwl	tuwəl	R		52	1	4	advmod				then I rowed thus.										
uil	уил	uil	uil	R		52	2	4	advmod														
ti	ти	ti	ti	Pd		52	3	2	det														
towentasᵘm;	товентасум;	towentasum	towenti	Vmia1s		52	4	0	root														
																							
uś	ущ	uś	uś	R		53	1	4	advmod				Somehow I was nearly brought home.										
koləŋ-mān	колыӈ-ман	koləŋ-mān	koləŋ-mā	N-sd		53	2	4	obl	lat													
χotam	xотам	xotam	xotam	R		53	3	4	advmod														
juw-totilᵘm.	юв-тотилум.	juw-totilum	juw-toti	Vdip1ss		53	4	0	root					1									
																							
mat	мат	mat	mat	Pi		54	1	5	nsubj				And now something was out of the pouch for flint.										
uľa-χuri̮ɣ	уля-xуриг	uľa-xuriɣ	uľa-xuriɣ	N-sn		54	2	5	obl	loc													
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		54	3	5	advmod														
konit	конит	konit	kon	S	N-sl	54	4	2	case														
ōls.	олс.	ōls	ōli	Vmia3s		54	5	0	root														
																							
ēntap-kwāli̮ɣt	ентап-квалигт	ēntap-kwāliɣt	ēntap-kwāliɣ	N-sl		55	1	6	obj				I hanged the flint on the edge of the boat.										
uľa-	уля-	uľa	uľa	N-sn		55	2	3	nmod														
kēr	кер	kēr	kēr	N-sn		55	3	1	nmod														
χāp-	xап-	xāp	xāp	N-sn		55	4	5	nmod	poss													
χūrt	xурт	xūrt	xūr	N-sl		55	5	6	obl	loc													
kon-taɣataχtᵘm.	кон-тагатаxтум.	kon-taɣataxtum	kon-taɣataxti	Vmpa--m		55	6	0	root														
																							
jani̮ɣ	яниг	janiɣ	janiɣ	A		56	1	2	amod				A big pike jumped (for) this,										
sort	сорт	sort	sort	N-sn		56	2	4	nsubj														
ti	ти	ti	ti	Pd		56	3	4	obj														
lakwalti,	лаквалти,	lakwalti	lakwalti	Vmip3s		56	4	0	root														
																							
ań	ань	ań	ań	R		57	1	4	advmod				and now it snatched towards this pouch.										
uľa-χuri̮ɣn	уля-xуригн	uľa-xuriɣn	uľa-xuriɣ	N-sd		57	2	4	obl	lat													
ti	ти	ti	ti	Pd		57	3	2	det														
sēltaχti.	селтаxти.	sēltaxti	sēltaxti	Vmip3s		57	4	0	root														
																							
ań	ань	ań	ań	R		58	1	4	advmod				I get scared (by) that,										
am	ам	am	am	Pp1-sn		58	2	4	nsubj														
ta	та	ta	ta	Pd		58	3	4	obl	abl													
roχtēɣᵘm;	роxтегум;	roxtēɣum	roxti	Vmip1s		58	4	0	root														
																							
roχtᵘmamtəl	роxтумамтыл	roxtumamtəl	roxti	Vmpa--t	N-si1	59	1	3	advcl				and, by being frightened, I capsized.										
χomi-	xоми-	xomi	xomi	R		59	2	3	advmod														
rowtlaχtsᵘm.	ровтлаxтсум.	rowtlaxtsum	rowtlaxt	Vmia1s		59	3	0	root														
																							
ań	ань	ań	ań	R		60	1	6	advmod				Now, the seven buckets of oil spilled down (into the water).										
sāt	сат	sāt	sāt	Ml		60	2	3	nummod														
pētər	петыр	pētər	pētər	N-sn		60	3	6	nsubj														
wōj	вой	wōj	wōj	N-sn		60	4	3	nmod														
χomi-	xоми-	xomi	xomi	R		60	5	6	advmod														
towlaχtəs,	товлаxтыс,	towlaxtəs	towlaxti	Vmia3s		60	6	0	root														
																							
jā	я	jā	jā	N-sn		61	1	2	nmod	poss			The river side flew with fat.										
pāle	пале	pāle	pāl	N-sn3		61	2	4	nsubj														
wōjəl	войыл	wōjəl	wōj	N-si		61	3	4	obl														
ōwmals.	овмалс.	ōwmals	ōwmali	Vmia3s		61	4	0	root														
																							
śuń	щунь	śuń	śuń	N-sn		62	1	2	obj				I found the riches, took (it), and spilled (it) away.			Technically, the sentence could be split into three separate ones, but as it shares the object, it makes more sense thus.							
χōnti̮ɣlasᵘm,	xонтигласум,	xōntiɣlasum	xōnti	Vdia1ss		62	2	0	root														
wislᵘm,	вислум,	wislum	wiɣ	Vdia1ss		62	3	2	conj														
χomi-	xоми-	xomi	xomi	R		62	4	5	advmod														
sōsaslᵘm.	сосаслум.	sōsaslum	sōsi	Vdia1ss		62	5	3	conj					2									
																							
χotaľ	xоталь	xotaľ	xotaľ	Pq		63	1	2	obl	lat	73	/img/other/man2.png	Where (would) I jump?										
lakwaltēɣᵘm?!	лаквалтегум?!	lakwaltēɣum	lakwalti	Vmip3s		63	2	0	root														
																							
tēne	тене	tēne	tēne	N-sn	Vmpp	64	1	2	nmod				There is nothing to eat.		A ptcp.prs of <i>tē-</i> 'to eat'. Lit. 'something to eat did not become (appear)'.								
matər	матыр	matər	matər	Pi		64	2	4	obj														
at	ат	at	at	Qz		64	3	4	advmod														
jēmtəs.	йемтыс.	jēmtəs	jēmti	Vmia3s		64	4	0	root														
																							
ań-mōnt	ань-монт	ań-mōnt	ań-mōnt	R		65	1	3	advmod				Before that I was hunting,										
kinsim	кинсим	kinsim	kinsi	Vmpa--m		65	2	3	advcl							Riese (2001:68) considers participles ending in -<i>im</i> a separate class, used mostly in passive meaning. This instance could be a common m-ptcp. too, if we consider <i>kinsi</i> an irregular verb.							
ōlsᵘm,	олсум,	ōlsum	ōli	Vmia3s		65	3	0	root														
																							
ōs	ос	ōs	ōs	C		66	1	4	cc				so I went to the forest.										
wōrn	ворн	wōrn	wōr	N-sd		66	2	4	obl	lat													
ti	ти	ti	ti	Pd		66	3	2	det														
jōmentasᵘm.	йоментасум.	jōmentasum	jōmanti	Vmia1s		66	4	0	root														
																							
ak-mat-ērt	ак-мат-ерт	ak-mat-ērt	akw-mat-ērt	R		67	1	3	advmod				Suddenly my dog began to bark.										
ām-pᵘm	ам-пум	ām-pum	āmp	N-sn1		67	2	3	nsubj														
χorti,	xорти,	xorti	xorti	Vmip3s		67	3	0	root														
sujti.	суйти.	sujti	sujti	Vmip3s		67	4	3	conj														
																							
am	ам	am	am	Pp1-sn		68	1	4	nsubj				I ran there,										
tuw	тув	tuw	tuw	Pr		68	2	4	advmod														
ti	ти	ti	ti	Pd		68	3	2	det														
χājtsᵘm,	xайтсум,	xājtsum	xājti	Vmia1s		68	4	0	root														
																							
tuw	тув	tuw	tuw	Pr		69	1	2	advmod				(and) I appeared there (to this):										
nēɣlasᵘm:	негласум:	nēɣlasum	nēɣli	Vmia1s		69	2	0	root														
																							
ań-manəŋ	ань-маныӈ	ań-manəŋ	ań-manəŋ	R		70	1	8	advmod				And now, seven elks stand on one foot.										
sāt	сат	sāt	sāt	Ml		70	2	3	nummod														
sōrp	сорп	sōrp	sōrp	N-sn		70	3	8	nsubj														
akw	акв	akw	akw	Ml		70	4	5	nummod														
lāɣl-	лагл-	lāɣl	lāɣl	N-sn		70	5	6	nmod														
pāl-	пал-	pāl	pāl	N-sn		70	6	8	obl	loc													
tarməl	тармыл	tarməl	tarməl	S		70	7	6	case														
ľūľentēɣet.	люлентегет.	ľūľentēɣet	ľūľi	Vmia3p		70	8	0	root					1									
																							
am	ам	am	am	Pp1-sn		71	1	5	nsubj				I move slowly close to it,										
ālaɣ	алаг	ālaɣ	āla	R		71	2	5	advmod														
tuw	тув	tuw	tuw	Pr		71	3	5	advmod														
ti	ти	ti	ti	Pd		71	4	3	det														
lakwχatēɣᵘm,	лаквxатегум,	lakwxatēɣum	lakwxati	Vmip1s		71	5	0	root														
																							
ań	ань	ań	ań	R		72	1	5	advmod				now my dog begans to bark next to the leg (of the elks).										
lāɣl-	лагл-	lāɣl	lāɣl	N-sn		72	2	3	nmod	poss													
pāln	палн	pāln	pāl	N-sd		72	3	5	obl	lat													
āmpᵘm	ампум	āmpum	āmp	N-sn1		72	4	5	nsubj														
χortalti.	xорталти.	xortalti	xortalti	Vmip3s		72	5	0	root							Cf. Riese 2001:58 for the inchoative suffix -<i>alt</i>-.							
																							
am	ам	am	am	Pp1-sn		73	1	4	nsubj				When I start to chop, he would cease the barking,										
tuw	тув	tuw	tuw	Pr		73	2	4	advmod														
ti-ērt	ти-ерт	ti-ērt	ti-ērt	C		73	3	4	mark														
saɣraltēɣᵘm,	сагралтегум,	saɣraltēɣum	saɣralti	Vmip1s		73	4	7	advcl														
taw	тав	taw	taw	Pp3-sn		73	5	7	nsubj														
χortima	xортима	xortima	xorti	Vmra3s-p		73	6	7	obj														
jol-pojtᵘm,	йол-пойтум,	jol-pojtum	jol-pojti	Vmpa--m		73	7	0	root														
																							
am	ам	am	am	Pp1-sn		74	1	4	nsubj				(when) I cease my chopping, he starts barking.										
saɣrane	сагране	saɣrane	saɣri	Vmpp--n		74	2	4	advcl	obj													
māmnəl	мамныл	māmnəl	ām	Pp1-sb		74	3	2	obl	abl						Shortened/misspelt <i>ānumnəl</i>, lit. 'chopping from me'? Or <i>mā-m-nəl</i> 'from my ground'?							
jol-pojtēɣum,	йол-пойтегум,	jol-pojtēɣum	jol-pojti	Vmip1s		74	4	6	advcl														
taw	тав	taw	taw	Pp3-sn		74	5	6	nsubj														
χortalti.	xорталти.	xortalti	xortalti	Vmip3s		74	6	0	root														
																							
am	ам	am	am	Pp1-sn		75	1	3	nsubj				Now, when I start chopping, suddenly they fall down.										
ti-ērt	ти-ерт	ti-ērt	ti-ērt	C		75	2	3	cc														
