text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc	pic_desc
i+	и+	i	i	C		4	10	12	cc															
vsakomu.	всакомꙋ.	vsakomu	vsěki	Amsdy		4	11	12	conj															
sa_zdanïju+	са_зданїю+	sazdaniju	sъzdanie	Nnsdn		4	12	9	conj					1										
iže+	иже+	iže	iže	Pr-msn		4	13	14	mark				who (created) everything by a single word,											
vsa	вса	vsa	vse	Anpnn		4	14	1	acl	orphan														
edinemь.	единемь.	edinemъ	edin	Ansin		4	15	16	amod	det														
sló_vomь.	сло́_вомь.	slovomъ	slovo	Nnsin		4	16	14	obl					1										
sьtvori+	сьтвори+	sъtvori	sъtvorja	Vmia3se		4	17	0	root				created many angels and archangels and many weapons in the High Jerusalem.			The verb could be also the head of the clause <i>iže vsa edinemь slovomь ...</i>.								
množstvo+	множство+	množstvo	množestvo	Nnsnn		4	18	17	obj															
agglь	аггль	agglъ	angel	Nmpgy		4	19	18	nmod					1										
i+	и+	i	i	C		4	20	21	cc															
arxanglь.	архангль.	arxanglъ	arxangel	Nmpgy		4	21	19	conj															
i+	и+	i	i	C		4	22	23	cc															
wružïja+	ѡрꙋжїꙗ+	oružija	orъžie	Nnpnn		4	23	18	conj															
mnoga	многа	mnoga	mnog	Anpnn		4	24	23	amod					1										
vь+	вь+	vъ	v	Sl		4	25	27	case															
višnemь+	вишнемь+	višnemъ	višen	Ansin		4	26	27	amod															
erslьïmě.	ерсльїмѣ.	erslъimě	Ierusalim	Nmsln		4	27	17	obl	loc														
																								
sь_nidetь+	сь_нидеть+	sъnidetъ	sъniti	Vmip3se		5	1	0	root				Lord God descended into the world (?) to defend the mankind.	1										
iže+	иже+	iže	iže	Pr-msn		5	2	4	mark															
vь+	вь+	vъ	v	Sl		5	3	4	case															
míré+	ми́ре́+	mire	mir	Nmsln		5	4	5	acl	obl:loc														
bь	бь	bъ	bog	Nmsny		5	5	1	nsubj															
gь	гь	gъ	Gospod	Nmsny		5	6	5	appos															
i	и	i	i	C		5	7	9	discourse					1										
wt+	ѿ+	ot	ot	Sg		5	8	9	case															
lukavago.	лꙋкаваго.	lukavago	lukav	Amsgy		5	9	10	obl															
branitь	бранить	branitъ	branja	Vmn---i		5	10	1	advcl							Could be a supine after <i>sьnidetь</i>! Although such forms appear in contexts expecting ti-infinitive in <i>Legend of Troy</i> abundantly.								
rod	род	rod	rod	Nmsnn		5	11	10	obj					1										
člvčьskí.	члвчьски́.	člvčъski	človečeski	Amsny		5	12	11	amod															
																								
gь+	гь+	gъ	Gospod	Nmsny		6	1	2	nsubj				The Lord founded the earth.											
wsnova+	ѡснова+	osnova	osnova (2)	Vmia3se		6	2	0	root															
zemljú	землю́	zemlju	zemlja	Nfsan		6	3	2	obj					1										
																								
i+	и+	i	i	C		7	1	2	cc				And He planted the Paradise.											
nasadi+	насади+	nasadi	nasadja	Vmia3se		7	2	0	root															
rȁi.	ра̏и.	rai	rai	Nmsnn		7	3	2	obj															
																								
i+	и+	i	i	C		8	1	3	cc				And He craeted the human by His image,											
člvka+	члвка+	člvka	človek	Nmsgy		8	2	3	obj															
sьtvo_ri	сьтво_ри	sъtvori	sъtvorja	Vmia3se		8	3	0	root					1										
po+	по+	po	po	Sd		8	4	5	case															
ẅbrazoȕ+	ѡ̈бразоу̏+	obrazou	obraz	Nmsdn		8	5	3	obl															
svoemu.	своемꙋ.	svoemu	svoi	Amsdy		8	6	5	amod	poss														
prь_sti+	прь_сти+	prъsti	prъst (2)	Nfsgn		8	7	8	obj				having taken soil from the earth.	1										
vьzmь+	вьзмь+	vъzmъ	vzema	Vmpa-sea	Amsnn	8	8	3	advcl															
wt+	ѿ+	ot	ot	Sg		8	9	10	case															
zemlè.	землѐ.	zemle	zemlja	Nfsgn		8	10	8	obl	abl														
																								
i+	и+	i	i	C		9	1	2	cc				And He commanded him to rule in the Paradise,											
pove_le	пове_ле	povele	povelja	Vmia3se		9	2	0	root					1										
jemoù+	ѥмоу̀+	jemou	toi	Pp3msd		9	3	2	obl	iobj														
vladati,	владати,	vladati	vladěti	Vmn---i		9	4	2	advcl															
vь+	вь+	vъ	v	Sl		9	5	6	case															
rajȕ	раю̏	raju	rai	Nmsgn	Nmsdn	9	6	4	obl	loc				1										
i+	и+	i	i	C		9	7	8	cc				and to rule over every breathing (thing) on the earth.											
crьstvovati.	црьствовати.	crъstvovati	carstvuvam	Vmn---i		9	8	4	conj															
ndь+	ндь+	ndъ	nad	Si		9	9	11	case															
vsakimь	всакимь	vsakimъ	vsěki	Ansiy		9	10	11	amod	det				1										
dixánïemь+	дихáнїемь+	dixaniemъ	dixanie	Nnsin		9	11	8	obl															
na+	на+	na	na	Sl		9	12	13	case															
zemlì,	землѝ,	zemli	zemlja	Nfsdn		9	13	11	nmod	loc														
																								
tgw+	тгѡ+	tgo	tъ	Pd-msg		10	1	3	det				The evil Satanael saw that man.											
že	же	že	že	Qd		10	2	4	cc					2										
člkaь	члкаь	člkaъ	človek	Nmsgy	Nmsny	10	3	4	obj		40v	/img/satan/40v.JPG				The <i>a</i> is written above the line, so the ending is ambiguous.								
vdě+	вдѣ+	vdě	vidja	Vmia3se		10	4	0	root															
lukavi.	лꙋкави.	lukavi	lukav	Amsny		10	5	6	amod															
satanai_lь.	сатанаи_ль.	satanailъ	Satanail	Nmsny		10	6	4	nsubj					1										
																								
i+	и+	i	i	C		11	1	2	cc				And he fell to the ground, thinking evil thoughts.											
pade+	паде+	pade	pasti	Vmia3se		11	2	0	root															
nica+	ница+	nica	nicь	R	Nmsgn	11	3	5	amod															
na+	на+	na	na	Sa		11	4	5	case															
zemljù	землю̀	zemlju	zemlja	Nfsan		11	5	2	obl	lat				1										
zlóju	зло́ю	zloju	zъl	Afsin		11	6	7	amod															
mísáliju	ми́сáлию	misaliju	misъl	Nfsin		11	7	8	obl															
misle.	мисле.	misle	mislja	Vmpp-sia		11	8	2	advcl															
																								
i+	и+	i	i	C		12	1	2	cc				And he said:											
rče	рче	rče	reka	Vmia3se		12	2	0	root					1										
																								
sьtvori+	сьтвори+	sъtvori	sъtvorja	Vmia3se		13	1	0	root				ʺThe Lord has created a man of soil from the earth.ʺ											
gь,	гь,	gъ	Gospod	Nmsny		13	2	1	nsubj															
wt+	ѿ+	ot	ot	Sg		13	3	4	case															
zemlè+	землѐ+	zemle	zemlja	Nfsgn		13	4	1	obl															
prь_stna	прь_стна	prъstna	prъsten (2)	Amsgn		13	5	6	amod					1										
člvka.	члвка.	člvka	človek	Nmsgy		13	6	1	obj															
																								
i+	и+	i	i	C		14	1	4	cc				ʺAnd He made him greater than heavens.ʺ											
prěviše+	прѣвише+	prěviše	prěvyše	R		14	2	3	amod															
nbsь	нбсь	nbsъ	nebe	Nnpgn		14	3	4	obl					1										
sьtvori+	сьтвори+	sъtvori	sъtvorja	Vmia3se		14	4	0	root															
ego.	его.	ego	toi	Pp3msg		14	5	4	obj															
																								
i+	и+	i	i	C		15	1	2	cc				ʺAnd He gave him glory.ʺ											
proslávi+	прослáви+	proslavi	proslavja	Vmia3se		15	2	0	root															
e_go+	е_го+	ego	toi	Pp3msg		15	3	2	obj					1										
																								
ẅcri+	ѡ̈цри+	ẅcri	ocariti	Vmia3se		16	1	0	root				ʺHe became a king of all.ʺ											
vse.	все.	vse	vse	Ansnn		16	2	1	obj															
																								
i+	и+	i	i	C		17	1	4	cc				ʺAnd angelic forces bow to him.ʺ											
agglьskïe+	аггльскїе+	agglъskie	angelski	Afpny		17	2	3	amod															
si_le+	си_ле+	sile	sila	Nfpnn	Nfsdn	17	3	4	nsubj					1		OCS <i>sily</i>, likely a Serbian pl.nom form.								
poklanaju+	покланаю+	poklanaju	poklanjam	Vmip3pi		17	4	0	root															
se+	се+	se	se	Px---a		17	5	4	expl															
jemoȕ.	ѥмоу̏.	jemoȕ	toi	Pp3msd		17	6	4	obl	iobj														
																								
azь	азь	azъ	az	Pp1-sn		18	1	3	nsubj				ʺAnd, I cannot (endure) seeing him, nor bow to him!ʺ	1										
že+	же+	že	že	Qg		18	2	3	cc															
zreti+	зрети+	zreti	zra	Vmn---i		18	3	0	root															
ego+	его+	ego	toi	Pp3msg		18	4	3	obj															
ne+	не+	ne	ne	Qz		18	5	6	advmod															
mogu.	могꙋ.	mogu	moga	Vaip1si		18	6	3	aux															
ni	ни	ni	ni	C		18	7	8	cc					1										
pokloniti	поклонити	pokloniti	poklonja	Vmn---e		18	8	3	conj															
se	се	se	se	Px---a		18	9	8	expl															
jemou.	ѥмоу.	jemou	toi	Pp3msd		18	10	8	obl	iobj														
																								
nju+	ню+	nju	no	C		19	1	2	cc				ʺBut I will assemble my forces and my glory, and all the angelic ranks, 40 thousand (angels).ʺ											
sь_beru+	сь_берꙋ+	sъberu	sъbera	Vmip1se		19	2	0	root					1										
sili+	сили+	sili	sila	Nfpnn		19	3	2	obj															
svoe,	свое,	svoe	svoi	Afpny		19	4	3	amod	poss														
i+	и+	i	i	C		19	5	6	cc															
slvu	слвꙋ	slvu	slava	Nfsan		19	6	3	conj															
svoju	свою	svoju	svoi	Afsay		19	7	6	amod	poss				1										
i+	и+	i	i	C		19	8	10	cc															
vse+	все+	vse	vse	Ampan		19	9	10	amod	det														
čini+	чини+	čini	čin	Nmpnn		19	10	6	obj															
agglьskïe+	аггльскїе+	agglъskie	angelski	Ampay		19	11	10	amod															
xila_jadь	хила_ꙗдь	xilajadъ	xiljada	Nfpgn		19	12	10	nummod					1										
*m*	·м·	*m*	40	Mc		19	13	12	nummod															
																								
i+	и+	i	i	C		20	1	2	cc				ʺAnd I will take the divine-weaved clothes and most honorable divine-weaved wreath of command over archangelic ranks.ʺ											
vьzmu+	вьзмꙋ+	vъzmu	vzema	Vmip1se		20	2	0	root															
bgotkanu_ju,	бготканꙋ_ю,	bgotkanuju	bogotъkan	Afsay		20	3	4	amod					1										
ẅdeždou+	ѡ̈деждоу+	ẅdeždou	odežda	Nfsan		20	4	2	obj															
i+	и+	i	i	C		20	5	8	cc															
vsьčьstnì+	всьчьстнѝ+	vsъčъstni	vsečesten	Amsny		20	6	8	amod															
bgo_pleteteni.	бго_плететени.	bgopleteteni	bogopleten	Amsny		20	7	8	amod					1										
věncь+	вѣнць+	věncъ	venec	Nmsnn		20	8	4	conj															
skipe_tra+	скипе_тра+	skipetra	skiptъr	Nmsgn		20	9	8	nmod					1										
arxanglьskix.	архангльских.	arxanglъskix	arxangelski	Ampgy		20	10	11	amod															
činovь	чиновь	činovъ	čin	Nmpgn		20	11	9	nmod					1										
																								
istína	исти́на	istina	istina	Nfsnn		21	1	3	advmod				ʺIndeed, I will take everything.ʺ											
vsa+	вса+	vsa	vse	Anpnn		21	2	3	obj															
vьzmù.	вьзмꙋ̀.	vъzmu	vzema	Vmip1se		21	3	0	root															
																								
izidù	изидꙋ̀	izidu	izida	Vmip1se		22	1	0	root				ʺI will descend from heavens.ʺ	1										
wt+	ѿ+	ot	ot	Sg		22	2	3	case															
nbsь+	нбсь+	nbsъ	nebe	Nnpgn		22	3	1	obl	abl														
																								
i+	и+	i	i	C		23	1	2	cc				ʺAnd I will place my throne on the heavenly clouds.ʺ											
postàvlù.	постàвлꙋ̀.	postavlu	postavja	Vmip1se		23	2	0	root															
prěsto_lь	прѣсто_ль	prěstolъ	prestol	Nmsnn		23	3	2	obj					2										
svoi	свои	svoi	svoi	Amsny		23	4	3	amod	poss	41r	/img/satan/41r.JPG												
na+	на+	na	na	Sl		23	5	6	case															
ẅblacex+	ѡ̈блацех+	ẅblacex	oblak	Nmpln		23	6	2	obl	loc														
nbsnix	нбсних	nbsnix	nebesen	Ampgy		23	7	6	amod															
																								
i	и	i	i	C		24	1	3	cc				ʺAnd I will be like the Highest.ʺ	1										
budù.	бꙋдꙋ̀.	budu	bъda	Vmip1se		24	2	3	cop															
podbnь+	подбнь+	podbnъ	podoben	Amsnn		24	3	0	root															
višnemù.	вишнемꙋ̀.	višnemu	višen	Amsdy		24	4	3	obl	iobj														
																								
i+	и+	i	i	C		25	1	4	cc				And thus thought the most evil Satanael.											
ta	та	ta	to	Pp3npn		25	2	3	det					1										
vsa+	вса+	vsa	vse	Anpnn		25	3	4	obj															
pomísli.	поми́сли.	pomisli	pomislja	Vmia3se		25	4	0	root															
prělúkavi+	прѣлꙋ́кави+	prělukavi	prelukav	Amsny		25	5	6	amod															
sa_tanailo.	са_танаило.	satanailo	Satanail	Nmsoy		25	6	4	nsubj					1		The final -o possibly reflects Serbian phonetic shift -il > -io (see below e.g. <i>gavrio</i>).								
																								
i+	и+	i	i	C		26	1	2	cc				And he deceived many angels.											
prebláznì	преблáзнѝ	preblazni	prěblazniti	Vmia3se		26	2	0	root															
mno_žьstvo.	мно_жьство.	množъstvo	množestvo	Nnsnn		26	3	2	obj					1										
agglь+	аггль+	agglъ	angel	Nmpgy		26	4	3	nmod															
																								
izide+	изиде+	izide	izida	Vmia3se		27	1		root				He went out of the hardened 6 heavens.											
wt+	ѿ+	ot	ot	Sg		27	2		case															
utvrь_ždenix+	ꙋтврь_ждених+	utvrъždenix	utvъrdja	Anpgy	Vmpa-pe	27	3		amod					1										
*z*	·з·	*z*	6	Mc		27	4		nummod															
nbsь+	нбсь+	nbsъ	nebe	Nnpgn		27	5		obl	abl														
																								
i+	и+	i	i	C		28	1	4	cc				And he (entered) the fogs,											
ta	та	ta	ta	C		28	2	1	fixed															
vь+	вь+	vъ	v	Sa		28	3	4	case															
mьglú_venïe.	мьглꙋ́_венїе.	mъgluvenie	mъglovenie	Nnsnn		28	4	0	root	lat				1										
																								
wt+	ѿ+	ot	ot	Sg		29	1	2	case				whence he came out,											
kede+	кеде+	kede	kъde	Pq		29	2	3	obl	abl						< *<i>kędě</i> < *<i>kǫdě</i> ?								
izide	изиде	izide	izida	Vmia3se		29	3	0	root															
																								
i+	и+	i	i	C		30	1	2	cc				and unbound the treasures (in) heavens of wind and rain.											
wttvrь_ze.	ѿтврь_зе.	ottvrъze	otvъrža	Vmia3se		30	2	0	root					1										
nbsa+	нбса+	nbsa	nebe	Nnpnn		30	3	4	nmod															
skrovišta.	скровища.	skrovišta	sъkrovište	Nnpnn		30	4	2	obj															
vitrù+	витрꙋ̀+	vitru	větъr	Nmsdn		30	5	4	nmod															
i	и	i	i	C		30	6	7	cc															
dь_ždou.	дь_ждоу.	dъždou	dъžd	Nmsdn		30	7	5	conj					1										
																								
i+	и+	i	i	C		31	1	2	cc				And he was pouring the water on the earth.											
prolijaše+	пролиꙗше+	prolijaše	prolivam	Vmii3si		31	2	0	root															
vdu+	вдꙋ+	vdu	voda	Nfsan		31	3	2	obj															
na+	на+	na	na	Sa		31	4	5	case															
zemljù.	землю̀.	zemlju	zemlja	Nfsan		31	5	2	obl	lat				1										
																								
i+	и+	i	i	C		32	1	2	cc				And he created heavens alike to him.											
sьtvori+	сьтвори+	sъtvori	sъtvorja	Vmia3se		32	2	0	root															
nbsa+	нбса+	nbsa	nebe	Nnpnn		32	3	2	obj															
podbna+	подбна+	podbna	podoben	Anpnn		32	4	3	amod															
sebě`	себѣ̀	sebě	se	Px---d		32	5	4	nmod					1										
																								
i+	и+	i	i	C		33	1	2	cc				And he create(d) a dark sun and a dark moon.											
sьtvorit	сьтворит	sъtvorit	sъtvorja	Vmip3se		33	2	0	root							The final -t of 3sg.prs form seems to be used less regularily.								
slnce.	слнце.	slnce	slъnce	Nnsnn		33	3	2	obj															
tьmno	тьмно	tъmno	tъmen	Ansnn		33	4	3	amod					1										
i+	и+	i	i	C		33	5	6	cc															
lunù+	лꙋнꙋ̀+	lunu	luna	Nfsan		33	6	3	conj															
tьmnù.	тьмнꙋ̀.	tъmnu	tъmen	Afsan		33	7	6	amod															
																								
izzvede	иззведе	izzvede	izveda	Vmia3se		34	1	0	root															
bezra_čne	безра_чне	bezračne	bezračьn	A-pnn		34	2	1	obj					1		Or <i>bezračie</i> ?								
																								
i+	и+	i	i	C		35	1	2	cc				And I (?) placed my throne on the heavenly clouds.											
postavix.	поставих.	postavix	postavja	Vmia1se		35	2	0	root															
prěstolь	прѣстоль	prěstolъ	prestol	Nmsnn		35	3	2	obj					1										
svoi+	свои+	svoi	svoi	Amsny		35	4	3	amod	poss														
na+	на+	na	na	Sl		35	5	6	case															
ẅblacex.	ѡ̈блацех.	ẅblacex	oblak	Nmpln		35	6	2	obl	loc														
nbsnixь	нбснихь	nbsnixъ	nebesen	Ampgy		35	7	6	amod					1										
																								
i+	и+	i	i	C		36	1	2	cc				And he sat on his throne around a host of impure demons,											
sdě+	сдѣ+	sdě	sedja	Vmia3se		36	2	0	root															
na+	на+	na	na	Sl		36	3	4	case															
prěstole+	прѣстоле+	prěstole	prestol	Nmsln		36	4	2	obl	loc														
svoemь	своемь	svoemъ	svoi	Amsln		36	5	4	amod	poss				1										
ẅkrstь+	ѡ̈крсть+	ẅkrstъ	okrъst	Sg		36	6	7	case															
množьstvo+	множьство+	množъstvo	množestvo	Nnsnn		36	7	2	obl															
neči_stix+	нечи_стих+	nečistix	nečist	Ampgy		36	8	9	amod					1										
besovь.	бесовь.	besovъ	běs	Nmpgy		36	9	7	nmod															
své	све́	sve	sve	Ansnn		36	10	13	amod	det			all the not-high forces (of) 40 thousand.											
ne+	не+	ne	ne	Qz		36	11	12	amod															
gornix	горних	gornix	goren	Afpgy		36	12	13	amod					1										
sílь.	си́ль.	silъ	sila	Nfpgn		36	13	9	appos															
xilïjadь	хилїꙗдь	xilijadъ	xiljada	Nfpgn		36	14	9	nummod															
*m*	·м·	*m*	40	Mc		36	15	14	nummod															
																								
vь+	вь+	vъ	v	Sl		37	1	2	case				The Father in the Heights summoned his 4 archangels, the first servants of His throne:									3	Council of Archangels	
višni	вишни	višni	višen	A-pnn		37	2	4	acl	loc				2										
iže+	иже+	iže	iže	Pr-msn		37	3	2	mark		41v	/img/satan/41v.JPG												
ẅcь	ѡ̈ць	ẅcъ	otec	Nmsny		37	4	5	nsubj															
prizvà.	призвà.	prizva	prizova	Vmia3se		37	5	0	root															
arxagle	архагле	arxagle	arxangel	Nmpay		37	6	5	obj					1										
svoè	своѐ	svoe	svoi	Ampay		37	7	6	amod	poss														
*d*	·д·	*d*	4	Mc		37	8	6	nummod															
prьvie	прьвие	prъvie	pъrvi	Afpny	Ampay	37	9	10	amod															
slugi+	слꙋги+	slugi	sluga	Nfpny		37	10	6	appos															
svo	сво	svo	svoi	A		37	11	13	discourse					1										
prestola	престола	prestola	prestol	Nmsgn		37	12	10	nmod															
svoego,	своего,	svoego	svoi	Amsgy		37	13	12	amod	poss														
strašna_go+	страшна_го+	strašnago	strašen	Amsgy		37	14	15	amod				the terrible Michael, and Gabriel, and Uriel, and Raphael.	1										
mixaila.	михаила.	mixaila	Mixail	Nmsgy		37	15	10	appos															
i+	и+	i	i	C		37	16	17	cc															
gavrila	гаврила	gavrila	Gavriil	Nmsgy		37	17	15	conj															
i+	и+	i	i	C		37	18	19	cc															
ú_rila	ꙋ́_рила	urila	Uriil	Nmsgy		37	19	17	conj					1										
i+	и+	i	i	C		37	20	21	cc															
raxavila.	рахавила.	raxavila	Rafail	Nmsgy		37	21	19	conj															
																								
i+	и+	i	i	C		38	1	2	cc				And the Lord said to them:											
rče+	рче+	rče	reka	Vmia3se		38	2	0	root															
gь	гь	gъ	Gospod	Nmsny		38	3	2	nsubj															
kь	кь	kъ	k	Sd		38	4	5	case					1										
nimi	ними	nimi	tě	Pp3-pi		38	5	2	obl	iobj						sic								
																								
da+	да+	da	da	C		39	1	2	aux	opt			ʺHave you seen, o my angels,ʺ											
vděste+	вдѣсте+	vděste	vidja	Vmia2pi		39	2	0	root															
li	ли	li	li	Qq		39	3	2	advmod															
vi+	ви+	vi	vy	Pp2-pn		39	4	2	nsubj															
moi	мои	moi	moi	Ampnn		39	5	6	amod	poss				1										
aggli,	аггли,	aggli	angel	Nmpny		39	6	4	vocative															
kako+	како+	kako	kako	Pq		39	7	8	mark				ʺhow the most evil Satanael ran away,ʺ											
izbèže+	избѐже+	izbeže	izběgna	Vmia3se		39	8	2	advcl															
prě_lukavi	прѣ_лꙋкави	prělukavi	prelukav	Amsny		39	9	10	amod					1										
sátanïo.	сáтанїо.	satanio	Satanail	Nmsoy		39	10	8	nsubj															
i+	и+	i	i	C		39	11	14	cc				ʺand how he deceived a number of archangels,ʺ											
kako	како	kako	kako	Pq		39	12	14	mark					1										
si+	си+	si	se	Px---d		39	13	14	expl															
prělьsti	прѣльсти	prělъsti	prelъstja	Vmia3se		39	14	8	conj															
množьstvo	множьство	množъstvo	množestvo	Nnsnn		39	15	14	obj					1										
arxaglь.	архагль.	arxaglъ	arxangel	Nmpgy		39	16	15	nmod															
ixьže+	ихьже+	ixъže	iže	Pr-mpg		39	17	19	mark				ʺwhich I created by the Holy Spirit?ʺ											
azь+	азь+	azъ	az	Pp1-sn		39	18	19	nsubj															
stvo_rix	ство_рих	stvorix	sъtvorja	Vmia1se		39	19	16	acl					1										
svtimь+	свтимь+	svtimъ	svęt	Amsiy		39	20	21	amod															
dxomь.	дхомь.	dxomъ	dux	Nmsiy		39	21	19	obl															
																								
imě_xь.	имѣ_хь.	iměxъ	imam	Vmia1si		40	1	0	root				ʺI had them (as) my heavenly forces.ʺ	1										
ixь+	ихь+	ixъ	tě	Pp3-pa		40	2	1	obj															
nbsnix	нбсних	nbsnix	nebesen	Ampgy		40	3	4	amod							Case discord with <i>sili svoe</i>								
silì+	силѝ+	sili	sila	Nfpnn		40	4	1	obl	pred														
svoe	свое	svoe	svoi	Afpnn		40	5	4	amod					1										
																								
wnь+	ѡнь+	onъ	on	Pp3msn		41	1	3	nsubj				ʺAnd he deceived them.ʺ											
že	же	že	že	Qd		41	2	3	cc															
prěblazni+	прѣблазни+	prěblazni	prěblazniti	Vmia3se		41	3	0	root															
ix.	их.	ix	tě	Pp3-pa		41	4	3	obj															
																								
izve_de+	изве_де+	izvede	izveda	Vmia3se		42	1	0	root				ʺHe led them into outer darkness.ʺ	1										
ix+	их+	ix	tě	Pp3-pa		42	2	1	obj															
vь+	вь+	vъ	v	Sa		42	3	4	case															
tmù	тмꙋ̀	tmu	tъma	Nfsan		42	4	1	obl	lat														
kromešnù.	кромешнꙋ̀.	kromešnu	kromešen	Afsan		42	5	4	amod															
																								
azь	азь	azъ	az	Pp1-sn		43	1	4	nsubj				ʺAnd, again, I created the humans.ʺ	1										
že+	же+	že	že	Qd		43	2	4	cc															
paki+	паки+	paki	paki	R		43	3	4	advmod															
sьtvoriix,	сьтвориих,	sъtvoriix	sъtvorja	Vmia1se		43	4	0	root															
člvky̏	члвкы̏	člvkȉ	človek	Nmpay		43	5	4	obj					1										
																								
i+	и+	i	i	C		44	1	3	cc				ʺAnd they will be chosen to do my will - apostles, and prophets, and martyrs.ʺ											
budù	бꙋдꙋ̀	budu	bъda	Vaip1se	Vaip3pe	44	2	3	aux	pass						Formally, a CS 1sg.prs, but in SC could be a 3pl too (or a very archaic 3pl.imp/injunctive, of course).								
izьbrani	изьбрани	izъbrani	izbera	Vmpa-pe	A-pnn	44	3	0	root															
da	да	da	da	C		44	4	5	mark															
tvo_retь,	тво_реть,	tvoretъ	tvorja	Vmip3pi		44	5	3	advcl					1										
volù	волꙋ̀	volu	volja	Nfsan		44	6	5	obj															
moju.	мою.	moju	moi	Afsay		44	7	6	amod	poss														
apsly̏	апслы̏	apslȉ	apostol	Nmpay		44	8	3	nsubj					1										
i+	и+	i	i	C		44	9	10	cc															
proki.	проки.	proki	prorok	Nmpay		44	10	8	conj															
i+	и+	i	i	C		44	11	12	cc															
mčnky̏.	мчнкы̏.	mčnkȉ	mъčenik	Nmpay		44	12	10	conj															
																								
i+	и+	i	i	C		45	1	2	cc				ʺAnd they will be for me like angels.ʺ											
búdu_t+	бꙋ́дꙋ_т+	budut	bъda	Vmip3pe		45	2	0	root					2										
mì+	мѝ+	mi	az	Pp1-sd		45	3	2	obl	iobj	42r	/img/satan/42r.JPG												
jako	ꙗко	jako	jako (2)	C		45	4	5	mark															
aggli.	аггли.	aggli	angel	Nmpny		45	5	2	advcl															
																								
i+	и+	i	i	C		46	1	2	cc				ʺAnd I will increase the number of angels hundred times (more than the count) of angels having fell away from the heavens.ʺ											
umnožu	ꙋмножꙋ	umnožu	umnoža	Vmip1se		46	2	0	root					1										
angle	англе	angle	angel	Nmpay		46	3	2	obj															
svoè.	своѐ.	svoe	svoi	Ampay		46	4	3	amod	poss														
stokraticeju	стократицею	stokraticeju	stokraticejǫ	R		46	5	2	advmod					1										
wt+	ѿ+	ot	ot	Sg		46	6	7	case															
