text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc
tvoemu	ⱅⰲⱁⰵⰿⱆ	tvoemu	tvoi	Amsdy		10	15	14	amod	poss							
petru.	ⱂⰵⱅⱃⱆ.	petru	Petъr	Nmsdy		10	16	14	appos								
vъ	ⰲⱏ	vъ	v	Sl		10	17	18	case								
ï_nokostï	ⰹ_ⱀⱁⰽⱁⱄⱅⰹ	inokosti	inokost	Nfsgi		10	18	19	nmod	loc			a friend in loneliness, a learned one in confession, a successor in honor, a follower in martyrdom	1			
podrugъ.	ⱂⱁⰴⱃⱆⰳⱏ.	podrugъ	podrug	Nmsny		10	19	12	obl	pred							
vъ,	ⰲⱏ,	vъ	v	Sl		10	20	21	case								
ʾispo_vědï	҆ⰻⱄⱂⱁ_ⰲⱑⰴⰹ	ispovědi	izpověd	Nfsgi		10	21	22	nmod	loc				2			
učenïkъ.	ⱆⱍⰵⱀⰹⰽⱏ.	učenikъ	učenik	Nmsny		10	22	19	conj	pred	2r	/img/kiev/kf_2r.jpg					
vъ+	ⰲⱏ₊	vъ	v	Sl		10	23	24	case								
čьstï	ⱍⱐⱄⱅⰹ	čъsti	čъst	Nfsgi		10	24	25	nmod	loc							
na_městьnikъ.	ⱀⰰ_ⰿⱑⱄⱅⱐⱀⰻⰽⱏ.	naměstъnikъ	namestnik	Nmsny		10	25	22	conj					1			
vъ+	ⰲⱏ₊	vъ	v	Sl		10	26	27	case								
mǫčeniï^	ⰿⱘⱍⰵⱀⰻⰹ̂	mǫčenii	mъčenie	Nnsln		10	27	28	nmod	loc							
na_slědьníkъ.	ⱀⰰ_ⱄⰾⱑⰴⱐⱀⰻ́ⰽⱏ.	naslědъnikъ	naslednik	Nmsny		10	28	25	conj					1			
xmь+	ⱈⰿⱐ₊	xmъ	xvalja	Vmip1pi		10	29	0	root				we praise (him)				
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		11	1	0	root				We say to our (...)				
našmь.	ⱀⰰⱎⰿⱐ.	našmъ	naš	A-pdy		11	2	1	obl	iobj:poss				1			
																	
po+	ⱂⱁ₊	po	po	Sl		12	1	2	case				[Title] After the communion				
vъsǫdě:	ⰲⱏⱄⱘⰴⱑ:	vъsǫdě	vъsǫd	Nmsln		12	2	0	root					1		Cejtlin et al.: <i>vъsǫdъ</i> 'communio, pričaštenie, přijímání'	
																	
Tělese	Ⱅⱑⰾⰵⱄⰵ	tělese	tělo	Nnsgn		13	1	6	obj				We pray you, o Lord our God, (for) fully pouring the holy body and most precious blood				
svjętago	ⱄⰲⱗⱅⰰⰳⱁ	svjętago	svjęt	Ansgy		13	2	1	amod								
ʾī+	҆ⰺ₊	i	i	C		13	3	5	cc								
prědra_gyję^+	ⱂⱃⱑⰴⱃⰰ_ⰳⱏⰻⱗ̂₊	prědragyję	prědrag	Afsgy		13	4	5	amod					1			
krъve	ⰽⱃⱏⰲⰵ	krъve	krъv	Nfsgn		13	5	1	conj								
naplьnenī`	ⱀⰰⱂⰾⱐⱀⰵⱀⰺ̀	naplъneni	napъlnenie	Nnsgn		13	6	7	acl	nsubj							
vъ_litíě	ⰲⱏ_ⰾⰻⱅⰻ́ⱑ	vъlitiě	vъlitie	Nnsgn		13	7	8	advcl					1			
prosī´mъ+	ⱂⱃⱁⱄⰺ́ⰿⱏ₊	prosimъ	prosja	Vmip1pi		13	8	0	root								
gï+	ⰳⰹ₊	gi	Gospod	Nmsvi		13	9	8	vocative								
bže+	ⰱⰶⰵ₊	bže	bog	Nmsvy		13	10	9	appos								
našь:	ⱀⰰⱎⱐ:	našъ	naš	Amsnn		13	11	10	amod	poss				1			
																	
da+	ⰴⰰ₊	da	da	C		14	1	5	aux	opt			May we carry its promises, which (are) merciful				
eže	ⰵⰶⰵ	eže	iže	Pr-nsn		14	2	4	det								
milostïvaě+	ⰿⰻⰾⱁⱄⱅⰹⰲⰰⱑ₊	milostivaě	milostiv	Anpny		14	3	4	amod								
ʾoběcě´_níě´+	҆ⱁⰱⱑⱌⱑ́_ⱀⰻ́ⱑ́₊	oběcěniě	obeštanie	Nnsnn		14	4	5	obj					1			
nosīˇmъ.	ⱀⱁⱄⰺ̆ⰿⱏ.	nosimъ	nosja	Vmip1pi		14	5	0	root								
																	
rěsnotï´vьnaě	ⱃⱑⱄⱀⱁⱅⰹ́ⰲⱐⱀⰰⱑ	rěsnotivъnaě	rěsnotivьn	Anpny		15	1	2	amod				(And may) we receive the true liberation	1			
ʾizdrěšeníě	҆ⰻⰸⰴⱃⱑⱎⰵⱀⰻ́ⱑ	izdrěšeniě	izdrěšeniě	Nnpnn		15	2	3	obj							Miklosich: <i>izdrěšenie</i> 'liberatio'	
ʾobьmemъ:	҆ⱁⰱⱐⰿⰵⰿⱏ:	obъmemъ	obęti	Vmip1pe		15	3	0	root								
																	
gmь:.	ⰳⰿⱐ:.	gmъ	glagolati	Vmip1pi		16	1	0	root				We say (...)	1			
																	
Vъ+	Ⰲⱏ₊	vъ	v	Sl		17	1	3	case				[Title] On the same day				
tъze+	ⱅⱏⰸⰵ₊	tъze	tъžde	Pr-msn		17	2	3	obl	ext							
dьnь+	ⰴⱐⱀⱐ₊	dъnъ	den	Nmsni		17	3	0	root								
																	
felictъi:	ⱇⰵⰾⰻⱌⱅⱏⰻ:	felicty	Felicita	Nfsgy		18	1	0	root	poss			[Title] (Feast of St.) Felicitas	1			
																	
Podázь+	Ⱂⱁⰴⰰ́ⰸⱐ₊	podazъ	podam	Vmm-2se		19	1	3	advcl				We pray you, o all-powerful God, grant us our common prayer for the sake of your blessed martyr Felicitas				
námъ+	ⱀⰰ́ⰿⱏ₊	namъ	nie	Pp1-pd		19	2	1	obl	iobj							
prosïmъ+	ⱂⱃⱁⱄⰹⰿⱏ₊	prosimъ	prosja	Vmip1pi		19	3	0	root								
tję	ⱅⱗ	tję	ty	Pp2-sa		19	4	3	obj					1			
vь´semogъíī+	ⰲⱐ́ⱄⰵⰿⱁⰳⱏⰻ́ⰺ₊	vъsemogyi	vsemog	Amsny		19	5	6	amod								
bže.	ⰱⰶⰵ.	bže	bog	Nmsvy		19	6	3	vocative								
blaženъï_ję^+	ⰱⰾⰰⰶⰵⱀⱏⰹ_ⱗ̂₊	blaženyję	blažen	Afsgy		19	7	9	amod					1			
rádī^+	ⱃⰰ́ⰴⰺ̂₊	radi	radi	Sg		19	8	9	case								
mǫčenïcję^	ⰿⱘⱍⰵⱀⰹⱌⱗ̂	mǫčenicję	mъčenica	Nfsgy		19	9	1	obl								
tvoeję	ⱅⰲⱁⰵⱗ	tvoeję	tvoi	Afsgy		19	10	9	amod	poss				1			
ѳelïcïtъ^i	ⱚⰵⰾⰹⱌⰹⱅⱏ̂ⰻ	ѳelicity	Felicita	Nfsgy		19	11	9	appos								
vъkupьnǫjǫ	ⰲⱏⰽⱆⱂⱐⱀⱘⱙ	vъkupъnǫjǫ	vъkupьnъ	Afsay		19	12	13	amod					1			
molitvǫ.	ⰿⱁⰾⰻⱅⰲⱘ.	molitvǫ	molitva	Nfsan		19	13	1	obj								
																	
ʾī+	҆ⰺ₊	i	i	C		20	1	4	cc				And for her sake protect us				
toję´ze+	ⱅⱁⱗ́ⰸⰵ₊	tojęze	tъžde	Pr-fsg		20	2	4	obl	ext							
radī^	ⱃⰰⰴⰺ̂	radi	radi	Sg		20	3	2	case					1			
zaščïˇtï	ⰸⰰⱎⱍⰹ̆ⱅⰹ	zaščiti	zaštitja	Vmm-2se		20	4	0	root								
nъi`:	ⱀⱏⰻ̀:	ny	nie	Pp1-pa		20	5	4	obj								
																	
gmь:	ⰳⰿⱐ:	gmъ	glagolati	Vmip1pi		21	1	0	root				We say (...)				
																	
ndъ	ⱀⰴⱏ	ndъ	nad	Si		22	1	2	case				[Title] Over Eucharist				
[opl]	[ⱁⱂⰾ]	opl	oplat	N		22	2	0	root	loc				1			
																	
Na+	Ⱀⰰ₊	na	na	Sa		23	1	2	case				Watch mercifully the service of your people				
služьbъi+	ⱄⰾⱆⰶⱐⰱⱏⰻ₊	služъby	služba	Nfpnn		23	2	6	obl	lat							
ljudiī+	ⰾⱓⰴⰻⰺ₊	ljudii	ljudie	Nmpgi		23	3	2	nmod	poss							
tvoīxъ	ⱅⰲⱁⰺⱈⱏ	tvoixъ	tvoi	Ampgy		23	4	3	amod	poss				1			
milostijǫ+	ⰿⰻⰾⱁⱄⱅⰻⱙ₊	milostijǫ	milost	Nfsii		23	5	6	obl								
prïzьrï´.	ⱂⱃⰹⰸⱐⱃⰹ́.	prizъri	prizra	Vmm-2se		23	6	0	root								
																	
ī[...]	ⰺ[...]	i	i	C		24	1	6	cc				And (...) this we honor by the honor of the saints	1			
se+	ⱄⰵ₊	se	se (2)	Qd	Pd-nsa	24	2	6	obj								
nъi`	ⱀⱏⰻ̀	ny	nie	Pp1-pa		24	3	6	nsubj								
čьstьjǫ+	ⱍⱐⱄⱅⱐⱙ₊	čъstъjǫ	čest	Nfsii		24	4	6	obl								
svjętъïxъ+	ⱄⰲⱗⱅⱏⰹⱈⱏ₊	svjętyxъ	svęt	A-pgy		24	5	4	nmod	poss							
čь_stï´mъ:	ⱍⱐ_ⱄⱅⰹ́ⰿⱏ:	čъstimъ	čъstja	Vmip1pi		24	6	0	root					1			
																	
sъtvorï+	ⱄⱏⱅⰲⱁⱃⰹ₊	sъtvori	sъtvorja	Vmm-2se		25	1	0	root				Make us rejoice in the Eternal Life				
nъi+	ⱀⱏⰻ₊	ny	nie	Pp1-pa		25	2	1	obj								
rado_stьnъi.	ⱃⰰⰴⱁ_ⱄⱅⱐⱀⱏⰻ.	radostъny	radosten	Ampay	Afpny	25	3	1	obl	pred				1			
vъ+	ⰲⱏ₊	vъ	v	Sl		25	4	6	case								
věčьně´mь+	ⰲⱑⱍⱐⱀⱑ́ⰿⱐ₊	věčъněmъ	večen	Amsly		25	5	6	amod								
živo[tě]	ⰶⰻⰲⱁ[ⱅⱑ]	životě	život	Nmsln		25	6	3	nmod	loc				2			
																	
po+	ⱂⱁ₊	po	po	Sl		26	1	2	case		2v	/img/kiev/kf_2v.jpg	[Title] After the communion				
vъsǫdě:.	ⰲⱏⱄⱘⰴⱑ:.	vъsǫdě	vъsǫd	Nmsln		26	2	0	root					1			
																	
Sъměrьno+	Ⱄⱏⰿⱑⱃⱐⱀⱁ₊	sъměrъno	sъměrъno	R		27	1	3	advmod				We pray you humbly, o all-powerful God, by the prayers of your saints				
tję	ⱅⱗ	tję	ty	Pp2-sa		27	2	3	obj								
molimъ+	ⰿⱁⰾⰻⰿⱏ₊	molimъ	molja	Vmip1pi		27	3	0	root								
vь´se_mogъï+	ⰲⱐ́ⱄⰵ_ⰿⱁⰳⱏⰹ₊	vъsemogy	vъsemog	Amsny		27	4	5	amod					1			
bže.	ⰱⰶⰵ.	bže	bog	Nmsvy		27	5	3	vocative								
molitvamï+	ⰿⱁⰾⰻⱅⰲⰰⰿⰹ₊	molitvami	molitva	Nfpin		27	6	3	obl								
svję_tъixъ+	ⱄⰲⱗ_ⱅⱏⰻⱈⱏ₊	svjętyxъ	svęt	A-pgy		27	7	6	nmod	poss				1			
tvoīxъ.	ⱅⰲⱁⰺⱈⱏ.	tvoixъ	tvoi	A-pgy		27	8	7	amod	poss							
																	
ʾi+	҆ⰻ₊	i	i	C		28	1	4	cc				And may you be alone (the one prayed to?)				
tъi+	ⱅⱏⰻ₊	ty	ty	Pp2-sn		28	2	4	nsubj								
samъ	ⱄⰰⰿⱏ	samъ	sam	Amsnn		28	3	2	appos					1			
bǫ^dï.	ⰱⱘ̂ⰴⰹ.	bǫdi	bъda	Vmm-2se		28	4	0	root								
																	
ʾī+	҆ⰺ₊	i	i	C		29	1	4	cc				And settle your gift in us				
darъ+	ⰴⰰⱃⱏ₊	darъ	dar	Nmsnn		29	2	4	obj								
tvoï+	ⱅⰲⱁⰹ₊	tvoi	tvoi	Amsny		29	3	2	amod	poss							
vъselï	ⰲⱏⱄⰵⰾⰹ	vъseli	vselja	Vmm-2se		29	4	0	root					1			
vъ+	ⰲⱏ₊	vъ	v	Sa		29	5	6	case								
nъi`.	ⱀⱏⰻ̀.	ny	nie	Pp1-pa		29	6	4	obl	lat							
																	
ʾī+	҆ⰺ₊	i	i	C		30	1	6	cc				And make our times just				
vrěmję+	ⰲⱃⱑⰿⱗ₊	vrěmję	vreme	Nnsnn		30	2	6	obj								
naše+	ⱀⰰⱎⰵ₊	naše	naš	Ansnn		30	3	2	amod	poss							
vъ	ⰲⱏ	vъ	v	Sa		30	4	5	case					1			
pravьdǫ+	ⱂⱃⰰⰲⱐⰴⱘ₊	pravъdǫ	pravda	Nfsan		30	5	6	obl	lat							
postávï:.	ⱂⱁⱄⱅⰰ́ⰲⰹ:.	postavi	postavja	Vmm-2se		30	6	0	root								
																	
gmь.	ⰳⰿⱐ.	gmъ	glagolati	Vmip1pi		31	1	0	root				We say (...)	1			
																	
mьšě+	ⰿⱐⱎⱑ₊	mъšě	mьša	Nfsnn		32	1	0	root				[Title] Mass on all days of each second (?) year				
na+	ⱀⰰ₊	na	na	Sa		32	2	4	case								
vь´sję	ⰲⱐ́ⱄⱗ	vъsję	vse	Nmsnn		32	3	4	amod	det							
dьnī	ⰴⱐⱀⰺ	dъni	den	Nmpai		32	4	1	nmod	iobj							
vь_sego+	ⰲⱐ_ⱄⰵⰳⱁ₊	vъsego	vse	Amsgy		32	5	6	amod	det				1			
lěta+	ⰾⱑⱅⰰ₊	lěta	lěto	Nnsgn		32	6	4	nmod	poss							
ʾobïdǫcě:.	҆ⱁⰱⰹⰴⱘⱌⱑ:.	obidǫcě	obida	Ansgn	Vmpp-sia	32	7	6	amod					1			
																	
Bъ+	Ⰱⱏ₊	bъ	bog	Nmsny		33	1	20	vocative				(O) God, who gave so much mercy to His creation,				
ʾīže	҆ⰺⰶⰵ	iže	iže	Pr-msn		33	2	6	mark								
tvarь+	ⱅⰲⰰⱃⱐ₊	tvarъ	tvar	Nfsni		33	3	6	obj								
svojǫ	ⱄⰲⱁⱙ	svojǫ	svoi	Afsay		33	4	3	amod	poss							
ve_lьmï+	ⰲⰵ_ⰾⱐⰿⰹ₊	velъmi	velmi	R		33	5	6	advmod					1			
pomïlova.	ⱂⱁⰿⰹⰾⱁⰲⰰ.	pomilova	pomilovam	Vmia3se		33	6	1	acl								
ʾī+	҆ⰺ₊	i	i	C		33	7	11	cc				and in His anger chose to take flesh for the sake of salvation of humans,				
po+	ⱂⱁ₊	po	po	Sd		33	8	9	case								
gně_vě+	ⰳⱀⱑ_ⰲⱑ₊	gněvě	gněv	Nmsdn		33	9	11	obl					1			
svoemь.	ⱄⰲⱁⰵⰿⱐ.	svoemъ	svoi	Amsly		33	10	9	amod	poss							
ʾizvolï+	҆ⰻⰸⰲⱁⰾⰹ₊	izvoli	izvolja	Vmia3se		33	11	6	conj								
vъ_plъtitï+	ⰲⱏ_ⱂⰾⱏⱅⰻⱅⰹ₊	vъplъtiti	vъplъtiti	Vmn---e		33	12	11	advcl					1			
sję	ⱄⱗ	sję	se	Px---a		33	13	12	expl								
sъpáseniě+	ⱄⱏⱂⰰ́ⱄⰵⱀⰻⱑ₊	sъpaseniě	spasenie	Nnsgn		33	14	12	obl								
ra_dï+	ⱃⰰ_ⰴⰹ₊	radi	radi	Sg		33	15	14	case					1			
člověčьska.	ⱍⰾⱁⰲⱑⱍⱐⱄⰽⰰ.	člověčъska	človečeski	Ansgn		33	16	14	amod	poss							
ʾī+	҆ⰺ₊	i	i	C		33	17	18	cc				and thus wanted,				
vъsxo_těvъ+	ⰲⱏⱄⱈⱁ_ⱅⱑⰲⱏ₊	vъsxotěvъ	vъsxotěti	Vmpa-sea	Amsnn	33	18	11	conj					1			
námъ	ⱀⰰ́ⰿⱏ	namъ	nie	Pp1-pd		33	19	20	obl	iobj							
ʾutvrьdï+	҆ⱆⱅⰲⱃⱐⰴⰹ₊	utvrъdi	utvъrdja	Vmn---e		33	20	0	root				make our hearts strong				
srь_dьcě+	ⱄⱃⱐ_ⰴⱐⱌⱑ₊	srъdъcě	sъrdce	Nnpnn		33	21	20	obj					1			
nášě.	ⱀⰰ́ⱎⱑ.	našě	naš	Anpnn		33	22	21	amod	poss							
																	
ʾī+	҆ⰺ₊	i	i	C		34	1	4	cc				And enlighten us by your mercy				
milostijǫ	ⰿⰻⰾⱁⱄⱅⰻⱙ	milostijǫ	milost	Nfsii		34	2	4	obl					1			
tvoéjǫ	ⱅⰲⱁⰵ́ⱙ	tvoejǫ	tvoi	Afsiy		34	3	2	amod	poss							
prosvětï+	ⱂⱃⱁⱄⰲⱑⱅⰹ₊	prosvěti	prosvětja	Vmm-2se		34	4	0	root								
nъi`:	ⱀⱏⰻ̀:	ny	nie	Pp1-pa		34	5	4	obj								
																	
gmь:	ⰳⰿⱐ:	gmъ	glagolati	Vmip1pi		35	1	0	root				We say (...)	1			
																	
nadъ	ⱀⰰⰴⱏ	nadъ	nad	Si		36	1	2	case				[Title] Over Eucharist				
ʾoplatъmъ:.	҆ⱁⱂⰾⰰⱅⱏⰿⱏ:.	oplatъmъ	oplat	Nmsin		36	2	0	root					1			
																	
Blïzъ+	Ⰱⰾⰹⰸⱏ₊	blizъ	bliz	R		37	1	2	amod				O Lord, stand by us				
násъ+	ⱀⰰ́ⱄⱏ₊	nasъ	nie	Pp1-pg		37	2	3	obl								
bǫdï+	ⰱⱘⰴⰹ₊	bǫdi	bъda	Vmm-2se		37	3	0	root								
gï+	ⰳⰹ₊	gi	Gospod	Nmsvi		37	4	3	vocative								
																	
prósï_mъ+	ⱂⱃⱁ́ⱄⰹ_ⰿⱏ₊	prosimъ	prosja	Vmip1pi		38	1	0	root				We pray you	1			
tję.	ⱅⱗ.	tję	ty	Pp2-sa		38	2	1	obj								
																	
ʾī+	҆ⰺ₊	i	i	C		39	1	4	cc				And hear our prayer				
molï´tvǫ+	ⰿⱁⰾⰹ́ⱅⰲⱘ₊	molitvǫ	molitva	Nfsan		39	2	4	obj								
našǫ	ⱀⰰⱎⱘ	našǫ	naš	Afsan		39	3	2	amod	poss				1			
uslъ´išï.	ⱆⱄⰾⱏ́ⰻⱎⰹ.	uslyši	uslyšati	Vmm-2se		39	4	0	root								
																	
da`	ⰴⰰ̀	da	da	C		40	1	3	aux	opt			May we take hope in our works				
ʾupъvaníe	҆ⱆⱂⱏⰲⰰⱀⰻ́ⰵ	upъvanie	upъvanie	Nnsnn		40	2	3	obj					1			
vъnъmémъ	ⰲⱏⱀⱏⰿⰵ́ⰿⱏ	vъnъmemъ	vnema	Vmip1pe		40	3	0	root								
dělь^	ⰴⱑⰾⱐ̂	dělъ	dělo	Nnpgn		40	4	2	nmod	poss							
svoïxъ.	ⱄⰲⱁⰹⱈⱏ.	svoixъ	svoi	Anpgy		40	5	4	amod	poss				1			
