text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc
Látikɔvaŋnaŋta	Ла́тиковаӈнаӈта	Latikovannanta	Látikɔv</i> (proper name)	m.pl.adess		3	3	5	obl	loc							
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		3	4	5	nsubj								
dɔ́lʼdaq.	до́льдаӄ.	doľdaq.	²dʌˀq</i> ʹliveʹ	D-m3sg-subj.prs		3	5	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		4	1	5	nsubj				It lived with them for many years.				
búŋnaŋta	бу́ӈнаӈта	bunnanta	¹búŋ</i> ʹtheyʹ	3pl.adess		4	2	5	obl	loc							
⁴ɔnʼ	⁴онь	⁴oń	⁴ɔnʼ</i> ʹmanyʹ	quantifier		4	3	4	amod								
sʼɨkŋ	сикӈ	śykn	³sʼɨː</i> ʼyearʼ	m.pl.abs		4	4	5	obl								
dɔ́lʼdaq.	до́льдаӄ.	doľdaq.	²dʌˀq</i> ʹliveʹ	D-m3sg-subj.prs		4	5	0	root					1			
																	
Búŋna	Бу́ӈна	Bunna	¹búŋ</i> ʹtheyʹ	3pl.gen		5	1	3	nmod	poss			Their little daughter loved the reindeer,				
hʌ́nʼa	хә́ня	hәńa	hʌ́nʼa</i> ʹsmallʹ	A		5	2	3	amod								
²huˀnʼ	²хуˀнь	²huń	²huˀnʼ</i> ʹdaughterʹ	f.sg.abs		5	3	6	nsubj								
¹tu˙rʼ	¹ту˙рь	¹tuŕ	¹tu˙rʼ</i> ʹthisʹ	m.sg.abs		5	4	5	det								
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		5	5	6	obj								
dalʼúverɔɣɔ́lʼbet,	далю́вэрого́льбэт,	daľuverogoľbet,	lʼúvet</i> ʹloveʹ	D-f3sg-subj.praet.m3sg-obj		5	6	0	root					1			
																	
a	а	a	a</i> ʹandʹ	C		6	1	4	cc				and the reindeer loved the girl.				
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		6	2	4	nsubj								
qímdɨlʼ	ӄи́мдыль	qimdyľ	qímdɨlʼ</i> ʹgirlʹ	f.sg.abs		6	3	4	obj								
(t)lʼúveruɣɔ́lʼbet.	(т)лю́вэруго́льбэт.	tľuverugoľbet.	lʼúvet</i> ʹloveʹ	D-m3sg-subj.praet.f3sg-obj		6	4	0	root					1			
																	
¹Sʼinʼ	¹Синь	¹Śiń	¹sʼinʼ</i> ʹonceʹ	R		7	1	4	advmod				One day the father said to the mother:				
¹o˙p	¹ѳ˙п	¹op	¹o˙p</i> ʹfatherʹ	m.sg.abs		7	2	4	nsubj								
ámdiŋa	а́мдиӈа	amdina	¹a˙m</i> ʹmotherʹ	f.sg.dat		7	3	4	obl	iobj							
bárʼä:	ба́рѣ:	baŕä:	bárʹä</i> ʹsayʹ	m3sg-subj.prs		7	4	0	root								
																	
-Qɔ́gdi	-Ӄо́гди	-Qogdi	qɔ́gdi</i> ʹautumnʹ	n.sg.abs		8	1	4	obl				ʺIn the autumn I will slaughter the reindeer for meat.ʺ				
¹at	¹ат	¹at	¹at</i> ʹIʹ	1sg.abs		8	2	4	nsubj								
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		8	3	4	obj								
dúsʼsʼej,	ду́сьсей,	duśśej,	ɛj</i> ʹkill, slaughterʹ	D-1sg-subj.prs		8	4	0	root								
¹i˙sʼɛ́sʼaŋ.	¹и˙се́сяӈ.	¹iśeśan.	¹i˙sʼ</i> ʼmeatʼ	m.sg.trans		8	5	4	obl					1			
																	
⁴Sʼɛlʼ	⁴Сель	⁴Śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		9	1	2	nsubj				The reindeer heard the words of the father,				
aɣábdɛ	ага́бдэ	agabde	aɣábdɛ</i> ʹhearʹ	m3sg-subj.prs		9	2	0	root								
óbda	ѳ́бда	obda	¹o˙p</i> ʹfatherʹ	m.sg.gen		9	3	4	nmod	poss							
³qaːnʼ,	³ӄаːнь,	³qań,	²qaˀ</i> ʹwordʹ	m.pl.abs		9	4	2	obj					1			
																	
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		10	1	3	nsubj				he understood all.				
bɨ́lʼdɛ	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		10	2	3	obj								
ítalʼam.	и́талям.	itaľam.	ítalʼam</i> ʹknowʹ	m3sg-subj.prs		10	3	0	root					1			
																	
Nɔ	Но	No	nɔ</i> ʹbutʹ	C		11	1	4	cc				But he did not go away,				
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		11	2	4	nsubj								
¹bənʼ	¹бəнь	¹bəń	¹bənʼ</i> ʹnotʹ	Qz		11	3	4	advmod								
ɔɣɔ́nʼ,	ого́нь,	ogoń,	éjiŋ</i> ʼgo awayʼ	m3sg-subj.praet		11	4	0	root					1			
																	
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		12	1	2	nsubj				(for) he loved the people.				
(t)lʼúverɔŋɔ́lʼbet	(т)лю́вэроӈо́льбэт	tľuveronoľbet	lʼúvet</i> ʹloveʹ	D-m3sg-subj.praet.3pl-obj		12	2	0	root								
²dɛˀŋ.	²дэˀӈ.	²den.	²dɛˀŋ</i> ʹpeopleʹ	m.sg.abs		12	3	2	obj					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		13	1	2	nsubj				He thought about it (and) said:				
dánʼiŋílʼbet,	да́ньиӈи́льбэт,	dańiniľbet,	anʼiŋbet</i> ʹthinkʹ	D-m3sg-subj.praet.3sg-obj		13	2	0	root								
bárʼä:	ба́рѣ:	baŕä:	bárʹä</i> ʹsayʹ	m3sg-subj.prs		13	3	2	conj								
																	
-¹Qam	-¹Ӄам	-¹Qam	¹qam</i> ʹsoonʹ	R		14	1	2	advmod				ʺI will die soon.ʺ				
¹di˙jɔrɔ.	¹ди˙ёро.	¹dijoro.	qɔrʼeŋ</i> ʹdieʹ	D-1sg-subj.prs.iter		14	2	0	root					1			
																	
⁴Sʼɛlʼ	⁴Сель	⁴Śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		15	1	2	nsubj				He began to think.				
ánʼbɛrʼeŋ-aɣɔ́Rɔn.	а́ньбэреӈ-аго́ӷон.	ańbeŕen-agogon.	anʼiŋbet</i> ʹthinkʹ	1sg-subj.prs.inchoat		15	2	0	root					1			
																	
Búdaŋa	Бу́даӈа	Budana	¹bu</i> ʹhe, sheʹ	3sg.dat		16	1	4	obl	iobj			Tears stood in his eyes.				
dɛ́sʼdiŋta	дэ́сьдиӈта	deśdinta	dɛ́sʼ</i> ʹeyeʹ	n.pl.adess		16	2	4	obl	loc							
désʼtulʼaŋ	дэ́сьтуляӈ	deśtuľan	désʼtulʼ</i> ʼtearʼ	n.pl.abs		16	3	4	nsubj								
ɔ́vɨlʼdɛ.	о́выльдэ.	ovyľde.	ɔ́vɨlʼdɛ</i> ʼwasʼ	3sg-subj.praet		16	4	0	root					1		An obligatory overt copula is needed only in past tense (Georg 2007:305).	
																	
Désʼtulʼaŋ	Дэ́сьтуляӈ	Deśtuľan	désʼtulʼ</i> ʼtearʼ	n.pl.abs		17	1	4	obj				All the people saw the tears.				
bɨ́lʼdɛ	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		17	2	3	amod	det							
²dɛˀŋ	²дэˀӈ	²den	²dɛˀŋ</i> ʹpeopleʹ	m.sg.abs		17	3	4	nsubj								
ditɔ́lʼɔɣinʼ.	дито́льогинь.	ditoľogiń.	¹du˙toŋ</i> ʹseeʹ	D-m3sg-subj.prs.3pl-obj		17	4	0	root					1			
																	
²Huˀnʼ	²Хуˀнь	²Huń	²huˀnʼ</i> ʹdaughterʹ	f.sg.abs		18	1	2	nsubj				The daughter asked:				
mánʼä:	ма́нѣ:	mańä:	bárʹä</i> ʹsayʹ	f3sg-subj.prs		18	2	0	root								
																	
-Sʼɛlʼɔ́,	-Селё́,	-Śeľo,	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.voc		19	1	4	vocative				ʺO reindeer, why do you cry?ʺ				
¹u	¹у	¹u	¹u</i> ʹyouʹ	2sg.abs		19	2	4	nsubj								
áksʼdiŋt(a)	а́ксьдиӈт(а)	akśdinta	áksʼ</i> ʼwhatʼ	n.sg.abs		19	3	4	advmod								
¹ku˙rʼɛnʼ?	¹ку˙рень?	¹kuŕeń?	dɛn</i> ʼcryʼ	D-2sg-subj.prs		19	4	0	root					1			
																	
A	А	A	a</i> ʼandʼ	C		20	1	3	cc				But he is wordless,				
¹bu	¹бу	¹bu	¹bu ʹhe, sheʹ	3sg.abs		20	2	3	nsubj								
qáɣanʼdu;	ӄа́ганьду;	qagańdu;	²qaˀ</i> ʹwordʹ	n.sg.car.m3sg-subj		20	3	0	root								
																	
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		21	1	3	nsubj				(as) he knows everything.				
bɨ́lʼde	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		21	2	3	obj								
ítalʼam.	и́талям.	itaľam.	ítalʼam</i> ʹknowʹ	m3sg-subj.prs		21	3	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		22	1	3	nsubj				He loved the girl,				
qímdɨlʼ	ӄи́мдыль	qimdyľ	qímdɨlʼ</i> ʹgirlʹ	f.sg.abs		22	2	3	obj								
(t)lʼúveruɣɔ́lʼbet,	(т)лю́вэруго́льбэт,	tľuverugoľbet,	lʼúvet</i> ʹloveʹ	D-m3sg-subj.praet.f3sg-obj		22	3	0	root								
																	
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		23	1	2	nsubj				(so) he began laughing.				
dáR-aɣɔ́Rɔn.	да́ӷ-аго́ӷон.	dag-agogon.	dáR</i> ʹlaughʹ	m3sg-subj.prs.inchoat		23	2	0	root					1			
																	
Qárʼiɣa	Ӄа́рига	Qaŕiga	qárʼiɣa</i> ʼthen, afterwardsʼ	R		24	1	5	advmod				Then, the tears appeared again.				
désʼtulʼaŋ	дэ́сьтуляӈ	deśtuľan	désʼtulʼ</i> ʼtearʼ	n.pl.abs		24	2	5	nsubj								
haj	хай	haj	haj </i> ʼagainʼ	R		24	3	5	advmod								
bíksʼa	би́кся	bikśa	bíksʼa</i> ʼdifferentlyʼ	R		24	4	3	fixed								
sʼítɔnɔq.	си́тоноӄ.	śitonoq.	sʼítaq</i> ʼbecomeʼ	n3pl-subj.praet		24	5	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		25	1	2	nsubj				He did not want to die,				
qɔ́rʼeŋ-ɛ́sʼaŋ	ӄо́реӈ-э́сяӈ	qoŕen-eśan	qɔrʼeŋ</i> ʹdieʹ	inf.trans		25	2	0	root								
bə́nʼdaRɔj,	бə́ньдаӷой,	bəńdaRoj,	baq</i> ʹwantʹ	B-m3sg-subj.prs.neg		25	3	2	aux								
																	
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		26	1	3	nsubj				(but) he loved the people.				
²dɛˀŋ	²дэˀӈ	²den	²dɛˀŋ</i> ʹpeopleʹ	m.sg.abs		26	2	3	obj								
(t)lʼúverɔnɔ́lʼbet.	(т)лю́вэроно́льбэт.	tľuveronoľbet.	lʼúvet</i> ʹloveʹ	D-m3sg-subj.praet.3pl-obj		26	3	0	root					1			
																	
²Huˀnʼ	²Хуˀнь	²Huń	²huˀnʼ</i> ʹdaughterʹ	f.sg.abs		27	1	2	nsubj				The daughter asked:				
mánʼä:	ма́нѣ:	mańä:	bárʹä</i> ʹsayʹ	f3sg-subj.prs		27	2	0	root								
																	
-Sʼɛlʼɔ́,	-Селё́,	-Śeľo,	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.voc		28	1	4	vocative				ʺO reindeer, why do you cry?ʺ				
¹u	¹у	¹u	¹u</i> ʹyouʹ	2sg.abs		28	2	4	nsubj								
atnʼ	атнь	atń	atnʼ</i> ʹwhyʹ	Qq		28	3	4	advmod								
¹ku˙rʼɛnʼ?	¹ку˙рень?	¹kuŕeń?	dɛn</i> ʼcryʼ	D-2sg-subj.prs		28	4	0	root					1			
																	
¹Arʼ	¹Арь	¹Aŕ	¹at</i> ʹIʹ	1sg.abs		29	1	3	nsubj				ʺI love you.ʺ				
¹u	¹у	¹u	¹u</i> ʹyouʹ	2sg.abs		29	2	3	obj								
(t)lʼúvetkuɣavet.	(т)лю́вэткугавэт.	tľuvetkugavet.	lʼúvet</i> ʹloveʹ	D-1sg-subj.prs.2sg-obj		29	3	0	root					1			
																	
Qímdɨlʼ	Ӄи́мдыль	Qimdyľ	qímdɨlʼ</i> ʹgirlʹ	f.sg.abs		30	1	3	nsubj				The girl caressed him, gave him a drink, gave him a bread.				
¹bu	¹бу	¹bu	¹bu</i> ʹhe, sheʹ	3sg.abs		30	2	3	obj								
daúlarɔɣɔ́lʼbet,	дау́ларого́льбэт,	daularogoľbet,	úlat</i> ʹcaressʹ	D-f3sg-subj.praet.m3sg-obj		30	3	0	root								
daulʼdɔ́qɔlʼda,	даульдо́ӄольда,	dauľdoqoľda,	ulʼdɔ́</i> ʹgive drinkʹ	D-f3sg-subj.praet.m3sg-obj		30	4	3	conj								
²naˀnʼ	²наˀнь	²nań	²naˀnʼ</i> ʹbreadʹ	n.sg.abs		30	5	6	obj								
daɔ́vijaq.	дао́вияӄ.	daovijaq.	kʌ́tbet</i> ʹgiveʹ	D-f3sg-subj.praet.m3sg-obj		30	6	4	conj					1			
																	
¹O˙p	¹Ѳ˙п	¹Op	¹o˙p</i> ʹfatherʹ	m.sg.abs		31	1	4	nsubj				The father saw all that.				
túrʼe	ту́ре	tuŕe	¹tu˙rʼ</i> ʹthisʹ	f.sg.abs		31	2	3	det								
bɨ́lʼdɛ	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		31	3	4	obj								
(t)tɔ́lʼoŋ.	(т)то́льѳӈ.	ttoľon.	¹du˙toŋ</i> ʹseeʹ	D-m3sg-subj.praet.intrans		31	4	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		32	1	3	nsubj				He understood it all.				
bɨ́lʼdɛ	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		32	2	3	obj								
irʼaatɔ́mnʼet.	иряато́мнет.	iŕaatomńet.	daátavet</i> ʹunderstandʹ	m3sg-subj.prs.inchoat		32	3	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		33	1	2	nsubj				He said to his wife:				
bárʼä	ба́рѣ	baŕä	bárʹä</i> ʹsayʹ	m3sg-subj.prs		33	2	0	root								
daqímdiŋa:	даӄи́мдиӈа:	daqimdina:	³qiːm</i> ʹwomanʹ	f.sg.dat.m3sg-poss		33	3	2	obl	iobj							
																	
-¹At	-¹Ат	-¹At	¹at</i> ʹIʹ	1sg.abs		34	1	3	nsubj				ʺI will slaughter (hunt) a moose.ʺ				
⁴qaj	⁴ӄай	⁴qaj	⁴qaj</i> ʹmooseʹ	m.sg.abs		34	2	3	obj								
díɣajej.	ди́гаей.	digajej.	ɛj</i> ʹkill, slaughterʹ	m3sg-subj.prs.m3sg-obj		34	3	0	root					1			
																	
Ə́tna	Ə́тна	Ətna	ə́tn</i> ʹweʹ	1pl.gen		35	1	2	nmod	poss			ʺMay our reindeer lives on.ʺ				
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		35	2	4	nsubj								
¹qa˙nʼ	¹ӄа˙нь	¹qań	¹qa˙nʼ</i> ʹmayʹ	Qg		35	3	4	aux	opt							
dúɣa-raq.	ду́га-раӄ.	duga-raq.	²dʌˀq</i> ʹliveʹ	m3sg-subj.prs.intrans		35	4	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		36	1	2	nsubj				ʺHe is good.ʺ				
áqtaru.	а́ӄтару.	aqtaru.	áqta</i> ʹgoodʹ	adj.m3sg-subj		36	2	0	root					1			
																	
⁴Sʼɛlʼ	⁴Сель	⁴Śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		37	1	3	nsubj				The reindeer heard it.				
túrʼe	ту́ре	tuŕe	¹tu˙rʼ</i> ʹthisʹ	f.sg.abs		37	2	3	obj								
aɣɔvílʼdɛ.	агови́льдэ.	agoviľde.	aɣábdɛ</i> ʹhearʹ	m3sg-subj.prs.f3sg-obj		37	3	0	root					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		38	1	2	nsubj				He rejoiced.				
daqtásʼinʼɔ́lʼbet.	даӄта́синё́льбэт.	daqtaśińoľbet.	aqtásʼinʼ</i> ʼrejoiceʼ	D-m3sg-subj.praet.m3sg-obj		38	2	0	root					1			
																	
Dadésʼtulʼaŋ	Дадэ́сьтуляӈ	Dadeśtuľan	désʼtulʼ</i> ʼtearʼ	n.pl.abs.m3sg-poss		39	1	2	nsubj				His tears disappeared.				
ɛɣɔvílʼbesʼ.	эгови́льбэсь.	egoviľbeś.	dɛ́ɣabesʼ</i> ʼdisappearʼ	3pl-subj.praet		39	2	0	root					2			
(...)	(...)	(...)	-			39	3	2	punct		blank	376.png					
