text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	alt_page_lat	alt_page_cyr	chunk	chunk_desc	pic_desc
vьzrasta	вьзраста	vъzrasta	vъzrast	Nmsgn		5	5	6	obl															
dostîg^šïi.	дости̂г̂шїи.	dostigšii	dostigna	Vmpa-sea	Afsnn	5	6	26	advcl															
i+	и+	i	i	C		5	7	9	cc				and as she made up her mind,											
pomyslь^	помысль̂	pomyslъ	pomisъl	Nfsnn		5	8	9	obj															
ʾoutvrьdîvьšiʺ+	҆оутврьди̂вьши̏+	outvrъdivъši	utvъrdja	Vmpa-sea	Afsnn	5	9	6	conj															
i+	и+	i	i	C		5	10	11	cc				and as she had a desire for the angelic life,											
porévno_vav^šiʺ	поре́вно_вав̂ши̏	porevnovavši	porevna	Vmpa-sea	Afsnn	5	11	9	conj					1										
žitiʺju	жити̏ю	žitiju	žitie	Nnsdn		5	12	11	obl															
ʾágg҃lьskòmou.	҆áгг҃льско̀моу.	agglъskomou	angelski	Ansdy		5	13	12	amod															
î+	и̂+	i	i	C		5	14	15	cc				and having left her parents, and others, and all who are in the world,									4	Desert Life	
wstavšiʺ	ѡставши̏	ostavši	ostavja	Vmpa-sea	Afsnn	5	15	11	conj															
roditeljè	родителѥ̀	roditelje	roditel	Nmpay		5	16	15	obj															
ʾi+	҆и+	i	i	C		5	17	18	cc															
dru_gŷi	дрꙋ_гы̂и	drugyi	drug	Afsny		5	18	16	conj					1		NBKM 665: <i>drougii</i>								
î+	и̂+	i	i	C		5	19	20	cc															
vʾsa	в҆са	vsa	vse	Anpnn		5	20	18	conj															
jâže+	ꙗ̂же+	jaže	iže	Pr-npn		5	21	22	mark															
sout	соут	sout	sъm	Vmip3pi		5	22	20	acl															
vь+	вь+	vъ	v	Sl		5	23	24	case															
mîrě	ми̂рѣ	mirě	mir	Nmsln		5	24	22	obl	loc														
ʾi+	҆и+	i	i	C		5	25	26	cc				she followed Christ.											
poslědovaʺ	послѣдова̏	poslědova	poslědovati	Vmia3si		5	26	0	root															
xsou.	хсоу.	xsou	Xristos	Nmdy		5	27	26	obl	iobj														
																								
î+	и̂+	i	i	C		6	1	9	cc				And having herself winged by virtues,											
dobrodě_telmi	добродѣ_телми	dobrodětelmi	dobrodetel	Nmpin		6	2	4	obl					1										
sebe+	себе+	sebe	se	Px---g		6	3	4	obj															
vьperiʾvšiʺ,	вьпери҆вши̏,	vъperivši	vъperiti	Vmpa-sea	Afsnn	6	4	9	advcl															
î+	и̂+	i	i	C		6	5	6	cc				and having entered the desert,											
vьšьdšiʺ+	вьшьдши̏+	vъšъdši	vъniti	Vmpa-sea	Afsnn	6	6	9	conj															
vь+	вь+	vъ	v	Sa		6	7	8	case															
poustŷnju+	поусты̂ню+	poustynju	pustinja	Nfsan		6	8	6	obl	lat														
prěbŷ_vâše	прѣбы̂_вâше	prěbyvaše	prěbyvati	Vmii3si		6	9	0	root				she dwelt there, loving the life of silence, a life truly angelic	1										
tamo.	тамо.	tamo	tamo	R	Pr---a	6	10	9	advmod															
bezmlьvnòje	безмльвно̀ѥ	bezmlъvnoje	bezmъlven	Ansny		6	11	12	amod															
žîtïjé	жи̂тїѥ́	žitije	žitie	Nnsnn		6	12	13	obj															
poljúbiv^šiʺ.	полю́бив̂ши̏.	poljubivši	poljubiti	Vmpa-sea	Afsnn	6	13	9	advcl															
žîtïe	жи̂тїе	žitie	žitie	Nnsnn		6	14	12	appos					1										
vь+	вь+	vъ	v	Sl		6	15	16	case															
ʾistinѹ	҆истинѹ	istinѹ	istina	Nfsan		6	16	17	nmod															
agg҃lьskoje.	агг҃льскоѥ.	agglъskoje	angelski	Ansny		6	17	14	amod															
poštenijem	пощениѥм	poštenijem	poštenie	Nnsin		6	18	21	obl				strengthening her body by fasting and staying awake.											
bděnijem	бдѣниѥм	bděnijem	bdenie	Nnsin		6	19	18	conj															
tělo	тѣло	tělo	tělo	Nnsnn		6	20	21	obj															
oûdrou_čajûštiʺ.	оу̂дроу_чаю̂щи̏.	oudroučajušti	udručati	Vmpa-sia	Afsnn	6	21	13	advcl					1										
																								
i+	и+	i	i	C		7	1	6	cc				And there was no food nor drink seen in her.											
ne+	не+	ne	ne	Qz		7	2	3	advmod															
běše+	бѣше+	běše	sъm	Vmii3si		7	3	6	aux															
vь+	вь+	vъ	v	Sl		7	4	5	case															
njeʾi	нѥ҆и	njei	tja	Pp3fsd		7	5	6	obl	loc														
viděti	видѣти	viděti	vidja	Vmn---i		7	6	0	root															
jâstìjà	ꙗ̂стѝꙗ̀	jastija	jastie	Nnpnn		7	7	6	obl															
ni+	ни+	ni	ni	C		7	8	9	cc															
pʾitijà.	п҆итиꙗ̀.	pitija	pitie	Nnpnn		7	9	7	conj															
																								
nъ	нъ	nъ	no	C		8	1	6	cc				But her tears and endless prayers were her food and fodder.	2										
pišta	пища	pišta	pišta	Nfsnn		8	2	6	obl	pred	50v	/img/petka/bar_50v.jpg												
i+	и+	i	i	C		8	3	4	cc															
brášno	брáшно	brašno	brašno	Nnsnn		8	4	2	conj															
jeʾì	ѥ҆ѝ	jei	tja	Pp3fsd		8	5	6	obl	iobj														
běše+	бѣше+	běše	sъm	Vmii3si		8	6	0	root															
slь´zŷ.	сль́зы̂.	slъzy	sъlza	Nfpnn		8	7	6	nsubj															
ʾi+	҆и+	i	i	C		8	8	10	cc															
neprěstannïe	непрѣстаннїе	neprěstannie	neprestanen	Afpny		8	9	10	amod															
ml҃tvʾy	мл҃тв҆ы	mltvy	molitva	Nfpnn		8	10	7	conj															
																								
takw	такѡ	tako	tako	Pr		9	1	5	advmod				Thus living her life in that land,	1		The sentence seems to have no clear finite verb. The structure reflects that of NBKM 665.								
v^se	в̂се	vse	vse	Ansnn		9	2	3	amod	det														
žitijè	житиѥ̀	žitije	žitie	Nnsnn		9	3	5	obj															
svojè	своѥ̀	svoje	svoi	Ansny		9	4	3	amod	poss														
provaždajuštïi	проваждающїи	provaždajuštii	provaždam	Vmpp-sia	Afsnn	9	5	34	advcl															
i+	и+	i	i	C		9	6	11	cc															
vь+	вь+	vъ	v	Sl		9	7	9	case															
toʾì	то҆ѝ	toi	tъ	Pd-fsd		9	8	9	det															
straně.	странѣ.	straně	strana	Nfsdn		9	9	11	obl	loc														
dobroděte_lmi+	добродѣте_лми+	dobrodětelmi	dobrodetel	Nmpin		9	10	11	obl				having shined herself by virtues,	1										
prosvětiv^šiʺ+	просвѣтив̂ши̏+	prosvětivši	prosvětja	Vmpa-sea	Afsnn	9	11	5	conj															
se.	се.	se	se	Px---a		9	12	11	expl															
dobl^est^vně	добл̂ест̂внѣ	doblestvně	doblestno	R		9	13	14	advmod				having survived bravely,											
prěbŷvšiʺ.	прѣбы̂вши̏.	prěbyvši	prěbyvati	Vmpa-sia	Afsnn	9	14	11	conj															
i+	и+	i	i	C		9	15	24	cc				having both mind and senses mixed and integrated,											
ʾoúmь	҆оу́мь	oumъ	um	Nmsnn		9	16	24	obj															
i+	и+	i	i	C		9	17	18	cc															
čjû_vsʾtvò	чю̂_вс҆тво̀	čjuvstvo	čuvstvo	Nnsnn		9	18	16	conj					1										
vь+	вь+	vъ	v	Sl		9	19	20	case															
sebě+	себѣ+	sebě	se	Px---d		9	20	24	obl	loc														
sьměšenь	сьмѣшень	sъměšenъ	sъměšati	Amsnn	Vmpa-se	9	21	24	obl	pass:pred														
î+	и̂+	i	i	C		9	22	23	cc															
sьvьʾkoupljenь	сьвь҆коуплѥнь	sъvъkoupljenъ	sъvъkupljati	Amsnn	Vmpa-se	9	23	21	conj	pass:pred														
ímouštïì,	и́моущїѝ,	imouštii	imam	Vmpp-sia	Afsnn	9	24	14	conj															
i+	и+	i	i	C		9	25	28	cc															
vŷnou	вы̂ноу	vynou	vynu	R		9	26	28	advmod					1										
gʾorě	г҆орѣ	gorě	gorě	R		9	27	28	advmod															
prěbŷvajuštьʺ.	прѣбы̂вающь̏.	prěbyvajuštъ	prěbyvati	Vmpp-sia	Amsnn	9	28	24	conj															
ni+	ни+	ni	ni	C		9	29	30	amod				not a single earthly (thing could) smear itself on her.											
êdinoʺmou	е̂дино̏моу	edinomou	edin	Amsny		9	30	34	obl	iobj														
wt+	ѿ+	ot	ot	Sg		9	31	32	case															
zemlьnïix	земльнїих	zemlъniix	zemlen	A-pgy		9	32	30	nmod	abl														
toʾi	то҆и	toi	tja	Pp3fsd		9	33	34	obl	iobj														
prělěplja_ti+	прѣлѣплꙗ_ти+	prělěpljati	prělěpljati	Vmn---e		9	34	0	root					1										
se.	се.	se	se	Px---a		9	35	34	expl															
																								
nьʺ	нь̏	nъ	no	C		10	1	2	cc				But she dwellt (there), having winged (herself) towards God (with) all,											
prěbŷvaʺše	прѣбы̂ва̏ше	prěbyvaše	prěbyvati	Vmii3si		10	2	0	root															
v^sa	в̂са	vsa	vse	Anpnn		10	3	5	obj															
kь+	кь+	kъ	k	Sd		10	4	5	case															
b҃ou	б҃оу	bou	bog	Nmsdy		10	5	6	obl															
vьperiv^šì+	вьперив̂шѝ+	vъperivši	vъperiti	Vmpa-sea	Afsnn	10	6	2	advcl							Miklosich: vъperiti 'anapteroun, alis instruere, excitare'								
se.	се.	se	se	Px---a		10	7	6	expl															
w^striʺ	ѡ̂стри̏	ostri	ostъr	Amsny		10	8	11	amod				walking an edgy and cruel path.											
i+	и+	i	i	C		10	9	10	cc															
že_stókŷ	же_сто́кы̂	žestoky	žestok	Amsny		10	10	12	conj					1										
pouˇtь+	поўть+	poutъ	pǫt	Nmsnn		10	11	12	obj															
šьstvoujuštïì.	шьствоующїѝ.	šъstvoujuštii	ida	Vmpp-sia	Afsnn	10	12	6	advcl															
																								
(n/a)									mrg													5	Struggle with the Devil	
																								
i+	и+	i	i	C		11	1	5	cc				Having understood, that she will present herself (die), she left the desert.									6	Petka in Blachernae	
ʾsvoje+	҆своѥ+	svoje	svoi	Ansny		11	2	3	amod	poss														
prěstâvlʾjenïe+	прѣстâвл҆ѥнїе+	prěstavljenie	prestavlenie	Nnsnn		11	3	4	obj															
ouvěd_ʾvšiʺ,	оувѣд_҆вши̏,	ouvědvši	uvěděti	Vmpa-sea	Afsnn	11	4	5	advcl					1										
w^stavljajet	ѡ̂ставлꙗѥт	ostavljajet	ostavja	Vmip3se		11	5	0	root															
pousʾtynê	поус҆тыне̂	poustyne	pustinja	Nfsgn		11	6	5	obj															
																								
i+	и+	i	i	C		12	1	2	cc				And she went to Tsarigrad.											
prôxoditь	про̂ходить	proxoditъ	proxodja	Vmip3se		12	2	0	root															
vь+	вь+	vъ	v	Sa		12	3	10	case															
cr҃igradь.	цр҃иградь.	crigradъ	Carigrad	Nmsnn		12	4	2	obl	lat														
																								
ʾi+	҆и+	i	i	C		13	1	16	cc				And having visited the holy places, and living there for a while,											
st҃aʺ	ст҃а̏	sta	svęt	Anpnn		13	2	3	amod					1										
městà	мѣстà	města	město	Nnpnn		13	3	4	obj															
w^bьšdšiʺ,	ѡ̂бьшдши̏,	obъšdši	obida	Vmpa-sea	Afsnn	13	4	16	advcl															
ʾi+	҆и+	i	i	C		13	5	8	cc													7	Death of Petka	
touʺ+	тоу̏+	tou	tu	R	Pr---g	13	6	8	advmod															
malo	мало	malo	malo	R		13	7	8	advmod															
prěbŷv^šiʺ.	прѣбы̂в̂ши̏.	prěbyvši	prěbyvati	Vmpa-sia	Afsnn	13	8	4	conj															
í+	и́+	i	i	C		13	9	14	cc				and having come to Kalikratia, her fatherland,											
do+	до+	do	do	Sg		13	10	12	case															
svojego	своѥго	svojego	svoi	Ansgy		13	11	12	amod	poss														
wt_čьstvïa	ѿ_чьствїа	otčъstvia	otečestvie	Nnsgn		13	12	14	obl					1										
kalikrâtïe	каликрâтїе	kalikratie	Kalikratia	Nfsgn		13	13	12	appos															
došdšïi.	дошдшїи.	došdšii	doida	Vmpa-sea	Afsnn	13	14	8	conj															
touʺ	тоу̏	tou	tu	R	Pr---g	13	15	16	advmod				there she gave her blessed spirit to the hands of the Living God.											
prědas	прѣдас	prědas	predam	Vmia3se		13	16	0	root															
bl҃žennïî	бл҃женнїи̂	blžennii	blažen	Amsny		13	17	19	amod															
svo_î	сво_и̂	svoi	svoi	Amsny		13	18	19	amod	poss				1										
dx҃ь,	дх҃ь,	dxъ	dux	Nmsny		13	19	16	obj															
vь+	вь+	vъ	v	Sa		13	20	21	case															
roûcě	роу̂цѣ	roucě	rъka	Nfdnn		13	21	16	obl	lat														
b҃ou	б҃оу	bou	bog	Nmsdy		13	22	16	obl	iobj														
žiʺvou.	жи̏воу.	živou	živ	Amsdn		13	23	22	amod															
																								
î+	и̂+	i	i	C		14	1	6	cc				And by the honor she received the heavenly wreaths.											
po+	по+	po	po	Sd		14	2	3	case															
čьsti	чьсти	čъsti	čъst	Nfsgn		14	3	6	obl															
věnca	вѣнца	věnca	venec	Nmsgn		14	4	6	obj															
nbsnaʺgo	нбсна̏го	nbsnago	nebesen	Amsgy		14	5	4	amod															
vь_sprijet.	вь_сприѥт.	vъsprijet	vъzpriema	Vmia3se		14	6	0	root					1										
																								
ouloûčʾi	оулоу̂ч҆и	oulouči	uluča	Vmia3se		15	1	0	root				In that time happened, that one sailor was ill by a bad disease.									8	Discovery of the Relics	
že	же	že	že	Qd		15	2	1	cc															
se+	се+	se	se	Px---a		15	3	1	expl															
vь	вь	vъ	v	Sl		15	4	6	case															
toʺ	то̏	to	to	Qd		15	5	6	det															
vrěme	врѣме	vrěme	vreme	Nnsnn		15	6	1	obl															
korablьnikou	корабльникоу	korablъnikou	korabnik	Nmsdy		15	7	1	obl	iobj														
někojé_jemou	нѣкоѥ́_ѥмоу	někojejemou	někoi	Amsdy		15	8	7	amod	det				1										
bolěv^šouʺ	болѣв̂шоу̏	bolěvšou	bolěduvati	Vmpa-sia	Amsdn	15	9	7	acl															
ljutïim	лютїим	ljutiim	ljut	Amsiy		15	10	11	amod															
nedougom.	недоугом.	nedougom	nedug	Nmsin		15	11	9	obl															
																								
i+	и+	i	i	C		16	1	2	cc				And he died.											
prěstavî+	прѣстави̂+	prěstavi	prestavja	Vmia3se		16	2	0	root															
se	се	se	se	Px---a		16	3	2	expl															
																								
pogrebenь	погребень	pogrebenъ	pogreba	Vmpa-se	Amsnn	17	1	0	root	pass			(And) he was buried near a pillar.	1										
bys	быс	bys	sъm	Vaia3se		17	2	1	aux	pass														
blîzь	бли̂зь	blizъ	blizo	Sg		17	3	4	case															
stlьpà.	стльпà.	stlъpa	stъlp	Nmsgn		17	4	1	obl															
																								
ʾi+	҆и+	i	i	C		18	1	22	cc				And as the stench went out from that grave,											
tàko+	тàко+	tako	tako	Pr		18	2	4	advmod															
smradou+	смрадоу+	smradou	smrad	Nmsdn		18	3	4	nsubj															
isxodeštou	исходещоу	isxodeštou	izxodja	Vmpp-sea	Amsdn	18	4	22	advcl															
wt+	ѿ+	ot	ot	Sg		18	5	6	case															
groba	гроба	groba	grob	Nmsgn		18	6	4	obl	abl				1										
tôgo.	то̂го.	togo	tъ	Pd-msg		18	7	6	det	p_nom														
jâko+	ꙗ̂ко+	jako	jako	C		18	8	11	mark				(so much) that it was impossible to pass by that way,											
nikoʺmou+	нико̏моу+	nikomou	nikoi	Pz---d		18	9	11	obl	iobj						NBKM 665: <i>nikomuže</i>								
moštî	мощи̂	mošti	moga	Vmn---i		18	10	11	aux															
minoutî	миноути̂	minouti	mina	Vmn---e		18	11	4	advcl															
poûtem	поу̂тем	poutem	pǫt	Nmsin		18	12	11	obl															
těmь.	тѣмь.	těmъ	tъ	Pd-msi		18	13	12	det	p_nom														
i+	и+	i	i	C		18	14	17	cc				and as there was a stylite, he was forced to descend from the pillar,											
touʺ	тоу̏	tou	tu	R	Pr---g	18	15	17	advmod					1										
s^tlьpьnikou	с̂тльпьникоу	stlъpъnikou	stъlpnik	Nmsdy		18	16	17	nsubj															
soúštou,	соу́щоу,	souštou	sъm	Vmpp-sia	Amsdn	18	17	4	conj															
ponouždenь	поноуждень	ponouždenъ	ponuždaja	Vmpa-se	Amsnn	18	18	22	aux	pass														
bŷvь+	бы̂вь+	byvъ	sъm	Vapa-si	Amsnn	18	19	18	aux	pass														
î(s)+	и̂(с)+	is	iz	Sg		18	20	21	case															
stlьpa.	стльпа.	stlъpa	stъlp	Nmsgn		18	21	22	obl	abl														
ʾizìtʾi.	҆изѝт҆и.	iziti	izida	Vmn---e		18	22	0	root					1										
i+	и+	i	i	C		18	23	29	cc				and to bury the corpse deeper in the ground,											
troúpa+	троу́па+	troupa	trup	Nmsgn		18	24	29	obj															
ʾwnogo	҆ѡного	onogo	on	Pd-msg		18	25	24	det	p_nom														
glьboče	гльбоче	glъboče	glъboko	Rc		18	26	29	advmod															
vь+	вь+	vъ	v	Sl		18	27	28	case															
zèmli+	зѐмли+	zemli	zemlja	Nfsdn		18	28	29	obl	loc														
pogrêstì.	погре̂стѝ.	pogresti	pogreba	Vmn---e		18	29	22	conj															
jâko+	ꙗ̂ко+	jako	jako	C		18	30	36	mark				so that the stench does not come from the depth.											
da+	да+	da	da	C		18	31	30	fixed															
vo_nja	во_нꙗ	vonja	vonja	Nfsnn		18	32	36	nsubj					1										
iz+	из+	iz	iz	Sg		18	33	34	case															
glьbýni	гльбы́ни	glъbyni	glъbina	Nfsgn		18	34	36	obl	abl														
ne+	не+	ne	ne	Qz		18	35	36	advmod															
isxoditь.	исходить.	isxoditъ	izxodja	Vmip3si		18	36	29	advcl															
																								
înïi+	и̂нїи	inii	in	Ampny		19	1	12	nsubj				Others, having heard (about it), took the corpse from the way and buried it next to the body of the saint.											
že	же	že	že	Qd		19	2	3	cc															
slýšavʾšeʺ	слы́шав҆ше̏	slyšavše	slyšati	Vmpa-pia	Ampnn	19	3	12	advcl															
i+	и+	i	i	C		19	4	8	cc															
wt+	ѿ+	ot	ot	Sg		19	5	6	case															
pu_ta	пꙋ_та	puta	pǫt	Nmsgn		19	6	8	obl	abl				1										
troúpь+	троу́пь+	troupъ	trup	Nmsnn		19	7	8	obj															
vьzьm^šeʺ.	вьзьм̂ше̏.	vъzъmše	vzema	Vmpa-pea	Ampnn	19	8	3	conj															
blízь+	бли́зь+	blizъ	blizo	Sg		19	9	10	case															
těla+	тѣла+	těla	tělo	Nnsgn		19	10	12	obl															
st҃ïe	ст҃їе	stie	svęt	Afsgy		19	11	10	nmod	poss														
pogréboše.	погре́боше.	pogreboše	pogreba	Vmia3pe		19	12	0	root															
																								
tě_lo+	тѣ_ло+	tělo	tělo	Nnsnn		20	1	5	obj				And as the body (of the saint) seemed healthy, holding itself, perfect and strong, they were amazed.	1										
že	же	že	že	Qd		20	2	11	cc															
toʺ	то̏	to	to	Qd		20	3	1	det															
cělo+	цѣло+	cělo	cěl	Ansnn		20	4	5	amod	pred														
viděvšeʺ	видѣвше̏	viděvše	vidja	Vmpa-pea	Ampnn	20	5	11	advcl															
samo	само	samo	sam	Ansnn		20	6	7	amod															
ʾoúkrěpljeno,	҆оу́крѣплѥно,	oukrěpljeno	ukrepja	Ansnn	Vmpa-se	20	7	4	conj	pass														
sьvrьšeno,	сьврьшено,	sъvrъšeno	svъrša	Ansnn	Vmpa-se	20	8	7	conj	pass														
î	и̂	i	i	C		20	9	10	cc					1										
zdravo,	здраво,	zdravo	zdrav	Ansnn		20	10	8	conj															
divišè+	дивишѐ+	diviše	divja	Vmia3pi		20	11	0	root															
se.	се.	se	se	Px---a		20	12	11	expl															
																								
i+	и+	i	i	C		21	1	23	cc				And as they understood it so, that if it was a holy body, God would make it appear by a miracle,											
wt+	ѿ+	ot	ot	Sg		21	2	3	case															
sêgo	се̂го	sego	sii	Pd-msg		21	3	4	obl	abl														
razouměvʾšè,	разоумѣв҆шѐ,	razouměvše	razumeja	Vmpa-pia	Ampnn	21	4	23	advcl															
jako	ꙗко	jako	jako	C		21	5	8	mark															
aštè+	ащѐ+	ašte	ašte	C		21	6	5	fixed															
bi+	би+	bi	bъda	Vao-3se		21	7	9	aux	con														
st҃o	ст҃о	sto	svęt	Ansnn		21	8	13	advcl					1										
bilo+	било+	bilo	sъm	Vmp--si	Ansnn	21	9	8	cop															
tělo	тѣло	tělo	tělo	Nnsnn		21	10	8	nsubj															
sijê	сиѥ̂	sije	sii	Pd-nsn		21	11	10	det	p_nom														
b҃ь	б҃ь	bъ	bog	Nmsny		21	12	13	nsubj															
wt_kriʾl+	ѿ_кри҆л+	otkril	otkrija	Vmp--se	Amsnn	21	13	4	advcl															
by	бы	by	bъda	Vao-3se		21	14	13	aux	con														
ʾčjudesî.	҆чюдеси̂.	čjudesi	čudo	Nnpin		21	15	13	obl															
i+	и+	i	i	C		21	16	20	cc				and thus, having left it in the same place, they went away.											
vь+	вь+	vъ	v	Sl		21	17	19	case															
tomžde+	томжде+	tomžde	tъžde	Pr-nsl		21	18	19	det	ext														
mě_stě	мѣ_стѣ	městě	město	Nnsln		21	19	20	obl	loc				1										
w^stâvlьše	ѡ̂стâвльше	ostavlъše	ostavja	Vmpa-pea	Ampnn	21	20	4	conj															
st҃yʺjè	ст҃ы̏ѥ̀	styje	svęt	Afsgy		21	21	22	nmod	poss														
tělo	тѣло	tělo	tělo	Nnsnn		21	22	20	obj															
wtìdoše.	ѿѝдоше.	otidoše	otida	Vmia3pe		21	23	0	root															
																								
i+	и+	i	i	C		22	1	2	cc				And then:									9	Recovery of the Relics	
seʺ+	се̏+	se	se (2)	Qd		22	2	0	root															
																								
eterь	етерь	eterъ	eter	Amsnn		23	1	6	nsubj				One of those, called George, saw a strange and terrible dream,	1										
wt+	ѿ+	ot	ot	Sg		23	2	3	case															
nyxь	ныхь	nyxъ	tě	Pp3-pa		23	3	1	nmod	abl														
imenem	именем	imenem	ime	Nnsin		23	4	5	obl	pred														
gewrgïjè.	геѡргїѥ̀.	georgije	Georgi	Nmsvy		23	5	1	acl															
vìdě+	вѝдѣ+	vidě	vidja	Vmia3si		23	6	0	root															
s҃nь	с҃нь	snъ	sъn	Nmsnn		23	7	6	obj															
takovь	таковь	takovъ	takъv	Amsnn		23	8	7	amod	det														
čjudьnь,	чюдьнь,	čjudъnъ	čuden	Amsnn		23	9	7	amod															
î	и̂	i	i	C		23	10	11	cc					1										
oúžâsьnь.	оу́жâсьнь.	oužasъnъ	užasen	Amsnn		23	11	9	conj															
cr҃cou+	цр҃цоу+	crcou	carica	Nfsay		23	12	7	conj				a queen sitting on a throne, and many ranks staying in front of her.											
někouju	нѣкоую	někouju	někoi	Afsay		23	13	12	amod	det														
sědeštoujû	сѣдещоую̂	sědeštouju	sedja	Vmpp-sia	Afsay	23	14	12	acl															
na+	на+	na	na	Sl		23	15	16	case															
prěstolě.	прѣстолѣ.	prěstolě	prestol	Nmsln		23	16	14	obl	loc														
í+	и́+	i	i	C		23	17	19	cc															
čí_nôvьʺ	чи́_но̂вь̏	činovъ	čin	Nmpgn		23	18	19	nmod					1										
množь_stvò+	множь_ство̀+	množъstvo	množestvo	Ansnn		23	19	12	conj															
prědstoješte,	прѣдстоѥще,	prědstoješte	predstoja	Vmpp-pia	Ampnn	23	20	19	acl															
eí.	еи́.	ei	tja	Pp3fsd		23	21	20	obl	iobj														
																								
îxže+	и̂хже+	ixže	iže	Pr-mpg		24	1	2	obj				Seeing them, he was overcome by fear.											
viděv	видѣв	viděv	vidja	Vmpa-sia	Amsnn	24	2	5	advcl															
abïe	абїе	abie	abie	R		24	3	5	advmod															
straxom	страхом	straxom	strax	Nmsin		24	4	5	obl					1										
