text	Cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
toatǫ	тоатѫ	toată	tot	Afsn		4	9	10	amod														
vïaca+	вїаца+	viața	viață	Nfson		4	10	20	obl														
sa	са	sa	său	Afsn		4	11	10	amod	poss													
ku+	кꙋ+	cu	cu	C		4	12	13	case														
mlstenïe	млстенїе	mlstenie	milostenie	Nfsnn		4	13	20	obl														
ši	ши	și	și	C		4	14	16	cc														
ku+	кꙋ+	cu	cu	S		4	15	16	case														
fapte	фапте	fapte	faptă	Nfpnn		4	16	13	conj														
bune	бꙋне	bune	bun	Afpn		4	17	16	amod					1									
lui	лꙋи	lui	ille	Pd-msd		4	18	19	det														
dmźъu	дмѕъꙋ	dmdzău	Dumnezeu	Nmsoy		4	19	20	obl	iobj													
îgǫduę.	ꙟгѫдꙋѧ.	îngăduia	îngădui	Vmii3s		4	20	0	root														
																							
fъrǫ	фърѫ	fără	fără	S		5	1	4	case				except this holy, they also had another virtuous child who his parents gave to the books (to the study of the holy book) and to study the book well 			i takovyx dobrodětělei dělatele byvše, oboimь otročętemь spdbišǫs byti oci· Ixže ovь ubo mǫžьsky, ovo že žensky javlěaše sę polь.							
d+	д+	de	de	S		5	2	4	case														
ěčasta	ѣчаста	aceasta	acest	Pd-fsn		5	3	4	det														
svъntǫ	свънтѫ	svîntă	sfînt	Nfsny		5	4	5	obl					1									
avurǫ	авꙋрѫ	avură	avea	Vmia3p		5	5	0	root														
ši+	ши+	și	și	C		5	6	8	amod														
altь	алть	alt	alt	Afsn		5	7	8	amod														
fečorь	фечорь	fecior	fecior	Nmsny		5	8	5	obj														
parte	парте	parte	parte	Nfsnn		5	9	8	appos														
bǫrbǫtěskǫ.	бѫрбѫтѣскѫ.	bărbătească	bărbătesc	Afsn		5	10	9	amod														
																							
pre	пре	pre	pre	S		6	1		case					1									
kare+	каре+	care	care	Pr		6	2		obl	iobj													
le.	ле.	le	ille	Pp-fp		6	3		expl														
děderǫ+	дѣдерѫ+	deaderă	da	Vmia3s		6	4		root														
lь	ль	l	el	Pp3-sa		6	5		expl														
pъrincï+	пъринцї+	părinți	părinte	Nmpny		6	6		nsubj														
i	и	i	ille	Pd-mpn		6	7		det	p_nom													
lui	лꙋи	lui	lui	Pp3msd		6	8		det	poss													
la+	ла+	la	la	S		6	9		case														
karte.	карте.	carte	carte	Nfsnn		6	10		obl														
																							
ši	ши	și	și	C		7	1	4	cc					1									
děka+	дѣка+	deacă	dacă	C		7	2	4	cc														
l'	л͛	l	el	Pp3msa		7	3	4	expl														
îvъcǫ	ꙟвъцѫ	învăță	învăță	Vmia3s		7	4	0	root														
karte	карте	carte	carte	Nfsnn		7	5	4	obj														
bine.	бине.	bine	bine	R		7	6	4	advmod														
																							
pǫrincï+	пѫринцї+	părinți	părinte	Nmpny		8	1	6	obj				He left the parents and all the people to dress himself (as a monk) and he was given the monk's name Eftimie			jako ubo sštennaa dobrě izvyče pisanïa, roditelę dobrě kь bu prděposla, inočьskyimь sebe oděa obrazomь. kѵrь eѵѳѵmïemь imenovanь byvь·							
i	и	i	ille	Pd-mpn		8	2	1	det	p_nom													
ši	ши	și	și	C		8	3	4	cc														
lumě	лꙋмѣ	lumea	lume	Nfson		8	4	1	conj					1									
toatǫ	тоатѫ	toată	tot	Afsn		8	5	4	amod														
pǫrǫsi.	пѫрѫси.	părăsi	părăsi	Vmia3s		8	6	0	root														
ši	ши	și	și	C		8	7	11	conj														
pre+	пре+	pre	pre 	S		8	8	9	case														
sine	сине	sine	sine	Px---o		8	9	11	obj														
sъ+	съ+	să	se	C		8	10	11	expl														
kǫlugǫri,	кѫлꙋгѫри,	călugări	călugări	Vmia3s	Vmn	8	11	6	conj														
																							
šï+	шї+	și	și	C		9	1	4	cc														
i	и	i	el	Pp3-sd		9	2	4	obl	iobj				1									
fou	фоу	fu	fi	Vaia3s		9	3	4	aux														
pusь	пꙋсь	pus	pune	Vmpa		9	4	0	root														
nume	нꙋме	nume	nume	Nnsnn		9	5	4	obj														
de+	де+	de	de	S		9	6	7	case														
kъlugǫrïe	кълꙋгѫрїе	călugărie	călugărie	Nfsnn		9	7	5	nmod														
Eѳimïe.	Єѳимїе.	Eftimie	Eftimie	Nfsny		9	8	7	appos														
																							
ši	ши	și	și	C		10	1	6	cc				and for his numerous good deeds, he was named Archbishop and Pastor in the chair which is called Madit			jakože imeni ego po vьsǫdu obnosimo byti• iže za prěmnogyǫ ego dobrodětěli, na arxïereistva prěstolь vьzvednь bys. i maditьsky postavlenь bys prьvoprěstolnikь že i pastyrь⸱							
pen'_	пен͛_	pentru	pentru	S		10	2	6	case					1									
multe	мꙋлте	multe	mult	Afpn		10	3	6	amod														
a+	а+	a 	a 	Ps-fs		10	4	5	case														
lui	лꙋи	lui	el	Pp3msd		10	5	6	nmod	poss													
bunǫtǫci,	бꙋнѫтѫци,	bunătăți	bunătate	Nfpnn		10	6	8	advcl														
fou	фоу	fu	fi	Vaia3s		10	7	8	aux														
pusь	пꙋсь	pus	pune	Vmp--e		10	8	0	root														
Aprxïereu	Апрхїереꙋ	arhiereu	arhiereu	Nmsoy		10	9	8	obl					1									
ši	ши	și	și	C		10	10	11	cc														
pǫstorju.	пѫсторю.	păstoriu	păstor	Nmsoy		10	11	8	conj														
la+	ла+	la	la	S		10	12	13	case														
skaun+	скаꙋн+	scaun	scaun	Nnsnn		10	13	11	nmod														
ulь	ꙋль	ul	ille	Pd-nsn		10	14	13	det	p_nom													
če+	че+	ce	ce	Pr		10	15	13	mark														
sъ+	съ+	se	se	Px---a		10	16	17	expl														
kema	кема	chema	chema	Vmip3s	Vmn	10	17	13	acl														
i+maditь.	и+мадить.	Imadit	Imadit	Nmsny		10	18	17	obj					1									
																							
ši	ши	și	și	C		11	1	7	cc				and there she made many and great wonders			ideže i mnogaa i prěslavna sьděa čjudesa.							
akolo	аколо	acolo	acolo	R		11	2	7	adv														
multe	мꙋлте	multe	mult	Afpn		11	3	6	amod														
ši	ши	și	și	C		11	4	5	cc														
mari	мари	mari	mare	Afpn		11	5	3	conj														
čjudese	чюдесе	ciudese	ciudesă	Nfpnn		11	6	7	obj														
fǫkou.	фѫкоу.	făcu	face	Vmia3s		11	7	0	root														
																							
ši	ши	și	și	C		12	1	3	cc				and after his death, a source of chrism ran out of his body	1		nǫ i prěkǫ mѵra prěslavno istočišǫ. jaže na pьprište edino istěkaaše vь more.							
dupǫ	дꙋпѫ	după	după	S		12	2	3	case														
moartě	моартѣ	moartea	moarte	Nfson		12	3	9	advcl														
lui.	лꙋи.	lui	el	Pp3msd		12	4	3	nmod	poss													
izvorь	изворь	izvor	izvor	Nmsnn		12	5	9	nsubj														
de+	де+	de	de	S		12	6	7	case														
mirь	мирь	mir	mir	Nnsn		12	7	5	nmod														
au+	аꙋ+	au	avea	Vaip3p		12	8	9	aux														
kursь	кꙋрсь	curs	curge	Vmp--e		12	9	0	root														
di_î+	ди_ꙟ+	di	din	S		12	10	11	case					1									
trup+	трꙋп+	trup	trup	Nnsnn		12	11	9	obl														
ulь	ꙋль	ul	ille	Pd-nsn		12	12	11	det	p_nom													
lui.	лꙋи.	lui	el	Pp3msd		12	13	11	nmod	poss													
																							
Jarǫ	Ꙗрѫ	iară	iar	C		13	1	8	cc				And the holy (Parascheva) spent (her life) at her parent's house			-							
svъnta	свънта	svînta	sfînt	Nfsoy		13	2	8	nsubj														
î+	ꙟ+	în	în	S		13	3	4	case														
kasa.	каса.	casa	casă	Nfson		13	4	8	obl														
pъrinci+	пъринци	părinți	părințe	Nmpny		13	5	4	nmod					1									
lorь	лорь	lor	ille	Pd-mpd		13	6	5	det														
sǫi+	сѫи+	săi	său	Ampn		13	7	5	amod	poss													
petrečę.	петречѧ.	petrecea	petrece	Vmii3s		13	8	0	root														
																							
jarǫ	ꙗрѫ	iară	iar	C		14	1	3	cc				and when she was ten years old, after having the ritual to guard the church, she went to the church of the Holy Mother on one of the days			desętomu že lětu toǫ vьzrasta jako prišedšu, 							
kъndь	къндь	cînd	cînd	R		14	2	3	mark														
fou	фоу	fu	fi	Vmia3s		14	3		advcl														
de	де	de	de	S		14	4	5	case														
*ı*	·ı·	10	10	Mc		14	5	6	nummod														
li	ли	an	an	Nmpnn		14	6	8	nmod														
de+	де+	de	de 	S		14	7	8	case	abl													
vъr_stǫ.	вър_стѫ.	vîrstă	vîrstă	Nfsnn		14	8	3	obl					2									
dupǫ	дꙋпѫ	după 	după	S		14	9	11	cc		47	/img/varlaam/cazania47.jpg				vь crkovь prčtsyǫ bcǫ i prinso dvy marіǫ, po obyčau prïide.							
kum'	кꙋм͛	cum	cum	R		14	10	11	cc														
avě	авѣ	avea	avea	Vmii3s		14	11	17	advcl														
wbičnǫ	ѡбичнѫ	obicnă	obicină	Nfsnn		14	12	11	obj														
a+	а+	a 	a	C		14	13	14	aux	inf													
pǫzi	пѫзи	păzi	păzi	Vmia3s	Vmn	14	14	11	advcl														
besěreka,	бесѣрека,	besearecă	biserică	Nfsnn		14	15	14	obj					1									
měrsǫ	мѣрсѫ	mearsă	merge	Vmp--e		14	16	0	root														
într+	ꙟнтр+	între	în 	S		14	17	18	case														
una	ꙋна	una	una	Pd-fsn		14	18	16	obl	det													
de+	де+	de	de 	S		14	19	20	case														
źile	ѕиле	zi	zi	Nfpnn		14	20	18	obl														
le	ле	le	ul	Pd-fpn		14	21																
la+	ла+	la	la	S		14	22	23	case														
w	ѡ	o 	o 	Pd-fsn		14	23	23	det														
besěrekǫ	бесѣрекѫ	biserică	biserică	Nfsnn		14	24	16	obl														
a	а	a	a	Ps-fs		14	25	25	cc	??													
Prěčis_te+	Прѣчис_те+	Preciste	Precistă	Nfsdy		14	26	23	nmod														
i.	и.	i	ille	Pd-fsd		14	27	25	det	p_nom				1									
																							
ši	ши	și	și	C		15	1	3	cc				and there she heard reading the God's word from the Holy Gospel 			i obyčně bžstьvnomu eѵglïu pročitaemu,							
akolo	аколо	acolo	acolo	R		15	2	3	advmod														
auźi	аꙋѕи	auzi	auzi	Vmia3s	Vmn	15	3	0	root														
četindь	четиндь	citind	citi	Vmpp		15	4	3	cop														
î+	ꙟ+	în	în	S		15	5	7	case														
svъnta	свънта	sfînta	sfînt	Afsn		15	6	7	amod														
eva_gelïe,	ева_гелїе,	Evanghelie	Evanghelie	Nfsnn		15	7	4	obl					1									
kuvъnt+	кꙋвънт	cuvînt	cuvînt	Nnsnn		15	8	3	obj							Slyša bžtsьvnyi onь glas glęštïi.							
ulь	ꙋль	ul	ul	Pd-nsn		15	9	8	det	p_nom													
lui	лꙋи	lui	lui	Pd-msd		15	10	11	det														
dmźъu	дмѕъꙋ	Dumnezeu	Dumnezeu	Nmsny		15	11	8	nmod														
ačela	ачела	acela	acel	Pd-msn		16	12	8	aposs				the one that says										
čau+	чаꙋ+	ce	ce	Pr		16	13	12	mark														
źisь,	ѕись,	zice	zice	Vmip3s	Vmn	16	14	12	acl														
																							
či	чи	cine	cine	Pr		17	1	6	nsubj				Who wants to follow me, shall shed oneself	1									
ne+	не+	ne	ne	Qz		17	2	3	advmod														
vavrě	ваврѣ	vavrea	vrea	Vmn		17	3	6	aux							iže xoštet po mně iti, da otvrьžet sę sebe i vьzmet krstь svoi i poslěduet mi (Mt 16:24)							
va	ва	va	vrea	Vaip3s		17	4	3	aux														
sъ+	съ+	să	să	C		17	5	6	mark														
vïe	вїе	vie	veni	Vmip3s		17	6	11	advcl	csubj													
dupъ+	дꙋпъ+	după	după cum	S		17	7	8	case														
mene,	мене,	mene	eu	Pp1-so		17	8	6	obl														
sъ+	съ+	să	să	C		17	9	11	aux	opt													
sǫ	сѫ	se	se	Px---a		17	10	11	expl														
lěpede	лѣпеде	lepăde	lepăda	Vmsp3s		17	11	0	root														
de+	де+	de	de	S		17	12	13	case														
sine	сине	sine	sine	Px---o		17	13	11	obl														
																							
ši	ши	și	și	C		18	1	3	cc				And take their cross	1									
sъ+	съ+	să	să	C		18	2	3	aux	opt													
ja	ꙗ	ia	lua	Vmip3s		18	3	0	root														
kručę	крꙋчѧ	cruce	cruce	Nfsnn		18	4	3	obj														
sa	са	sa	sa	Afsn		18	5	4	amod	poss													
																							
ši	ши	și	și	C		19	1	4	cc				and shall follow me like this										
ašę	ашѧ	așa	așa	R		19	2	4	advmod														
sъ+	съ+	să	să	C		19	3	4	aux	opt													
vïe	вїе	vie	veni	Vmip3s		19	4	0	root														
dupǫ+	дꙋпѫ+	după	după cum	C		19	5	6	case														
mene.	мене.	mene	eu	Pp1-so		19	6	4	obl														
																							
de+	де+	de	de	S		20	1	3	case				from this word she was hit in the soul like from an arrow	1	i jako strěloǫ někotoroǫ ujazvena byvši, abïe izь crьkve izšedši.								
ače_sta	аче_ста	acesta	acest	Pd-nsn		20	2	3	det														
kuvъntь	кꙋвънть	cuvînt	cuvînt	Nnsnn		20	3	9	obl														
ka+	ка+	ca	ca	Pr		20	4	7	case														
de+	де+	de	de	C		20	5	7	case														
o+	о+	o	o	Pd-fsn		20	6	7	det														
siѡџatǫ	сиѡџатѫ	săgeată	săgeată	Nfsnn		20	7	9	obl														
fou	фоу	fu	fi	Vmia3s		20	8	9	aux	perf													
rǫnitǫ	рѫнитѫ	rănită	răni	Vmpa	Afsn	20	9	0	root														
la+	ла+	la	la	S		20	10	11	case					1									
nii_mǫ.	нии_мѫ.	niimă	inimă	Nfsnn		20	11	9	obl														
																							
ši	ши	și	și	C		21	1	3	cc				and when she left the church, greeted a poor										
děka	дѣка	deacă	dacă	C		21	2	3	cc														
eši	еши	ieși	ieși	Vmia3s		21	3	6	advcl														
diî+	диꙟ+	din	din	C		21	4	5	case														
bsěrekǫ,	бсѣрекѫ,	bserică	biserică	Nfsnn		21	5	3	obl														
tъîpinǫ	тъꙟпинѫ	tăîmpină	întâmpina	Vmia3s		21	6	0	root					1		i uboga někoego srětši, sьnemši sь sebe rizy i vьsę ęže nošaaše děvičьskǫę utvarь, tomu vьsě usrьdno otdastь							
ounь	оунь	un	un	Pd-msn		21	7	8	det														
sǫrakь	сѫракь	sărac	sărac	Nmsny		21	8	6	obj														
																							
ši	ши	și	și	C		22	1	3	cc				and took off her cloth and her girly ornaments										
sъ+	съ+	să	se	Px---a		22	2	3	expl														
dezbrǫkǫ	дезбрѫкѫ	dezbrăcă	dezbrăca	Vmia3s		22	3	0	root														
de+	де+	de	de	S		22	4	5	case														
xaina	хаина	haină	haină	Nfsnn		22	5	3	obl														
če	че	ce	ce	Pr		22	6	7	mark														
avě	авѣ	avea	avea	Vmii3s		22	7	5	acl					1									
de+	де+	de	de	S		22	8	9	case														
supra,	сꙋпра,	supra	asupra	R		22	9	7	advmod														
ši	ши	și	și	C		22	10	13	cc														
de+	де+	de	de	S		22	11	13	case														
toate	тоате	toate	tot	Afpn		22	12	13	amod														
podoabe+	подоабе+	podoabe	podoabă	Nfpnn		22	13	5	conj														
le	ле	le	ille	Pd-fpn		22	14	13	det	p_nom													
fetešti.	фетещи.	fetești	fetesc	Afpn		22	15	13	amod														
																							
ši	ши	și	și	C		23	1	7	cc				and with zeal she gave all of them away	1		Vь takověmь oubo obrazě vь domь jako prišedši i ot roditelei jako viděna byvši, čto podobaetь i glati koliko ukorena bys i ponosima ot nix i biema, jako da ne takožde drugoici sьtvoritь.							
ačeluę	ачелꙋѧ	aceluia	aceluia	Pd-msd		23	2	3	nmod														
toate	тоате	toate	tot	Pi-pn		23	3	7	amod														
ku+	кꙋ+	cu	cu	S		23	4	5	cc														
wsrъdïe	ѡсръдїе	osîrdie	osîrdie	Nfsnn		23	5	7	obl														
le+	ле+	le	le	Pp3fpa		23	6	5	det	p_nom													
děde.	дѣде.	deade	da	Vmii3s		23	7	0	root							ni vь čto že těxь ukorizny vьměni. nǫ bžtsьvnymь raspalivši sę želanïemь, bgootca dvda vь umě obnošaaše glь.							
																							
ši	ши	și	și	C		24	1	7	cc				and she came to her parents house										
ašę	ашѧ	așia	așa	R		24	2	7	advmod														
î	ꙟ	î	în	S		24	3	4	case					1									
kasa.	каса.	casa	casă	Nfson		24	4	7	obl														
pǫrinci+	пѫринци+	părinţi	părinte	Nmpny		24	5	4	nmod														
lorь	лорь	lor	ille	Pd-mpd		24	6	5	det														
veni.	вени.	veni	veni	Vmia3s		24	7	0	root														
																							
ši	ши	și	și	C		25	1	4	cc				and when the parents heard of it, they sufficiently scolded her 										
děka	дѣка	deacă	dacă	C		25	2	4	cc														
fu	фꙋ	fu	fi	Vmia3s		25	3	4	aux	pass													
štïutъ	щїꙋтъ	știut	ști	Vmp		25	4	8	advcl					1									
de+	де+	de	de	C		25	5	6	case														
pǫrinci.	пѫринци.	părinţi	părinte	Nmpny		25	6	4	obl														
w+	ѡ+	o	ea	Pp3fsa		25	7	8	obj							nǫ dobraa ona dva, i blgočьstivaa větvь paraskevi, ni vь čto že těxь ukorizny vьměni.							
mustrarǫ	мꙋстрарѫ	mustrară	mustra	Vmia3p		25	8	0	root														
destulь	дестꙋль	destul	destul	R		25	9	8	advmod														
																							
ši	ши	și	și	C		26	1	3	cc				and they beat her so that she would not do this again										
o+	о+	o	ea	Pp3fsa		26	2	3	obj														
bǫturъ	бѫтꙋръ	bătur	bate	Vmia3p		26	3	0	root					1									
ka+	ка+	ca	ca	C		26	4	7	mark														
sъ+	съ+	să	să	C		26	5	7	aux	opt													
nu+	нꙋ+	nu	nu	Qz		26	6	7	advmod														
fakǫ	факѫ	facă	face	Vmsi3s		26	7	3	advcl														
ši	ши	și	și	C		26	8	10	amod														
altǫ	алтѫ	altă	alt	Afsn		26	9	10	amod														
datǫ	датѫ	dată	dată	Nfsnn		26	10	7	obl														
ašę.	ашѧ.	așia	așa	R		26	11	7	advmod														
																							
če	че	ce	ci	C		27	1	11	cc														
ačěę+	ачѣѧ+	aceaia	acea	Pd-fsn		27	2	6	det				but the kind and wise virgin didn't care about it										
buna	бꙋна	buna	bun	Afso		27	3	6	amod					1									
ši	ши	și	și	C		27	4	5	cc														
îcelěpta	ꙟцелѣпта	înțelepta	înțelept	Afso		27	5	3	conj														
fečoarǫ	фечоарѫ	fecioară	fecioară	Nfsny		27	6	11	nsubj														
ačěstę	ачѣстѧ	acestea	acest	Afsn		27	7	6	det														
nemikǫ.	немикѫ.	nemică	nimic	Pz		27	8	11	obj														
nu+	нꙋ+	nu	nu	Qz		27	9	11	advmod														
le	ле	le	ei	Pp3pa		27	10	11	obl	iobj				1									
sokotïa.	сокотїа.	socotia	socoti	Vmii3s		27	11	0	root														
																							
če+	че+	ci	ci	C		28	1	14	cc				and she gave again all her things to another poor man										
š+	ш+	ș	și	C		28	2	14	cc														
altǫ	алтѫ	altă	alt	Afsn		28	3	4	amod														
datǫ	датѫ	dată	dată	Nfsnn		28	4	14	obl														
altui	алтꙋи	altui	alt	Amsd		28	5	6	amod														
sъrakь	съракь	sărac	sărac	Nmsny		28	6	14	obl	iobj													
toate	тоате	toate	tot	Afpn		28	7	8	amod					1									
podoabe+	подоабе+	podoabe	podoabă	Nfpnn		28	8	14	obj														
le	ле	le	ul	Pd-fpn		28	9	8	det	p_nom													
sale	сале	sale	sa	Afpn		28	10	8	amod	poss													
če+	че+	ce	ce	Pr		28	11	12	mark														
purta	пꙋрта	purta	purta	Vmii3s		28	12	8	acl														
le+	ле+	le	ele	Pp3fpa		28	13	14	expl														
děde.	дѣде.	deade	da	Vmii3s		28	14	0	root														
																							
ši	ши	și	și	C		29	1	15	cc				And she did not give her clothes away only two or three times, but many times			i ne tьčïǫ dvašti ili trіšti, no i mnogaždi takožde svoja oděanïa ništïimь otdaaše.							
nu+	нꙋ+	nu	nu	Qz		29	2	15	advmod														
numai	нꙋмаи	numai	numai	R		29	3	15	advmod														
de	де	de	de	S		29	4	6	case					1									
da+	да+	da	două	Ml		29	5	6	nummod														
wri	ѡри	ori	oară	Nfpnn		29	6	15	obl														
sau	саꙋ	sau	sau	C		29	7	10	cc														
de+	де+	de	de	S		29	8	10	case														
trei+	треи+	trei	trei	Ml		29	9	10	nummod														
wri,	ѡри,	ori	oară	Nfpnn		29	10	6	conj														
če+	че+	ce	ci	C		29	11	14	cc														
de+	де+	de	de	S		29	12	14	case														
multe+	мꙋлте+	multe	mult	Afpn		29	13	14	amod														
wri	ѡри	ori	oară	Nfpnn		29	14	6	conj														
da+	да+	da	da	Vmip3s		29	15	0	root														
sъrači	дасърачи	săraci	sărac	Nmpn		29	16	15	obl	iobj				1									
lorь	лорь	lor	ille	Pd-mpd		29	17	16	det	p_nom													
vešmente+	вешменте+	veșmînte	veșmânt	Nnpnn		29	18	15	obj														
le	ле	le	ul	Pd-npn		29	19	18	det	p_nom													
sale,	сале,	sale	sa	Afpn		29	20	18	amod	poss													
																							
ši	ши	și	și	C		30	1	4	cc				and nobody scolded in the taxes?  / but she didn't care about the quarrel 			ni vь čto že vьměněǫšti sixь radi roditelnęǫ dosady že i prěštenïa i nesьtrьpimyǫ jazvy.							
nemikǫ	немикѫ	nemică	nimic	Pz		30	2	4	nsubj														
nu+	нꙋ+	nu	nu	Qz		30	3	4	advmod														
bǫga	бѫга	băga	băga	Vmii3s		30	4	0	root														
î+	ꙟ+	î	în	S		30	5	6	case														
sa_mǫ	са_мѫ	samă	samă	Nfsnn		30	6	4	obl					1									
čertarě	чертарѣ	certarea	certare	Nfson		30	7	4	obj														
																							
ši	ши	și	și	C		31	1	2	cc				and about the beatings that she took from her parents for this										
bǫtǫi+	бѫтѫи+	bătaie	bătaie	Nfsnn		31	2	0	root														
le	ле	le	ille	Pd-fpn		31	3	2	det	p_nom													
če+	че+	ce	ce	Pr		31	4	5	mark														
lua	лꙋа	lua	lua	Vmii3s		31	5	2	acl														
de+	де+	de	de	S		31	6	8	case														
la	ла	la	la	S		31	7	8	case														
pǫrincï+	пѫринцї+	părinţi	părinte	Nmpny		31	8	5	obl					1									
i	и	i	ille	Pd-mpn		31	9	8	det	p_nom													
sъi	съи	săi	său	Ampn		31	10	8	amod	poss													
pen'tr+	пен͛тр+	pentr	pentru	S		31	11	12	case														
ačasta.	ачаста.	aceasta	aceasta	Pd-fsn		31	12	5	obl														
																							
kъči	къчи	căci	căci	C		32	1	4	cc				because she was enlightened by divine mourning			nǫ bžtsьvnymь raspalivši sę želanïemь,							
kъ	къ	că	că	C		32	2	4	cc														
era	ера	era	fi	Vmii3s		32	3	4	aux														
aprinsǫ	апринсѫ	aprinsă	aprinde	Vmp	Afsn	32	4	0	root														
de+	де+	de	de	S		32	5	6	case														
žela_nïe	жела_нїе	jelanie	jelanie	Nfsnn		32	6	4	nsubj					1									
dmnźъjaskǫ.	дмнѕъꙗскѫ.	dmnzăiescă	dumnezeiesc	Afsn		32	7	6	amod														
																							
ši	ши	și	și	C		33	1	4	cc				and her heart burned with the fire of the Holy Spirit			pače že prěstgo dxa iže vь nemь glšta							
inima	инима	inima	inimă	Nfsnn		33	2	4	nsubj														
ei	еи	ei	ea	Pp3fsd		33	3	2	nmod	poss													
ardě	ардѣ	arde	arde	Vmii3s		33	4	0	root														
ku+	кꙋ+	cu	cu	S		33	5	6	case														
fok+	фок+	foc	foc	Nmsnn		33	6	4	obl					1									
ulь	ꙋль	ul	ul	Pd-msn		33	7	6	det	p_nom													
dx҃+	дх҃+	dh	duh	Nmsnn		33	8	6	nmod														
ului	ꙋлꙋи	ului	ul	Pd-msd		33	9	10	det	p_nom													
svъntь.	свънть.	sfînt	sfînt	Amsn	or?: Nmsnn	33	10	8	nmod														
																							
ši	ши	și	și	C		34	1	13	cc				and she could not hide the diligence that she had towards the Lord, so she hid herself away from anyone			Elma ubo srčdnoe raždeženïe i ęže po bźě revnostь trьpěti na mnoźě ne vьzmože, vьsěxь abïe utaiv sę.						4	Desert Life
rъvna	ръвна	rîvna	râvnă	Nfsnn		34	2	13	nsubj														
če+	че+	ce	ce	Pr		34	3	4	mark														
avě	авѣ	avea	avea	Vmii3s		34	4	13	acl														
kъtrǫ+	кътрѫ+	cătră	către	S		34	5	6	case														
