lemma	cyr	translation	category	semantic class	morphologic class	other notes	warnings	def
județ								
la								
l-a								
lacrimă								
lăsa								
l-ați								
le								
leagăn								
lepăda								
lesne								
loc								
locaș								
locui								
logodi								
lor								
lua								
lucru								
lui								
lume								
lumesc								
lumină								
luminat								
luminată								
luna		month						
mă								
mai								
maică								
mână								
mare								
masă								
mea								
mei								
mele								
merge								
meșteșug								
meu								
milostenie								
mînă								
mînca								
mîncare								
mine								
minunat								
mir		world, peace						
mire								
mireasmă								
mișel								
moarte		death						
moșie								
muiere								
muierească								
muierești								
mul								
mult								
multă								
mulțime								
muncă								
muri								
mustra								
n-								
n-a								
nădejde								
nălucire								
născut								
naște								
naște								
ne								
ne+								
neputință								
nevoi								
nici								
nimănui								
nimeni								
nimic								
niște								
noapte								
noi								
nostru		our						
nu		no						
numai								
nume								
o								
oară								
obicină								
obîcină								
ochi								
octombrie		October						
odihnă								
om								
omorî								
opri								
oscîrbi								
osîrdie								
ostenință								
păcat								
pace								
păianjen								
pământ								
pămînt								
până								
Parascheva		Parascheva						
Paraschiva								
părăsi								
părăsire								
părăsit								
părea								
părea								
părinte								
părințe								
parte								
păstor								
patimă								
patrusprezece		fourteen						
păzi								
pe								
pedeapsă								
pentru								
peste								
petrece								
pînă								
plin								
plug								
podoabă								
podvig		heroic deed						
pofta								
poftă								
post		fasting						
potoli								
povesti								
pre								
prea								
preapodobnă								
Precistă								
precistă								
precuvios								
pricepe								
proroc								
proslăvi								
pune								
purta								
pururi								
pus								
pustiu								
putea								
putere								
puțin								
puținel								
putoare								
putred								
răbda								
raft								
răni								
răspuns								
râvnă								
rea								
ridica								
risipi								
ruga								
rugă								
sa								
să								
săgeată								
sale								
săltare								
samă								
săpa								
sărac								
săracă								
șărba								
șarpe								
sau								
său								
scăpa								
scârbă								
scârbi								
scaun								
scîrbă								
scump								
se								
seară								
ședea								
seminție								
sfânt								
sfăntă								
sfînt								
sfîntă								
sfinție								
sfîrșit								
și		and						
sihăstri								
sihastru								
sine								
sîrguire								
slavă								
slobod								
slugă								
slujnică								
socoti								
socotitor								
speria								
spodobi								
spre								
spune								
spurcat								
sta								
ști		know						
știind								
strașnic								
strica								
suflet		soul						
sufletesc								
sufletesc								
suire								
supărare								
sus								
suspin								
suspina								
ta								
tămîie								
Țarigrad		Tsarigrad						
tău								
te								
ti								
tine								
ține								
tinerețe								
tînji								
toată								
tocmi								
tot								
toți								
trăi								
trebui								
trece								
trei								
troiță								
trudă								
trup								
trupesc								
tu								
tuturor								
uda								
uita								
ul								
ului								
umilință								
umple								
un								
una								
unde								
uneori								
unui								
unul								
ureche								
urî								
ușor								
va								
vălășag								
veacă								
veci								
vecie								
vedea								
vedenie								
vedere								
veni								
veseli								
veselie		happiness						
veșmânt								
veșmînt								
viața								
viață								
viclean								
vicleșug								
viețui								
vîrstă								
vîrtos								
Vlaherna								
voi								
voie								
voinic								
vrea								
vreme		time, weather						
zace								
zgău								
zi								
zice		say						
