text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	folio	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
wtъ	ѿъ	otъ	ot	Sg		6	9	10	case					1									
nasъ	насъ	nasъ	nie	Pp1-pg		6	10	7	conj														
																							
dostoīnī	достоӥнӥ	dostoini	dostoen	Ampnn		7	1	0	root				they were worthy										
bīle	бӥле	bile	sъm	Vap--pi		7	2	1	cop														
																							
ī+	ӥ+	i	i	C		8	1	3	cc				and they prayed to God										
se+	се+	se	se	Px---a		8	2	3	expl														
molīle	молӥле	molile	molja	Vmp--pi		8	3	0	root	prf													
bogu	богꙋ	bogu	bog	Nmsdy		8	4	3	obj	iobj				1									
																							
ne+	не+	ne	ne	Qz		9	1	4	amod				(they were) not only of the male, but also of the female sex										
sade	саде	sade	sade	R		9	2	4	amod							BAN VI 406: sade (1) 'samo, vse' < tr. sade 'prost, obiknoven'							
muška	мꙋшка	muška	mъžki	Afsnn		9	3	4	amod														
pola	пола	pola	pol	Nfsnn		9	4	0	root														
no+	но+	no	no	C		9	5	7	cc														
ī+	ӥ+	i	i	C		9	6	5	fixed														
ženska	женска	ženska	ženski	Afsnn		9	7	4	conj														
																							
dnešnaę	днешнаѧ	dnešnaę	dnešen	Afsny		10	1	3	amod				Parascheva, today's saint, (was the) dove of Christ	1									
svetaę	светаѧ	svetaę	svęt	Afsny		10	2	3	amod														
paraskeva	параскева	paraskeva	Paraskeva	Nfsny		10	3	4	nsubj														
golubīca	голꙋбӥца	golubica	golubica	Nfsny		10	4	0	root														
xrīstova	хрӥстова	xristova	Xristov	Afsnn		10	5	4	amod					1									
																							
u+	ꙋ+	u	u	Sg		11	1	3	case				in her time, as she was in this world										
neīzīno	неӥзӥно	neizino	nein	Ansnn		11	2	3	amod	poss													
vreme	време	vreme	vrěme	Nnsnn		11	3	12	obl	loc													
koga+	кога+	koga	koga	Pq		11	4	5	mark														
bīla	бӥла	bila	sъm	Vmp--si		11	5	3	acl	prf													
na+	на+	na	na	Sl		11	6	8	case														
wvę	ѡвѧ	ovę	ovja	Pd-msn		11	7	8	det	ext													
svetъ	светъ	svetъ	svět	Nmsnn		11	8	5	obl	loc				1									
sve+	све+	sve	sve	R		11	9	12	advmod				she only prayed to God										
bogu+	богꙋ+	bogu	bog	Nmsdy		11	10	12	obl	iobj													
se+	се+	se	se	Px---a		11	11	12	expl														
molīla	молӥла	molila	molja	Vmp--si		11	12	0	root	prf													
																							
ī+	ӥ+	i	i	C		12	1	3	cc				and God did accept her prayer										
e+	е+	e	sъm	Vaip3si		12	2	3	aux	prf													
prīmalъ	прӥмалъ	primalъ	priema	Vmp--se		12	3	0	root														
bogъ	богъ	bogъ	bog	Nmsny		12	4	3	nsubj														
molenī_e+	моленӥ_е+	molenie	molenie	Nnsnn		12	5	3	obj					1									
to	то	to	tъ	Pd-nsn		12	6	5	det	p_nom													
																							
ī+	ӥ+	i	i	C		13	1	3	cc				and He glorified her both in the heavens and on the Earth										
ę+	ѧ+	ę	tja	Pp3fsa		13	2	3	obj														
proslavīlъ	прославӥлъ	proslavilъ	proslavja	Vmp--se		13	3	0	root	prf													
ī+	ӥ+	i	i	C		13	4	6	cc														
na+	на+	na	na	Sl		13	5	6	case														
nebo	небо	nebo	nebo	Nnsnn		13	6	3	obl	loc													
ī+	ӥ+	i	i	C		13	7	9	cc														
na+	на+	na	na	Sl		13	8	9	case														
zemlę	землѧ	zemlę	zemlja	Nfsnn		13	9	6	conj					1									
																							
tělo	тѣло	tělo	tělo	Nnsnn		14	1	4	nsubj				her body is healthy (did not rot)										
neīzīno	неӥзӥно	neizino	nein	Ansnn		14	2	1	amod	poss													
e+	е+	e	sъm	Vaip3si		14	3	4	cop														
celokupno	целокꙋпно	celokupno	cělokupen	R		14	4	0	root														
																							
poslušaīte	послꙋшаӥте	poslušaite	poslušam	Vmm-2pe		15	1	0	root				hear, so that you learn (about) miracles!	1									
da+	да+	da	da	C		15	2	3	mark														
učete	ꙋчете	učete	uča	Vmip2si		15	3	1	advcl														
čudesa	чꙋдеса	čudesa	čudo	Nnpnn		15	4	3	obj														
																							
u+	ꙋ+	u	u	Sg		16	1	2	case				in the Serbian country, next to the city of Kallikratia									3	Petka's Childhood
zemla	земла	zemla	zemlja	Nfsnn		16	2	8	obl	loc													
serbska	сербска	serbska	sъrbski	Afsnn		16	3	2	amod														
blīzu	блӥзꙋ	blizu	blizu	R		16	4	6	amod					1									
prī+	прӥ+	pri	pri	Sl		16	5	6	case														
grada	града	grada	grad	Nmsgn		16	6	8	obl	loc													
kalīkratīę	калӥкратӥѧ	kalikratię	Kalikratia	Nfsnn		16	7	6	appos														
bīlo+	бӥло+	bilo	sъm	Vmp--si		16	8	0	root	prf			there was a village called Epibates										
nekoe	некое	nekoe	někoi	Ansny		16	9	10	amod														
selo	село	selo	selo	Nnsnn		16	10	8	nsubj					1									
go+	го+	go	toi	Pp3nsa		16	11	12	mark														
vīkale	вӥкале	vikale	vikam	Vmp--pi		16	12	10	acl	prf													
epīfatъ	епӥфатъ	epifatъ	Epivat	Nmsnn		16	13	12	obl	pred													
																							
u+	ꙋ+	u	u	Sg		17	1	3	case				St Parascheva was born in this village										
toa	тоа	toa	tova	Pd-nsn		17	2	3	det	ext													
selo	село	selo	selo	Nnsnn		17	3	5	obl	loc													
se+	се+	se	se	Px---a		17	4	5	expl														
rodīla	родӥла	rodila	rodja	Vmp--si		17	5	0	root	prf				1									
svetaę	светаѧ	svetaę	svęt	Afsny		17	6	7	amod														
paraskeva	параскева	paraskeva	Paraskeva	Nfsny		17	7	5	nsubj														
wdъ+	ѡдъ+	odъ	ot	Sg		17	8	10	case				from a good vine, from a (good) father and mother										
blaga	блага	blaga	blag	Afsnn		17	9	10	amod														
loza	лоза	loza	loza	Nfsnn		17	10	5	obl	abl				1									
ī+	ӥ+	i	i	C		17	11	13	cc														
odъ+	одъ+	odъ	ot	Sg		17	12	13	case														
tatka	татка	tatka	tatko	Nmsgy		17	13	10	appos														
ī+	ӥ+	i	i	C		17	14	16	cc														
wdъ+	ѡдъ+	odъ	ot	Sg		17	15	16	case														
maĭka	майка	maika	maika	Nfsnn		17	16	13	conj														
																							
xodīle	ходӥле	xodile	xodja	Vmp--pi		18	1	0	root	prf			they followed divine commandments										
po+	по+	po	po	Sl		18	2	3	case														
zapo_vedъ	запо_ведъ	zapovedъ	zapoved	Nmsnn		18	3	1	obl	loc				2									
božī	божӥ	boži	božii	Amsny		18	4	3	amod	poss	7v	/img/petka/728_7v.png											
																							
pošto+	пощо+	pošto	pošto	C		19	1	4	cc				that's why they were worthy										
bīle	бӥле	bile	sъm	Vmp--pi		19	2	4	cop														
wnī+	ѡнӥ+	oni	oni	Pp3-pn		19	3	4	nsubj														
dostoīnī	достоӥнӥ	dostoini	dostoen	Ampnn		19	4	0	root					1									
																							
ī+	ӥ+	i	i	C		20	1	5	cc				and they taught the child to pray										
čedo+	чедо+	čedo	čedo	Nnsnn		20	2	5	nsubj														
to	то	to	to	Pd-nsn		20	3	2	det	p_nom													
go+	го+	go	toi	Pp3msa		20	4	2	expl														
naučīle	наꙋчӥле	naučile	nauča	Vmp--pe		20	5	0	root	prf													
na+	на+	na	na	Sl		20	6	7	case														
bogomolsto	богомолсто	bogomolsto	bogomolstvo	Nnsnn		20	7	5	obl	iobj													
																							
īmъ	ӥмъ	imъ	tě	Pp3-pd		21	1	2	obl	iobj			their time came	1									
došlo	дошло	došlo	doida	Vmp--se		21	2	0	root	prf													
vreme	време	vreme	vrěme	Nnsnn		21	3	2	nsubj														
																							
se+	се+	se	se	Px---a		22	1	2	expl				they presented themselves in the heavenly dwellings										
prestavīle	преставӥле	prestavile	prěstavja	Vmp--pe		22	2	0	root	prf													
wnī	ѡнӥ	oni	oni	Pp3-pn		22	3	2	nsubj														
vo	во	vo	v	Sa		22	4	6	case					1									
nebesnī	небеснӥ	nebesni	nebesen	Amsny		22	5	6	amod														
wbītelъ	ѡбӥтелъ	obitelъ	obitel	Nmsnn		22	6	2	obl	lat													
																							
ę+	ѧ+	ę	tja	Pp3fsa		23	1	2	obj				they left her in their house										
wstavīle	ѡставӥле	ostavile	ostavja	Vmp--pe		23	2	0	root	prf													
u+	ꙋ+	u	u	Sg		23	3	4	case														
domъ	домъ	domъ	dom	Nmsnn		23	4	2	obl	loc				1									
da+	да+	da	da	C		23	5	6	mark				to live (ʺspeakʺ?) with her brother Euthymius										
povela	повела	povela	povelja	Vmip3se		23	6	2	advcl														
so+	со+	so	s	Si		23	7	8	case														
brata	брата	brata	brat	Nmsgy		23	8	6	obl														
neīzīnogo	неӥзӥного	neizinogo	nein	Amsgy		23	9	8	amod	poss													
eftīmīę	ефтӥмӥѧ	eftimię	Eftimii	Nmsvy		23	10	8	appos					1									
što+	що+	što	što	Pq		23	11	12	mark				who later became the Bishop of Madit										
bīlъ	бӥлъ	bilъ	sъm	Vmp--si		23	12	8	acl	prf													
toī+	тоӥ+	toi	toi	Pp3msn		23	13	12	nsubj														
posle	после	posle	posle	R		23	14	12	advmod														
epīskopъ	епӥскопъ	episkopъ	episkop	Nmsny		23	15	12	obl	pred													
madītīiskī	мадӥтӥискӥ	maditiiski	maditiiski	Amsny		23	16	15	amod					1									
																							
ī+	ӥ+	i	i	C		24	1	5	cc				and he performed many miracles in his life										
mnogo	много	mnogo	mnogo	R		24	2	4	amod														
preslavnaę	преславнаѧ	preslavnaę	preslaven	Anpny		24	3	4	amod														
čudesa	чꙋдеса	čudesa	čudo	Nnpnn		24	4	5	obj														
učīnīlъ	ꙋчӥнӥлъ	učinilъ	učinja	Vmp--se		24	5	0	root	prf				1									
vo+	во+	vo	v	Sl		24	6	7	case														
žīvot+	жӥвот+	život	život	Nmsnn		24	7	5	obl	loc													
ta	та	ta	tъ	Pd-fsn		24	8	7	det	p_nom													
negovъ	неговъ	negovъ	negov	Amsnn		24	9	7	amod	poss													
																							
svetaę	светаѧ	svetaę	svęt	Afsny		25	1	2	amod				St Parascheva prayed (ʺdid prayersʺ), as she was worthy									4	Desert Life
paraskeva	параскева	paraskeva	Paraskeva	Nfsny		25	2	6	nsubj					1									
kako+	како+	kako	kako	Pq		25	3	5	mark														
bīla	бӥла	bila	sъm	Vmp--si		25	4	5	cop														
dostoena	достоена	dostoena	dostoen	Afsnn		25	5	6	advcl														
čīnīla	чӥнӥла	činila	činja	Vmp--si		25	6	0	root	prf													
bogomolstvo	богомолство	bogomolstvo	bogomolstvo	Nnsnn		25	7	6	obj					1									
																							
wstavīla	ѡставӥла	ostavila	ostavja	Vmp--se		26	1	0	root	prf			she left (her) house										
domъ	домъ	domъ	dom	Nmsnn		26	2	1	obj														
																							
wtīšla	ѿӥшла	otišla	otida	Vmp--se		27	1	0	root	prf			she went to the desert in the mountains										
vo+	во+	vo	v	Sa		27	2	3	case														
pustīnī	пꙋстӥнӥ	pustini	pustinja	Nfsdn		27	3	1	obl	lat				1									
u+	ꙋ+	u	u	Sg		27	4	5	case														
planīna	планӥна	planina	planina	Nfsnn		27	5	3	nmod	loc													
da+	да+	da	da	C		27	6	7	mark				to fast and to pray to God										
postī	постӥ	posti	postja	Vmip3si		27	7	1	advcl														
ī+	ӥ+	i	i	C		27	8	11	cc														
da+	да+	da	da	C		27	9	11	mark														
se+	се+	se	se	Px---a		27	10	11	expl														
molī	молӥ	moli	molja	Vmip3si		27	11	7	conj														
bogu	богꙋ	bogu	bog	Nmsdy		27	12	11	obl	iobj				1									
																							
ramno	рамно	ramno	ravno	R		28	1	4	advmod				she sat as equal with the angels										
so+	со+	so	s	Si		28	2	3	case														
anћelī	анћелӥ	anћeli	angel	Nmpny		28	3	4	obl														
sedala	седала	sedala	sedja	Vmp--si		28	4	0	root	prf													
																							
ī+	ӥ+	i	i	C		29	1	3	cc				and she was catching up (ʺasʺ) with Prophet Elijah and St John the Baptist										
wna	ѡна	ona	ona	Pp3fsn		29	2	3	nsubj														
dogī_nęla	догӥ_нѧла	doginęla	doganjam	Vmp--si		29	3	0	root	prf				1		BAN I 405: doganjam 'dokarvam'							
kako	како	kako	kako	Pq		29	4	5	mark														
bogovīdcu	боговӥдцꙋ	bogovidcu	bogovidec	Nmsdy		29	5	3	obj														
īlīju	ӥлӥю	iliju	Ilija	Nfsay		29	6	5	appos														
ī+	ӥ+	i	i	C		29	7	9	cc														
sveto_mu	свето_мꙋ	svetomu	svęt	Amsdy		29	8	9	amod					1									
īwoanu	ӥѡоанꙋ	iooanu	Ioann	Nmsdy		29	9	5	conj														
krstītelju	крстӥтелю	krstitelju	Krъstitel	Nmsdy		29	10	9	appos														
																							
trava	трава	trava	trěva	Nfsnn		30	1	2	obj				she ate grass										
ęle	ѧле	ęle	jam	Vmp--pi		30	2	0	root	prf				1									
																							
so+	со+	so	s	Si		31	1	2	case				with that she lived										
toa	тоа	toa	tova	Pd-nsn		31	2	3	obj														
žīveale	жӥвеале	živeale	živeja	Vmpi-si		31	3	0	root	prf													
																							
koī+	коӥ+	koi	koi	Pq--sn		32	1	4	nsubj				who could tell of her bowing and laying on the naked ground?										
može	може	može	moga	Vaip3si		32	2	4	aux														
da+	да+	da	da	C		32	3	2	fixed	inf													
īskaže	ӥскаже	iskaže	izkaža	Vmip3se		32	4	0	root														
ne_īzīnī	не_ӥзӥнӥ	neizini	nein	Anpnn		32	5	6	amod	poss				1									
metanīe	метанӥе	metanie	metanie	Nnsnn		32	6	4	obj														
ī+	ӥ+	i	i	C		32	7	11	cc														
na+	на+	na	na	Sa		32	8	10	case														
gola	гола	gola	gola	Afsnn		32	9	10	amod														
zemla	земла	zemla	zemlja	Nfsnn		32	10	11	nmod	lat													
leganě	леганѣ	leganě	lěgane	Nnsnn		32	11	6	conj					1									
																							
sade	саде	sade	sade	R		33	1	2	amod				only the eye of God saw her										
wko+	ѡко+	oko	oko	Nnsnn		33	2	5	nsubj														
bžīw	бжӥѡ	bžio	božii	Ansnn		33	3	2	amod	poss													
ga+	га+	ga	tja	Pp3fsa		33	4	5	obj														
gledalo	гледало	gledalo	gledam	Vmp--si		33	5	0	root	prf													
																							
ī+	ӥ+	i	i	C		34	1	2	cc				and she thought what reply we (?) will give to Christ the God										
mīslīla	мӥслӥла	mislila	mislja	Vmp--si		34	2	0	root	prf				1									
kakofъ	какофъ	kakofъ	kakъv	Amsnn		34	3	4	amod														
џoapъ	џоапъ	џoapъ	dževap	Nmsnn		34	4	8	obj							BAN I 358: dževap 'otgovor' < tr. cevap							
xrīstu	хрӥстꙋ	xristu	Xristos	Nmsdy		34	5	8	obl	iobj													
bogu	богꙋ	bogu	bog	Nmsdy		34	6	5	appos														
ke+	ке+	ke	ke	Vaip3si		34	7	8	aux	fut													
dademo	дадемо	dademo	dam	Vmip1pe		34	8	2	advcl					1									
ī+	ӥ+	i	i	C		34	9	11	cc				and to hear his sweet voice										
da+	да+	da	da	C		34	10	11	mark														
čue	чꙋе	čue	čuja	Vmip3si		34	11	8	conj														
sladkī	сладкӥ	sladki	sladъk	Amsny		34	12	13	amod														
glasъ	гласъ	glasъ	glas	Nmsnn		34	13	11	obj														
negovī	неговӥ	negovi	negov	Amsny		34	14	13	amod	poss													
																							
togaī	тогаӥ	togai	togai	R		35	1	4	advmod				then the Devil became jealous	1								5	Struggle with the Devil
dīavolъ	дӥаволъ	diavolъ	diavol	Nmsny		35	2	4	nsubj														
e+	е+	e	tja	Pp3fsd		35	3	4	obl	iobj													
zavīdīlъ	завӥдӥлъ	zavidilъ	zavidja	Vmp--si		35	4	0	root	prf													
																							
e+	е+	e	tja	Pp3fsd		36	1	3	obl	iobj			he appeared (in the form of) terrible beasts (to her?)										
se+	се+	se	se	Px---a		36	2	3	expl														
ęvīlъ	ѧвӥлъ	ęvilъ	javja	Vmp--se		36	3	0	root	prf													
kako	како	kako	kako	Pq		36	4	6	mark					2									
srašnī	срашнӥ	srašni	strašen	Ampnn		36	5	6	amod		8r	/img/petka/728_8r.png											
zverī	зверӥ	zveri	zvěr	Nmpny	Nmpan	36	6	3	advcl							Ending formally corresponds to a distinctive i-stem pl.acc							
																							
a+	а+	a	a	C		37	1	4	cc				but she crossed herself										
wna	ѡна	ona	ona	Pp3fsn		37	2	4	nsubj														
se+	се+	se	se	Px---a		37	3	4	expl														
prekrъstīla	прекръстӥла	prekrъstila	prekrъstja	Vmp--se		37	4	0	root	prf				1									
																							
ne+	не+	ne	ne	Qz		38	1	3	amod				the unclean Devil fell apart as some spider web										
čīstī	чӥстӥ	čisti	čist	Amsny		38	2	3	amod														
dīavolъ	дӥаволъ	diavolъ	diavol	Nmsny		38	3	7	nsubj														
kako	како	kako	kako	Pq		38	4	5	mark														
paučīna	паꙋчӥна	paučina	paučina	Nfsnn		38	5	7	advcl					1									
se+	се+	se	se	Px---a		38	6	7	expl														
rasturaše	растꙋраше	rasturaše	razturja	Vmii3se		38	7	0	root														
																							
mīlostīvomu	мӥлостӥвомꙋ	milostivomu	milostiv	Amsdy		39	1	2	amod				merciful God pitied her									6	Petka in Blachernae
bogu	богꙋ	bogu	bog	Nmsdy		39	2	5	obl	iobj													
mu	мꙋ	mu	toi	Pp3msd		39	3	2	expl					1									
se+	се+	se	se	Px---a		39	4	5	expl														
dožalī	дожалӥ	dožali	dožaleja	Vmp--se		39	5	0	root	prf													
																							
e+	е+	e	tja	Pp3fsd		40	1	2	obl	iobj			He sent an angel from the clouds										
pratīlъ	пратӥлъ	pratilъ	pratja	Vmp--se		40	2	0	root	prf													
anћela	анћела	anћela	angel	Nmsgy		40	3	2	obj														
wt+	ѿ+	ot	ot	Sg		40	4	5	case														
wblacī	ѡблацӥ	oblaci	oblak	Nmpnn		40	5	2	obl	abl				1									
da+	да+	da	da	C		40	6	8	mark				to tell her:										
e+	е+	e	tja	Pp3fsd		40	7	8	obl	iobj						cf. Miladinovi 1861:vi							
reča	реча	reča	reka	Vmip3se		40	8	2	advcl														
																							
da+	да+	da	da	C		41	1	2	aux	opt			ʺleave your desert dwellingʺ										
wstavīšъ	ѡставӥшъ	ostavišъ	ostavja	Vmip2se		41	2	0	root														
pustīnī	пꙋстӥнӥ	pustini	pustina	Nfsdn		41	3	4	nmod	poss													
žī_telъ	жӥ_телъ	žitelъ	žitel	Nmsnn		41	4	2	obj					1									
																							
da+	да+	da	da	C		42	1	2	aux	opt			ʺgo to your fatherlandʺ										
īdešъ	ӥдешъ	idešъ	ida	Vmip2si		42	2	0	root														
u+	ꙋ+	u	u	Sg		42	3	4	case														
tatkovīna+	татковӥна+	tatkovina	tatkovina	Nfsnn		42	4	2	obl	lat													
tī	тӥ	ti	ti	Pp2-sn		42	5	6	expl														
tvoa	твоа	tvoa	tvoi	Afsny		42	6	4	amod	poss				1									
																							
podobno+	подобно+	podobno	podobno	R		43	1	2	advmod				ʺyou should leave your body thereʺ										
e	е	e	sъm	Vmip3si		43	2	0	root														
tebe	тебе	tebe	tebe	Pp2-sg		43	3	2	obl	iobj													
da+	да+	da	da	C		43	4	5	mark														
wdadešъ	ѡдадешъ	odadešъ	otdam	Vmip2se		43	5	2	advcl														
tamo	тамо	tamo	tamo	R		43	6	5	advmod					1									
telo	тело	telo	tělo	Nnsnn		43	7	5	obj							zde načinaęt skoropis							
tvoe	твое	tvoe	tvoi	Ansny		43	8	7	amod	poss													
a+	а+	a	a	C		43	9	13	cc				ʺbut your spirit should be in the angelic dwellingsʺ										
duxъ	дꙋхъ	duxъ	dux	Nmsny		43	10	13	nsubj														
tvoï	твої	tvoi	tvoi	Amsny		43	11	10	amod	poss													
da+	да+	da	da	C		43	12	13	mark														
poïde	поїде	poide	poida	Vmip3se		43	13	5	conj					1									
na	на	na	na	Sa		43	14	16	case														
anћelskoe	анћелское	anћelskoe	angelski	Ansny		43	15	16	amod														
selenïe	селенїе	selenie	selenie	Nnsnn		43	16	13	obl	lat													
																							
ï+	ї+	i	i	C		44	1	3	cc				and she left her place in the desert										
wna	ѡна	ona	ona	Pp3fsn		44	2	3	nsubj														
wstavïla	ѡставїла	ostavila	ostavja	Vmp--se		44	3	0	root	prf				1									
pustïnoe	пꙋстїное	pustinoe	pustinen	Ansny		44	4	5	amod														
mesto	место	mesto	město	Nnsnn		44	5	3	obj														
																							
ï	ї	i	i	C		45	1	2	cc				and she went to Tsarigrad, to the church of St Sophia										
wtïšla	ѿїшла	otišla	otida	Vmp--se		45	2	0	root	prf													
u+	ꙋ+	u	u	Sg		45	3	4	case														
carïgrada	царїграда	carigrada	Carigrad	Nmsgn		45	4	2	obl	lat				1									
vo+	во+	vo	vo	Sa		45	5	6	case														
cerkva	церква	cerkva	cъrkva	Nfsnn		45	6	2	obl	lat													
svetaę	светаѧ	svetaę	svęt	Afsny		45	7	8	amod														
sofïę	софїѧ	sofię	Sofija	Nfsny		45	8	6	nmod	poss													
																							
wt+	ѿ+	ot	ot	Sg		46	1	2	case				from there she went to her fatherland									7	Death of Petka
tamo	тамо	tamo	tamo	R		46	2	3	advmod														
wtišla	ѿишла	otišla	otida	Vmp--se		46	3	0	root	prf				1									
u+	ꙋ+	u	u	Sg		46	4	5	case														
tatkoïna+	таткоїна+	tatkoina	tatkovina	Nfsnn		46	5	3	obl	lat													
ta+	та+	ta	tъ	Pd-fsn		46	6	5	det	p_nom													
sï	сї	si	se	Px---d		46	7	5	nmod	poss													
																							
malo	мало	malo	malo	R		47	1	2	amod				she lived for a short time										
vreme	време	vreme	vrěme	Nnsnn		47	2	3	obl														
žïveala	жївеала	živeala	živeja	Vmpi-si		47	3	0	root	prf				1									
																							
a+	а+	a	a	C		48	1	4	cc				and she didn't change the prayer (for anything else)										
bogomolъsto	богомолъсто	bogomolъsto	bogomolstvo	Nnsnn		48	2	4	obj														
ne+	не+	ne	ne	Qz		48	3	4	advmod														
premenïla	пременїла	premenila	premenja	Vmp--se		48	4	0	root	prf													
																							
došlo+	дошло+	došlo	doida	Vmp--se		49	1	0	root				(then the) time came to give the soul to God										
e	е	e	sъm	Vaip3si		49	2	1	aux	prf				1									
vreme	време	vreme	vrěme	Nnsnn		49	3	1	nsubj														
da+	да+	da	da	C		49	4	5	mark														
predade	предаде	predade	predam	Vmip3se		49	5	1	advcl														
duša	дꙋша	duša	duša	Nfsny		49	6	5	obj														
bogu	богꙋ	bogu	bog	Nmsdy		49	7	5	obl	iobj													
																							
ï+	ї+	i	i	C		50	1	4	cc				and they buried her body on an indefinite place										
telo+	тело+	telo	tělo	Nnsnn		50	2	4	obj														
e	е	e	tja	Pp3fsd		50	3	2	nmod	poss				1									
zakopale	закопале	zakopale	zakopaja	Vmp--pe		50	4	0	root	prf													
na+	на+	na	na	Sa		50	5	8	case														
ne+	не+	ne	ne	Qz		50	6	7	amod														
ïzbrano	їзбрано	izbrano	izbera	Ansnn	Vmpa-se	50	7	8	amod														
mesto	место	mesto	město	Nnsnn		50	8	4	obl	loc													
																							
blïzu+	блїзꙋ+	blizu	blizu	R		51	1	7	advmod				in the vicinity, a hermit fasted in a cave									8	Discovery of the Relics
e	е	e	sъm	Vaip3si		51	2	7	aux	prf													
nekoï	некої	nekoi	někoi	Amsny		51	3	4	amod					1									
posnïkъ	поснїкъ	posnikъ	postnik	Nmsny		51	4	7	nsubj														
u+	ꙋ+	u	u	Sg		51	5	6	case														
peštera	пещера	peštera	peštera	Nfsnn		51	6	7	obl	loc													
postïlъ	постїлъ	postilъ	postja	Vmp--si		51	7	0	root														
																							
se+	се+	se	se	Px---a		52	1	2	expl				it happened										
slučïlo	слꙋчїло	slučilo	sluča	Vmp--se		52	2	0	root	prf													
																							
nekoï	некої	nekoi	někoi	Pi---n		53	1	4	nsubj				somebody sailed with a ship on the sea	1									
so	со	so	s	Si		53	2	3	case														
gemïę	гемїѧ	gemię	gemija	Nfsnn		53	3	4	obl														
plïvalъ	плївалъ	plivalъ	pluvam	Vmp--si		53	4	0	root	prf													
po+	по+	po	po	Sl		53	5	6	case														
more	море	more	more	Nnsnn		53	6	4	obl	loc													
																							
u+	ꙋ+	u	u	Sg		54	1	2	case				in the ship there was a dead man										
gemïę+	гемїѧ+	gemię	gemija	Nfsnn		54	2	4	obl	loc													
ta	та	ta	tъ	Pd-fsn		54	3	2	det	p_nom													
ïmalo	їмало	imalo	imam	Vmp--si		54	4	0	root	prf				1									
