text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
toga	тога	toga	togava	Pr		10	13	20	advmod														
byva	быва	biva	byvam	Vmip3sii		10	14	20	cop														
naše+	наше+	naše	naš	Ansny		10	15	17	amod	poss													
to	то	to	tъ	Pd-nsn		10	16	15	det	p_nom													
prazdnuvanïe	празднꙋванïе	prazdnuvanie	prazdnuvane	Nnsnn		10	17	20	nsubj					1									
na	на	na	na	Sa		10	18	19	case														
boga	бога	boga	bog	Nmsgy		10	19	20	obl	iobj													
ugodno	угодно	ugodno	ugoden	Ansnn		10	20	0	root														
i	и	i	i	C		10	21	25	cc														
na	на	na	na	Sa		10	22	23	case														
svęti+	свѧти+	svęti	svęt	Ampnn		10	23	25	obl	iobj													
tě	тѣ	tě	tъ	Pd-mpn		10	24	23	det	p_adj													
prïętno.	прïѧтно.	priętno	prijaten	Ansnn		10	25	20	conj														
																							
No	Но	No	no	C		11	1	2	cc				but when we celebrate the saints we have to think, that they were humans with a body as we are										
trěbǫ	трѣбѫ	trěbǫ	trjabvam	Vaip3si		11	2	8	aux														
koga	кога	koga	koga	Pq		11	3	4	mark														
prazdnuvame	празднꙋваме	prazdnuvame	Pr	Vmip1pi		11	4	8	advcl					1									
svęti+	свѧти+	svęti	svęt	Ampnn		11	5	4	obj														
tě,	тѣ,	tě	tъ	Pd-mpn		11	6	5	det	p_adj													
da	да	da	da	C		11	7	4	fixed														
myslime,	мыслиме,	mislime	mislja	Vmip1pi		11	8	0	root														
či	чи	či	če	C		11	9	13	mark														
i	и	i	i	C		11	10	11	amod														
tě	тѣ	tě	te	Pp3-pn		11	11	13	nsubj														
sǫ	сѫ	sǫ	sъm	Vaip3pi		11	12	13	aux	prf													
byle	быле	bile	sъm	Vmp--pi		11	13	8	advcl														
čelověcy	человѣцы	čelověci	člověk	Nmpny		11	14	13	obl	pred													
sъ	съ	sъ	s	Si		11	15	16	case														
tělo	тѣло	tělo	tělo	Nnsnn		11	16	13	obl														
kato	като	kato	kato	C		11	17	18	mark														
nasъ,	насъ,	nasъ	nie	Pp1-pg		11	18	13	advcl					1									
																							
no	но	no	no	C		12	1	2	cc				but they lived purely and righteously, with fasting and prayers										
živěeli	живѣели	živěeli	živěja	Vmpi-pi		12	2	0	root	prf													
čisto	чисто	čisto	čisto	R		12	3	2	advmod														
i	и	i	i	C		12	4	5	cc														
pravedno,	праведно,	pravedno	pravedno	R		12	5	3	conj														
sъ	съ	sъ	s	Si		12	6	7	case														
postъ	постъ	postъ	post	Nmsnn		12	7	2	obl														
i	и	i	i	C		12	8	9	cc														
molitvy:	молитвы:	molitvi	molitva	Nfpnn		12	9	7	conj														
																							
za	за	za	za	Sa		13	1	2	case				that is why they were glorified by God										
tuĭ	тꙋй	tui	tъi	R		13	2	4	advmod														
sę	сѧ	sę	se	Px---a		13	3	4	expl														
pro-slavili	про-славили	proslavili	proslavja	Vmp--pi		13	4	0	root	prf				1									
otъ	отъ	otъ	ot	Sg		13	5	6	case														
boga.	бога.	boga	bog	Nmsgy		13	6	4	obl	abl													
																							
I	И	I	i	C		14	1	5	cc				and we do not celebrate them for anything else but to hear and understand how they lived, and how they subdued their body by their souls										
nïe	нïе	nie	nie	Pp1-pn		14	2	5	nsubj														
ne	не	ne	ne	Qz		14	3	5	advmod														
gi	ги	gi	te	Pp3-pa		14	4	5	obj														
prazdnuvame	празднꙋваме	prazdnuvame	Pr	Vmip1pi		14	5	0	root														
za	за	za	za	Sg		14	6	7	case														
drugo,	дрꙋго,	drugo	drug	Ansnn		14	7	5	obl														
samo	само	samo	samo	Qg		14	8	10	mark														
da	да	da	da	C		14	9	8	fixed														
čueme	чꙋеме	čueme	čuja	Vmip1pi		14	10	5	advcl					1									
i	и	i	i	C		14	11	12	cc														
da	да	da	da	C		14	12	13	mark														
razuměeme	разꙋмѣеме	razuměeme	razuměja	Vmip1pi		14	13	10	conj														
kakъ	какъ	kakъ	kak	R		14	14	16	mark														
sǫ	сѫ	sǫ	sъm	Vaip3pi		14	15	16	aux	prf													
živěli	живѣли	živěli	živěja	Vmp--pi		14	16	10	advcl														
tě,	тѣ,	tě	te	Pp3-pn		14	17	16	nsubj														
i	и	i	i	C		14	18	21	cc														
kakъ	какъ	kakъ	kak	R		14	19	21	mark														
sę	сѧ	sę	se	Px---a		14	20	21	expl														
pokoręvali	покорѧвали	pokoręvali	pokorěvam	Vmp--pi		14	21	16	conj														
tělo+	тѣло+	tělo	tělo	Nnsnn		14	22	21	obj														
to	то	to	tъ	Pd-nsn		14	23	22	det	p_nom													
na	на	na	na	Sa		14	24	25	case					1									
duša+	дꙋша+	duša	duša	Nfsny		14	25	21	obl	iobj													
ta,	та,	ta	tъ	Pd-fsn		14	26	25	det	p_nom													
																							
za	за	za	za	Sa		15	1	3	aux	opt			so that we can live as they did too										
da	да	da	da	C		15	2	1	fixed														
živěeme	живѣеме	živěeme	živěja	Vmip1pi		15	3	0	root														
i	и	i	i	C		15	4	5	amod														
nïe	нïе	nie	nie	Pp1-pn		15	5	3	nsubj														
kato	като	kato	kato	C		15	6	7	mark														
těxъ	тѣхъ	těxъ	te	Pp3-pg		15	7	3	advcl														
																							
i	и	i	i	C		16	1	3	cc				and that we will do that, what our soul and pure mind wants										
da	да	da	da	C		16	2	3	aux	opt													
pravime	правиме	pravime	pravja	Vmip1pi		16	3	0	root														
onova,	онова,	onova	onova	Pd-nsn		16	4	3	obj	ext													
koeto	което	koeto	koito	Pr-nsn		16	5	6	mark					1									
iska	иска	iska	iskam	Vmip3si		16	6	4	acl														
duša+	дꙋша+	duša	duša	Nfsny		16	7	6	nsubj														
ta	та	ta	tъ	Pd-fsn		16	8	7	det	p_nom													
i	и	i	i	C		16	9	11	cc														
čistyę	чистыѧ	čistię	čist	Amsoy		16	10	11	amod														
razumъ.	разꙋмъ.	razumъ	razum	Nmsnn		16	11	7	conj														
																							
Da	Да	Da	da	C		17	1	2	aux	opt			may we defeat the devilish will of our body and evil schemes of the Devil										
pobědime	побѣдиме	pobědime	pobedja	Vmip1pe		17	2	0	root														
běsna+	бѣсна+	běsna	běsen	Afsnn		17	3	5	amod														
tǫ	тѫ	tǫ	tъ	Pd-fsa		17	4	3	det	p_adj													
volę	волѧ	volę	volja	Nfsnn		17	5	2	obj														
na	на	na	na	Sa		17	6	9	case														
naše-	наше-	naše	naš	Anpny		17	7	9	amod	poss				1									
to	то	to	tъ	Pd-nsn		17	8	7	det	p_adj													
tělo,	тѣло,	tělo	tělo	Nnsnn		17	9	5	nmod	poss													
i	и	i	i	C		17	10	13	cc														
lukavy+	лꙋкавы+	lukavi	lukav	Afpny		17	11	13	amod														
tě	тѣ	tě	tъ	Pd-fpn		17	12	11	det	p_adj													
xitrosti	хитрости	xitrosti	xitrost	Nfpnn		17	13	5	conj														
na	на	na	na	Sa		17	14	15	case														
dïavola,	дïавола,	diavola	diavol	Nmsgy		17	15	13	nmod	poss													
kakto	както	kakto	kakto	Pr		17	16	19	mark				as they were defeated by all those men and women, who were pleasing to God										
sǫ	сѫ	sǫ	sъm	Vaip3pi		17	17	19	aux	prf													
gi	ги	gi	te	Pp3-pa		17	18	19	obj														
pobědili	побѣдили	pobědili	pobedja	Vmp--pe		17	19	2	advcl														
sič-ki+	сич-ки+	sički	vsičъk	Ampnn		17	20	23	amod					1									
te	те	te	tъ	Pd-mpn		17	21	20	det	p_adj													
božii	божии	božii	božii	Ampnn		17	22	23	amod	poss													
ugodnicy	угодницы	ugodnici	ugodnik	Nmpny		17	23	19	nsubj														
mǫžě	мѫжѣ	mǫžě	mъž	Nmpny		17	24	23	appos														
i	и	i	i	C		17	25	26	cc														
ženi.	жени.	ženi	žena	Nfpny		17	26	24	conj														
Kakvoto	Каквото	Kakvoto	kakvoto	Pr		17	27	32	mark				(such) as today's reverend Parascheva (did)										
i	и	i	i	C		17	28	32	amod														
dnešna+	днешна+	dnešna	dnešen	Afsnn		17	29	32	amod														
ta	та	ta	tъ	Pd-fsn		17	30	29	det	p_adj													
prepodob-naę	преподоб-наѧ	prepodobnaę	Pr	Afsny		17	31	32	amod					1									
Paraskeva,	Параскева,	Paraskeva	Paraskeva	Nfsny		17	32	23	acl														
koęto	коѧто	koęto	kojato	Pr-fsn		17	33	35	mark				whom we celebrate today and respect (her) for her virtues and respect for the virtues, with which she lived in this world										
sega	сега	sega	sega	R		17	34	35	advmod														
prazdnuvame	празднꙋваме	prazdnuvame	Pr	Vmip1pi		17	35	32	acl														
i	и	i	i	C		17	36	37	cc														
počitame	почитаме	počitame	počitam	Vmip1pi		17	37	35	conj														
za	за	za	za	Sa		17	38	41	case														
neĭny+	нейны+	neini	nein	Afpnn		17	39	41	amod	poss													
te	те	te	tъ	Pd-fpn		17	40	39	det	p_adj													
do-briny,	до-брины,	dobrini	dobrina	Nfsnn		17	41	37	obl					1									
sъ	съ	sъ	s	Si		17	42	43	case														
koito	които	koito	koito	Pr-fpn		17	43	45	mark							i Sofronii izpolzvajetь sii vidь otnositělnyxь městoimennyxь, osnovannych na izpytatělnyxь sъ okončaniemь -to, ježe sutь i vъ nbulg., a v damaskiněxъ sreštajut sę častěje deto, što i dr.							
e	е	e	sъm	Vmia3si		17	44	45	aux	prf													
živěla	живѣла	živěla	živěja	Vmp--si		17	45	41	acl														
na	на	na	na	Sa		17	46	48	case														
tozi	този	tozi	tozi	Pd-msn		17	47	48	det	ext													
světъ.	свѣтъ.	světъ	svět	Nmsnn		17	48	45	obl	loc													
																							
Za	За	Za	za	Sa		18	1	2	case				for that (ʺwhichʺ) she was glorified										
koeto	което	koeto	koito	Pr-nsn		18	2	6	obl														
i	и	i	i	C		18	3	4	amod														
bogъ	богъ	bogъ	bog	Nmsny		18	4	6	nsubj														
ę	ѧ	ę	tja	Pp3fsa		18	5	6	obj														
pro-slavi	про-слави	proslavi	proslavja	Vmia3se		18	6	0	root					1									
																							
i	и	i	i	C		19	1	2	cc				and her body was preserved by God for so many years in the earth from decay										
upazi	упази	upazi	upazja	Vmia3se		19	2	0	root														
neĭno+	нейно+	neino	nein	Ansnn		19	3	5	amod	poss													
to	то	to	tъ	Pd-nsn		19	4	3	det	p_adj													
tělo	тѣло	tělo	tělo	Nnsnn		19	5	2	obj														
tolko	толко	tolko	tolko	Pr		19	6	7	amod														
godiny	годины	godini	godina	Nfpnn		19	7	2	obl														
vъ	въ	vъ	v	Sl		19	8	9	case														
zemlę+	землѧ+	zemlę	zemlja	Nfsnn		19	9	2	obl	loc													
tǫ	тѫ	tǫ	tъ	Pd-fsa		19	10	9	det	p_nom													
da	да	da	da	C		19	11	13	mark														
ne	не	ne	ne	Qz		19	12	13	advmod														
izgnïe,	изгнïе,	izgnie	izgnija	Vmip3se		19	13	2	advcl					1									
																							
kakto	както	kakto	kakto	Pr		20	1	3	advmod				as you will hear in this story										
šte	ще	šte	šta	Vaip3si		20	2	3	aux	fut						nespręženoe šte							
čuete	чꙋете	čuete	čuja	Vmip2pi		20	3	0	root														
sega	сега	sega	sega	R		20	4	3	advmod														
otъ	отъ	otъ	ot	Sg		20	5	8	case														
neĭna+	нейна+	neina	nein	Afsnn		20	6	8	amod	poss													
ta	та	ta	tъ	Pd-fsn		20	7	6	det	p_adj													
istorïa.	исторïа.	istoria	istorija	Nfsnn		20	8	3	obl	abl				1									
																							
Světaę	Свѣтаѧ	Světaę	svęt	Afsny		21	1	2	amod				St. Parascheva was from the village of Epibates in Serbia, close to the city of Kalikratia									3	Petka's Childhood
Paraskeva	Параскева	Paraskeva	Paraskeva	Nfsny		21	2	3	nsubj														
běše	бѣше	běše	sъm	Vmii3si		21	3	0	root														
otъ	отъ	otъ	ot	Sg		21	4	5	case														
selo	село	selo	selo	Nnsnn		21	5	3	obl	abl													
Epivatъ,	Єпиватъ,	Epivatъ	Epivat	Nmsnn		21	6	5	appos														
vъ	въ	vъ	v	Sl		21	7	8	case														
Sъrbïę	Сърбïѧ	Sъrbię	Sъrbija	Nfsnn		21	8	3	obl	loc													
blizo	близо	blizo	blizo	R		21	9	11	amod														
do	до	do	do	Sg		21	10	11	case														
gradъ	градъ	gradъ	grad	Nmsnn		21	11	6	acl					1									
Kalikratïa,	Каликратïа,	Kalikratia	Kalikratia	Nfsnn		21	12	11	appos														
																							
tę	тѧ	tę	tja	Pp3fsn		22	1	3	nsubj				she was born to (ʺfromʺ) Christian parents, who were pure, righteous and made beautiful by many virtues										
běše	бѣше	běše	sъm	Vaii3si		22	2	3	aux	pass													
rodena	родена	rodena	roden	Vmpa-se	Afsnn	22	3	0	root														
otъ	отъ	otъ	ot	Sg		22	4	6	case														
xristïanski	христïански	xristianski	xristianski	Ampnn		22	5	6	amod														
roditeli,	родители,	roditeli	roditel	Nmpny		22	6	3	obl	abl													
koito	които	koito	koito	Pr-mpn		22	7	9	mark														
běxa	бѣха	běxa	sъm	Vmii3pi		22	8	9	cop														
či-sti,	чи-сти,	čisti	čist	Ampnn		22	9	6	acl					1									
pravedni	праведни	pravedni	praveden	Ampnn		22	10	9	conj														
i	и	i	i	C		22	11	12	cc														
ukraseny	украсены	ukraseni	ukrasen	Ampnn		22	12	10	conj														
sъ	съ	sъ	s	Si		22	13	15	case														
mnogo	много	mnogo	mnogo	R		22	14	15	amod														
dobriny,	добрины,	dobrini	dobrina	Nfpnn		22	15	12	obl														
																							
i	и	i	i	C		23	1	2	cc				and they taught St. Parascheva always the law of God and good habits										
učexa	учеха	učexa	uča	Vmii3pi		23	2	0	root														
svęta	свѧта	svęta	svęt	Afsnn		23	3	4	amod														
Paraskeva	Параскева	Paraskeva	Paraskeva	Nfsnn		23	4	2	obj					1									
sěkoga	сѣкога	sěkoga	vsěkogi	R		23	5	4	advmod														
na	на	na	na	Sa		23	6	7	case														
zakonъ	законъ	zakonъ	zakon	Nmsnn		23	7	2	obl	iobj													
božiĭ	божий	božii	božii	Amsnn		23	8	7	amod	poss													
i	и	i	i	C		23	9	12	cc														
na	на	na	na	Sa		23	10	12	case														
dobry	добры	dobri	dobъr	Ampnn		23	11	12	amod														
nravy	нравы	nravi	nravъ	Nmpnn		23	12	7	conj	iobj						Nedělnik 1868: raboty							
																							
Tě	Тѣ	Tě	te	Pp3-pn		24	1	3	nsubj				when they died, St. Parascheva began to live ascetically, torturing her body with fasting, praying and staying awake									4	Desert Life
kato	като	kato	kato	C		24	2	3	mark														
umręxa,	умрѧха,	umręxa	umrja	Vmii3pe		24	3	6	advcl														
světa	свѣта	světa	svęt	Afsnn		24	4	5	amod					1									
Paraskeva	Параскева	Paraskeva	Paraskeva	Nfsny		24	5	6	nsubj														
načna	начна	načna	načna	Vaia3se		24	6	0	root														
da	да	da	da	C		24	7	8	mark	inf													
živěe	живѣе	živěe	živěja	Vmip3si		24	8	6	advcl														
preskorbno,	прескорбно,	preskorbno	preskrъbno	R		24	9	8	advmod														
i	и	i	i	C		24	10	12	cc														
da	да	da	da	C		24	11	12	mark	inf													
mǫči	мѫчи	mǫči	mъča	Vmip3si		24	12	8	conj														
svoe+	свое+	svoe	svoi	Ansny		24	13	15	amod	poss													
to	то	to	tъ	Pd-nsn		24	14	13	det	p_adj													
tělo,	тѣло,	tělo	tělo	Nnsnn		24	15	12	obj														
sъ	съ	sъ	s	Si		24	16	17	case					1									
postъ,	постъ,	postъ	post	Nmsnn		24	17	12	obl														
molitvy	молитвы	molitvi	molitva	Nfpnn		24	18	17	conj														
i	и	i	i	C		24	19	20	cc														
bděnïę.	бдѣнïѧ.	bděnię	bděnie	Nnpnn		24	20	18	conj														
																							
I	И	I	i	C		25	1	9	cc				and as she enflamed herself by love for God, she left this troubled world										
kato	като	kato	kato	C		25	2	4	mark														
sę	сѧ	sę	se	Px---a		25	3	4	expl														
zapali	запали	zapali	zapalja	Vmia3se		25	4	9	advcl	prf													
otъ	отъ	otъ	ot	Sg		25	5	6	case														
ljubovь	любовь	ljubovъ	ljubov	Nfsnn		25	6	4	obl	abl													
za	за	za	za	Sa		25	7	8	case														
boga,	бога,	boga	bog	Nmsgy		25	8	6	nmod														
o-stavi	о-стави	ostavi	ostavja	Vmia3se		25	9	0	root					1									
tozi	този	tozi	tozi	Pd-msn		25	10	13	det	ext													
mnogomętežnyĭ	многомѧтежный	mnogomętežnii	mnogomętežen	Amsny		25	11	13	amod														
(tavaturnyĭ)	(таватꙋрный)	tavaturnii	tavaturen	Amsny		25	12	11	reparandum														
světъ	свѣтъ	světъ	svět	Nmsnn		25	13	9	obj														
																							
i	и	i	i	C		26	1	2	cc				and she went into the desert (the forest), where she lived as an angel										
otidi	отиди	otidi	otida	Vmia3se		26	2	0	root														
vъ	въ	vъ	v	Sa		26	3	4	case														
pusty-nę+	пꙋсты-нѧ+	pustinę	pustinja	Nfsnn		26	4	2	obl	lat				1									
tǫ	тѫ	tǫ	tъ	Pd-fsa		26	5	4	det	p_nom													
(vъ	(въ	vъ	v	Sa		26	6	7	case														
gora+	гора+	gora	gora	Nfsnn		26	7	4	reparandum	lat													
ta,)	та,)	ta	tъ	Pd-fsn		26	8	7	det	p_nom													
gděto	гдѣто	gděto	kъdeto	Pr		26	9	10	mark														
živěeše	живѣеше	živěeše	živěja	Vmii3si		26	10	4	acl														
angelski:	ангелски:	angelski	angelski	R		26	11	10	advmod														
																							
zaštoto	защото	zaštoto	zaštoto	C		27	1	2	cc				because she ate only grass and fruits, which were in that forest										
jadęla	ꙗдѧла	jadęla	jam	Vmpi-si		27	2	0	root	prf													
samo	само	samo	samo	Qg		27	3	4	amod														
tra-vǫ	тра-вѫ	travǫ	treva	Nfsan		27	4	2	obj					2									
i	и	i	i	C		27	5	6	cc		257	/img/petka/x_257.JPG											
plodove,	плодове,	plodove	plod	Nmpnn		27	6	4	conj														
koito	които	koito	koito	Pr-mpn		27	7	9	mark														
sę	сѧ	sę	se	Px---a		27	8	9	expl														
namervali	намервали	namervali	namervam	Vmp--pi		27	9	6	acl	prf													
vъ	въ	vъ	v	Sl		27	10	12	case														
onaę	онаѧ	onaę	onja	Pd-fsn		27	11	12	det	ext													
gorǫ,	горѫ,	gorǫ	gora	Nfsan		27	12	9	obl	loc													
no	но	no	no	C		27	13	18	mark				but also them only a little										
i	и	i	i	C		27	14	13	fixed														
otъ	отъ	otъ	ot	Sg		27	15	16	case														
těxъ	тѣхъ	těxъ	te	Pp3-pg		27	16	18	obl	abl													
po	по	po	po	Sd		27	17	18	case					1									
malko.	малко.	malko	malko	R		27	18	4	acl														
																							
Tamo	Тамо	Tamo	tamo	R		28	1	2	advmod				there she lived in the wintery cold and summer heat										
živěęla	живѣѧла	živěęla	živěja	Vmp--si		28	2	0	root	prf													
na	на	na	na	Sl		28	3	5	case														
zimnyę	зимныѧ	zimnię	zimen	Amsoy		28	4	5	amod	p_adj													
mrazъ	мразъ	mrazъ	mraz	Nmsnn		28	5	2	obl	loc													
i	и	i	i	C		28	6	9	cc														
na	на	na	na	Sl		28	7	9	case														
lětnyę	лѣтныѧ	lětnię	lěten	Amsoy		28	8	9	amod	p_adj													
pekъ,	пекъ,	pekъ	pek	Nmsnn		28	9	5	conj	loc													
gděto	гдѣто	gděto	kъdeto	Pr		28	10	13	mark				where she looked only towards God, in front of whom she poured tears like a river	1									
samo	само	samo	samo	R		28	11	12	amod														
boga	бога	boga	bog	Nmsgy		28	12	13	obj														
gledala,	гледала,	gledala	gledam	Vmp--si		28	13	1	advcl	prf													
predъ	предъ	predъ	pred	Si		28	14	15	case														
kogoto	когото	kogoto	koito	Pr-msg		28	15	16	mark														
prolivala	проливала	prolivala	prolivam	Vmp--si		28	16	12	acl	prf													
sъlzy	сълзы	sъlzi	sъlza	Nfpnn		28	17	16	obj														
kato	като	kato	kato	C		28	18	19	mark														
rěka,	рѣка,	rěka	rěka	Nfsnn		28	19	16	advcl														
																							
plačela	плачела	plačela	plača	Vmpi-si		29	1	0	root	prf			she cried and moaned on a naked ground	1									
i	и	i	i	C		29	2	3	cc														
vъzdyšala	въздышала	vъzdišala	vъzdišam	Vmp--si		29	3	1	conj														
na	на	na	na	Sl		29	4	7	case														
gola+	гола+	gola	gol	Afsnn		29	5	7	amod														
tǫ	тѫ	tǫ	tъ	Pd-fsa		29	6	5	det	p_adj													
zemlę,	землѧ,	zemlę	zemlja	Nfsnn		29	7	1	obl	loc													
																							
trudila+	трꙋдила+	trudila	trudja	Vmp--si		30	1	0	root	prf			she worked hard to kill the body and to make her soul holy										
sę	сѧ	sę	se	Px---a		30	2	1	expl														
da	да	da	da	C		30	3	4	mark														
