text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
ní+	ни́+	ni	ne	Qz		19	9	10	amod														
v_erná	в_ернá	niverna	veren	Nnpnn		19	10	8	obj					1									
í+	и́+	i	i	C		19	11	13	cc				He took them a lot of land										
da	да	da	da	C		19	12	13	mark														
zema	зема	zema	zema	Vmia3se		19	13	8	conj														
zímę	зи́мѧ	zimę	zemja	Nfsnn		19	14	13	obj														
mlogo	млого	mlogo	mlogo	R		19	15	13	amod														
																							
í+	и́+	i	i	C		20	1	2	cc				And he jumped heroically, with God's (ʺname'sʺ ?) command (and) with a strong Serbian and Bulgarian army			The source likely still had sg.inst endings indicated, unlike Tixon.d. (<i>i skoči junaškyi sъsъ bžie povelěnie</i>). The ʺstrong Bulgarian and Serbian armyʺ seems to be the scribe's own addition.							
skočí	скочи́	skoči	skoča	Vmia3se		20	2	0	root														
junaškí	юнашки́	junaški	junaški	R		20	3	2	advmod					1									
sasъ	сасъ	sasъ	s	Si		20	4	7	case														
bže	бже	bže	božii	Ansnn		20	5	7	amod														
íme	и́ме	ime	ime	Nnsnn		20	6	5	discourse														
poveleníemъ	повелени́емъ	poveleniemъ	povelenie	Nnsin		20	7	6	obl														
sasъ	сасъ	sasъ	s	Si		20	8	10	case														
sílna	си́лна	silna	silen	Afsnn		20	9	10	amod														
voí_ska	вои́_ска	voiska	voiska	Nfsnn		20	10	2	obl					1									
srъpocka	сръпоцка	srъpocka	srъbski	Afsnn		20	11	10	amod														
í+	и́+	i	i	C		20	12	13	cc														
bulgarcka	бꙋлгарцка	bulgarcka	bъlgarski	Afsnn		20	13	11	conj														
																							
í+	и́+	i	i	C		21	1	2	cc				And he took the land of Macedonia										
príe	при́е	prie	preema	Vmia3se		21	2	0	root														
makedo_ska	македо_ска	makedoska	makedonski	Afsnn		21	3	4	amod					2									
zemę	земѧ	zemę	zemja	Nfsnn		21	4	2	obj		6r	/img/petka/52k-6r.jpg											
																							
í+	и́+	i	i	C		22	1	3	cc				And thus he conquered Thessaly										
taka	така	taka	taka	Pr		22	2	3	advmod														
príe	при́е	prie	preema	Vmia3se		22	3	0	root														
ѳetalíska	ѳетали́ска	ѳetaliska	tetaliiski	Afsnn		22	4	5	amod														
zímę	зи́мѧ	zimę	zemja	Nfsnn		22	5	3	obj					1									
																							
taka	така	taka	taka	Pr		23	1	2	advmod				Thus he conquered Thrace too										
príe	при́е	prie	preema	Vmia3se		23	2	0	root														
í+	и́+	i	i	C		23	3	4	amod														
trakię	тракиѧ	trakię	Trakija	Nfsnn		23	4	2	obj														
																							
taka	така	taka	taka	Pr		24	1	2	advmod				Thus he also conquered Tribalia										
príe	при́е	prie	preema	Vmia3se		24	2	0	root														
í+	и́+	i	i	C		24	3	4	amod														
trívaíę	три́ваи́ѧ	trivaię	Trivalija	Nfsnn		24	4	2	obj					1									
																							
taka	така	taka	taka	Pr		25	1	2	advmod				Thus he also conquered Serres and thecity of Serdica itself, that is Sofia			Serdica/Sofia is not mentioned in other editions							
príe	при́е	prie	preema	Vmia3se		25	2	0	root														
í+	и́+	i	i	C		25	3	4	amod														
seręsъ	серѧсъ	seręsъ	Sěr	Nmsnn		25	4	2	obj														
í+	и́+	i	i	C		25	5	7	cc														
samí	сами́	sami	sam	Amsny		25	6	7	amod														
gratъ	гратъ	gratъ	grad	Nmsnn		25	7	4	conj														
serdečъ	сердечъ	serdečъ	Sredec	Nmsnn		25	8	7	appos					1									
síę	си́ѧ	się	sii	Pd-nsn		25	9	10	det														
rečъ	речъ	rečъ	reč	Nfsnn		25	10	12	mark														
í+	и́+	i	i	C		25	11	12	amod														
sofíę	софи́ѧ	sofię	Sofia	Nfsnn		25	12	7	acl														
													And he came even to the (ʺDyrrhacianʺ) Dyrrhacium										
doíde	дои́де	doide	doida	Vmia3se		26	1	0	root														
í+	и́+	i	i	C		26	2	3	amod														
do+	до+	do	do	Sg		26	3	1	reparandum														
í+	и́+	i	i	C		26	4	5	amod														
dračъ	драчъ	dračъ	Drač	Nmsnn		26	5	1	obl														
dračęnc_kaę	драчѧнц_каѧ	dračęnckaę	dračanski	Afsny		26	6	5	amod					1									
																							
pakъ	пакъ	pakъ	pak	R		27	1	2	advmod				Then he also took Dalmatia, which is an Albanian country										
príe	при́е	prie	preema	Vmia3se		27	2	0	root														
í+	и́+	i	i	C		27	3	4	amod														
dalmacíę	далмаци́ѧ	dalmacię	Dalmatija	Nfsnn		27	4	2	obj														
što+	що+	što	što	Pq		27	5	6	mark														
e	е	e	sъm	Vmip3si		27	6	4	acl														
arnavuckíę	арнавꙋцки́ѧ	arnavuckię	arnautski	Afsny		27	7	8	amod					1									
dražavъ	дражавъ	dražavъ	dъržava	Nfson		27	8	6	obl	pred													
																							
napukunъ	напꙋкꙋнъ	napukunъ	napokon	R		28	1	2	advmod				Finally he took the Mount Athos, that is, the Holy Mountain										
príe	при́е	prie	preema	Vmia3se		28	2	0	root														
natoksíę	натокси́ѧ	natoksię	atonski	Afsny		28	3	4	amod														
gẅra	гѡ̈ра	gora	gora	Nfsnn		28	4	2	obj					1									
síę	си́ѧ	się	sii	Pd-nsn		28	5	6	det														
rečъ	речъ	rečъ	reč	Nfsnn		28	6	8	mark														
sta	ста	sta	svęt	Afsnn		28	7	8	amod														
gora	гора	gora	gora	Nfsnn		28	8	4	acl														
í+	и́+	i	i	C		28	9	12	cc				and the cities around, the famous Salonica and Niš (?)										
na+	на+	na	na	Sa		28	10	11	case														
okulu	окꙋлꙋ	okulu	okolo	R		28	11	12	amod														
graduve	градꙋве	graduve	grad	Nmpnn		28	12	4	conj														
sla_vní	сла_вни́	slavni	slaven	Amsny		28	13	14	amod					1									
sulunъ	сꙋлꙋнъ	sulunъ	Solun	Nmsnn		28	14	12	appos														
í+	и́+	i	i	C		28	15	16	cc														
íníšarъ	и́ни́шаръ	inišarъ	Niš	Nmsnn		28	16	14	conj							< tr. <i>Niş şehri</i> ? Not mentioned in other versions.							
																							
í+	и́+	i	i	C		29	1	4	cc				And wherever he went, he destroyed pagan temples.			Destruction of pagan temples is not mentioned in other version.							
kadę	кадѧ	kadę	kъde	Pq		29	2	3	mark														
pomína	поми́на	pomina	pomina	Vmia3se		29	3	4	advcl														
sa_sípa	са_си́па	sasipa	sъsipja	Vmia3se		29	4	0	root					1									
kapíšta+	капи́ща+	kapišta	kapište	Nnpnn		29	5	4	obj														
ta	та	ta	tъ	Pd-npn		29	6	5	det	p_nom													
																							
čerkuva+	черкꙋва+	čerkuva	čerkova	Nfsnn		30	1	3	obl	pred			(That) is, churches of pagans.										
ta+	та+	ta	tъ	Pd-fsn		30	2	1	det	p_nom													
e	е	e	sъm	Vmip3si		30	3	0	root														
elenski	еленски	elenski	elenski	R		30	4	3	advmod														
																							
í+	и́+	i	i	C		31	1	2	cc				And he made Christian churches and monasteries										
napra_ví	напра_ви́	napravi	napravja	Vmia3se		31	2	0	root					1									
čerkúvi	черкꙋ́ви	čerkuvi	čerkova	Nfpnn		31	3	2	obj														
xrstencki	хрстенцки	xrstencki	xristianski	Afpnn		31	4	3	amod														
í+	и́+	i	i	C		31	5	6	cc														
manastíre	манасти́ре	manastire	manastir	Nmpnn		31	6	3	conj														
																							
í+	и́+	i	i	C		32	1	2	cc				And he placed an archbishop, bishops, metropolites, archpriests (?)										
po_staví	постави́	postavi	postavja	Vmia3se		32	2	0	root					1									
arapískupa	арапи́скꙋпа	arapiskupa	arxiepiskop	Nmsgy		32	3	2	obj														
epískopi	епи́скопи	episkopi	episkop	Nmpnn		32	4	3	conj														
vldcí	влдци́	vldci	vladika	Nfpnn		32	5	4	conj														
arier_iersovulí	ариер_иерсовꙋли́	arieriersovuli	xrisovul	Nmpnn		32	6	5	conj							Tixon.d.: <i>gde prěe, postavi mitropolite i epskpy světlii i blgočьstivii sъs njegovy styi xrisovuli</i><br/> The translator likely considered <i>xrisovul</i> to be a kind of title.							
																							
što+	що+	što	što	Pq		33	1	3	obj				Thus it can be read on the Holy Mountain, in the famous Lavra	1									
sa	са	sa	se	Px---a		33	2	3	expl														
číte	чи́те	čite	četa	Vmip3si		33	3	0	root														
na+	на+	na	na	Sl		33	4	6	case														
sta	ста	sta	svęt	Afsnn		33	5	6	amod														
gora	гора	gora	gora	Nfsnn		33	6	3	obl	loc													
u+	ꙋ+	u	u	Sg		33	7	9	case														
slavnaę	славнаѧ	slavnaę	slaven	Afsny		33	8	9	amod					1									
lavra	лавра	lavra	lavra	Nfsnn		33	9	3	obl	loc													
																							
í+	и́+	i	i	C		34	1	5	cc				And, finally, he was not scared from those Franks										
napukunъ	напꙋкꙋнъ	napukunъ	napokon	R		34	2	5	advmod														
ní+	ни́+	ni	ne	Qz		34	3	5	advmod														
sa	са	sa	se	Px---a		34	4	5	expl														
ubuę	ꙋбꙋѧ	ubuę	uboja	Vmia3se		34	5	0	root														
wt+	ѿ+	ot	ot	Sg		34	6	8	case														
uníę	ꙋни́ѧ	unię	onja	Pd-mpn		34	7	8	det	ext													
fren_cí	френ_ци́	frenci	frenci	Nmpny		34	8	5	obl	abl				1									
																							
amí+	ами́+	ami	ami	C		35	1	3	cc				But he came back										
sa	са	sa	se	Px---a		35	2	3	expl														
zavarna	заварна	zavarna	zavъrna	Vmia3se		35	3	0	root														
																							
ta+	та+	ta	ta	C		36	1	2	cc				And he went through the White (Aegean) Sea			Not in other versions							
íde	и́де	ide	ida	Vmip3si		36	2	0	root														
pu+	пꙋ+	pu	po	Sd		36	3	5	case														
bęlo	бѧло	bęlo	běl	Ansnn		36	4	5	amod														
more	море	more	more	Nnsnn		36	5	2	obl														
																							
ta+	та+	ta	ta	C		37	1	2	cc				And he took, as the God's name told him, Tsarigrad too										
prie	прие	prie	preema	Vmia3se		37	2	0	root					1									
í+	и́+	i	i	C		37	3	7	mark														
bže	бже	bže	božii	Ansnn		37	4	5	amod	poss						This seems to reflect again a misunderstood sg.nom *<i>bžiemь poveleniemь</i>, but the sentence is differently worded elsewhere.<BR/>Tixon.d.: <i>ami poide i na crigradь, i njego prěe</i>							
íme	и́ме	ime	ime	Nnsnn		37	5	7	nsubj														
povelí	повели́	poveli	povelja	Vmia3se		37	6	7	advcl														
nemu	немꙋ	nemu	toi	Pp3msd		37	7	2	obl	iobj													
í+	и́+	i	i	C		37	8	9	amod														
crí_gratъ	цри́_гратъ	crigratъ	Carigrad	Nmsnn		37	9	2	obj														
																							
i+	и+	i	i	C		38	1	2	cc				And he subdued the Franks, (placing them) under tax										
sokr_iší	сокр_иши́	sokriši	sъkruša	Vmia3se		38	2	0	root					1									
potaníí	потани́и́	potanii	poddan	Nmpny		38	3	2	obl	pred													
frencí	френци́	frenci	frenci	Nmpny		38	4	2	obj														
																							
í+	и́+	i	i	C		39	1	5	cc				And finally those Franks bowed to him, to give taxes and to be his subjects										
napukunъ	напꙋкꙋнъ	napukunъ	napokon	R		39	2	5	advmod														
mu+	мꙋ+	mu	toi	Pp3msd		39	3	5	obl	iobj													
sa	са	sa	se	Px---a		39	4	5	expl														
pu_kloníxa	пꙋ_клони́ха	puklonixa	poklonja	Vmii3pe		39	5	0	root					1									
ẅníę	ѡ̈ни́ѧ	onię	onja	Pd-mpn		39	6	7	det	ext													
frencí	френци́	frenci	frenci	Nmpny		39	7	5	nsubj														
da+	да+	da	da	C		39	8	10	mark														
mu	мꙋ	mu	toi	Pp3msd		39	9	10	obl	iobj													
davatъ	даватъ	davatъ	davam	Vmip3pi		39	10	5	advcl														
danъ	данъ	danъ	dan	Nmsnn		39	11	10	obj					1									
í+	и́+	i	i	C		39	12	15	cc														
da+	да+	da	da	C		39	13	15	mark														
mu	мꙋ	mu	toi	Pp3msd		39	14	15	obl	iobj													
badatъ	бадатъ	badatъ	bъda	Vmip3pe		39	15	10	conj														
raę	раѧ	raę	raja	Nfsnn		39	16	15	obl	pred													
																							
í+	и́+	i	i	C		40	1	3	cc				And then the honorable, Christ-loving king John finally stood up									12	Translation to Tarnovo
togazí	тогази́	togazi	togazi	Pr		40	2	3	advmod														
stana	стана	stana	stana	Vmia3se		40	3	0	root														
napuk_unъ	напꙋк_ꙋнъ	napukunъ	napokon	R		40	4	3	advmod					1									
blgočestiví	блгочестиви́	blgočestivi	blagočestiv	Amsny		40	5	8	amod														
xrstosъ	хрстосъ	xrstosъ	Xristos	Nmsny		40	6	7	nmod														
ljubivíí	любиви́и́	ljubivii	ljubiv	Amsny		40	7	8	amod														
crъ	цръ	crъ	car	Nmsny		40	8	3	nsubj														
ioanъ	иоанъ	ioanъ	Ioan	Nmsny		40	9	8	appos					1									
																							
ta+	та+	ta	ta	C		41	1	3	cc				And he went back to his glorious Bulgarian royal city of Tarnov										
sí	си́	si	se	Px---d		41	2	3	expl														
puíde	пꙋи́де	puide	poida	Vmia3se		41	3	0	root														
nazatъ	назатъ	nazatъ	nazad	R		41	4	3	advmod														
na+	на+	na	na	Sa		41	5	10	case														
svoí	свои́	svoi	svoi	Amsny		41	6	10	amod	poss													
í+	и́+	i	i	C		41	7	8	cc														
slavníi	славни́и	slavnii	slaven	Amsny		41	8	10	amod														
bu_lgarckí	бꙋ_лгарцки́	bulgarcki	bъlgarski	Amsny		41	9	10	amod					1									
cre_gratъ	цре_гратъ	cregratъ	Carigrad	Nmsny		41	10	3	obl	lat													
tarnufъ	тарнꙋфъ	tarnufъ	Tъrnov	Nmsny		41	11	10	appos														
što+	що+	što	što	Pq		41	12	14	mark				Which is called ʺTrabzon of Bulgaria, that is, ʺTait (?) of Bulgariaʺ.			Not mentioned in other variants							
se	се	se	se	Px---a		41	13	14	expl														
narica	нарица	narica	naričam	Vmip3si		41	14	10	acl					1									
trepezonъ	трепезонъ	trepezonъ	Trabzon	Nmsnn		41	15	14	obl	pred													
bulgarckí	бꙋлгарцки́	bulgarcki	bъlgarski	Amsny		41	16	15	amod														
síe	си́е	sie	sii	Pd-nsn		41	17	18	det														
rečъ	речъ	rečъ	reč	Nfsnn		41	18	19	mark														
taitъ	таитъ	taitъ	Tait	Nmsnn		41	19	15	acl							?							
bulga_rckí	бꙋлга_рцки́	bulgarcki	bъlgarski	Amsny		41	20	19	amod					1									
																							
í+	и́+	i	i	C		42	1	3	cc				And finally, a time which passed, passed (?)										
napukunъ	напꙋкꙋнъ	napukunъ	napokon	R		42	2	3	advmod														
mína+	ми́на+	mina	mina	Vmia3se		42	3	0	root														
sa	са	sa	se	Px---a		42	4	3	expl														
vreme	време	vreme	vreme	Nnsnn		42	5	3	nsubj														
što+	що+	što	što	Pq		42	6	8	mark														
sa	са	sa	se	Px---a		42	7	8	expl														
mina	мина	mina	mina	Vmia3se		42	8	3	advcl					1									
																							
razbra	разбра	razbra	razbra	Vmia3se		43	1	0	root				The king John understood										
crъ	цръ	crъ	crъ	Nmsny		43	2	1	nsubj														
iwanъ	иѡанъ	ioanъ	ioanъ	Nmsny		43	3	2	appos														
																							
asъ	асъ	asъ	az	Pp1-sn		44	1	7	nsubj				ʺI with my age found out about Holy Reverend Petka of Epibatesʺ										
sasъ	сасъ	sasъ	s	Si		44	2	4	case														
moę	моѧ	moę	moi	Afsny		44	3	4	amod	poss													
starusъ	старꙋсъ	starusъ	starost	Nfsnn		44	4	7	obl					2									
rękurat+	рѧкꙋрат+	rękurat	rękurat	R		44	5	7	discourse		6v	/img/petka/52k-6v.jpg				?							
mu	мꙋ	mu	toi	Pp3msd		44	6	7	discourse														
razbraxъ	разбрахъ	razbraxъ	razbera	Vmia1se		44	7	0	root														
za+	за+	za	za	Sa		44	8	11	case														
staę	стаѧ	staę	svęt	Afsny		44	9	11	amod														
prípodobnaę	при́подобнаѧ	pripodobnaę	prepodoben	Afsny		44	10	11	amod					1									
petka	петка	petka	Petka	Nfsny		44	11	7	obl														
epevaískaę	епеваи́скаѧ	epevaiskaę	epivatski	Afsny		44	12	11	amod														
katu	катꙋ	katu	kato	C		44	13	14	mark				ʺthat she does many miraclesʺ										
čínę	чи́нѧ	činę	činja	Vmip3si		44	14	7	advcl														
tolkuva	толкꙋва	tolkuva	tolkova	Pr		44	15	16	amod														
čjud_ísa	чюд_и́са	čjudisa	čudo	Nnpnn		44	16	14	obj					1									
																							
isílęva+	иси́лѧва+	isilęva	izceljavam	Vmia3si		45	1	0	root				ʺshe cures the ill and blindʺ										
bolní	болни́	bolni	bolen	Ampnn		45	2	1	obj														
í+	и́+	i	i	C		45	3	4	cc														
slepí	слепи́	slepi	slěp	Ampnn		45	4	2	conj														
																							
í+	и́+	i	i	C		46	1	2	cc				And his heart was engulfed in flames as (of) a deer (desiring) for water										
zapalí+	запали́+	zapali	zapalja	Vmia3se		46	2	0	root														
mu+	мꙋ+	mu	toi	Pp3msd		46	3	2	obl	iobj													
sa	са	sa	se	Px---a		46	4	2	expl														
sar_ce+	сар_це+	sarce	sъrdce	Nnsnn		46	5	2	nsubj					1									
to	то	to	tъ	Pd-nsn		46	6	5	det	p_nom													
kato	като	kato	kato	C		46	7	8	mark														
leenъ	леенъ	leenъ	elen	Nmsnn		46	8	2	advcl														
za+	за+	za	za	Sa		46	9	10	case														
voda	вода	voda	voda	Nfsnn		46	10	8	obl														
																							
í+	и́+	i	i	C		47	1	7	cc				And then the king John decided (?) to send a command to Stanbul to the Franks										
togazí	тогази́	togazi	togazi	Pr		47	2	7	advmod														
ze	зе	ze	zema	Vaip3si		47	3	7	aux														
crъ	цръ	crъ	car	Nmsny		47	4	7	nsubj														
íoa_nъ	и́оа_нъ	ioanъ	Ioan	Nmsny		47	5	4	appos					1									
ta+	та+	ta	ta	C		47	6	3	fixed														
pusnъ	пꙋснъ	pusnъ	pusna	Vmia3se		47	7	0	root														
ídínъ	и́ди́нъ	idinъ	edin	Amsnn		47	8	9	amod	det													
fermanъ	ферманъ	fermanъ	ferman	Nmsnn		47	9	7	obj														
du+	дꙋ+	du	do	Sg		47	10	11	case														
stanbulъ	станбꙋлъ	stanbulъ	Stanbul	Nmsnn		47	11	7	obl														
du+	дꙋ+	du	do	Sg		47	12	13	case														
fre_ncí+	фре_нци́+	frenci	frenci	Nmpny		47	13	7	obl	iobj				1									
te	те	te	tъ	Pd-mpn		47	14	13	det	p_nom													
																							
í+	и́+	i	i	C		48	1	2	cc				and he said:										
