text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc
eѵѳïmïemь	еѵѳїмїемь	evfimiemъ	Evtimii	Nmsly		3	2	1	obl					1									
patrïár'x`wmь	патрїáр͛х̀ѡмь	patriarxomъ	patriarx	Nmsly		3	3	2	appos														
tr´nov'(skïmь)	тр́нов͛(скїмь)	trъnovъskimъ	tъrnovski	Amsly		3	4	3	amod														
																							
Svě´tlě´išïa	Свѣ́тлѣ́ишїа	světlěišia	světъl	Afsnnc		4	1	0	root				The rememberance of Reverend Petka is brighter than the sun									2	Introduction
slnca	слнца	slnca	slъnce	Nnsgn		4	2	1	nmod	abl													
(prěpodw´bnyje)	(прѣподѡ́бныѥ)	prěpodobnije	prepodoben	Afsgy		4	3	4	amod					1									
pámétь	пáме́ть	pametъ	pamet	Nfsnn		4	4	1	nsubj														
pétky.	пе́ткы.	petki	Petka	Nfsgy		4	5	4	nmod	poss													
ášte	áще	ašte	ašte	C		4	6	10	mark				when we explain in detail her life and deeds and journeys										
po+	по	po	po	Sd		4	7	8	case					1									
dróbnou	дро́бноу	drobnou	droben	Ansdn		4	8	10	advmod														
tojè	тоѥ̀	toje	tja	Pp3fsg		4	9	11	nmod	poss													
sьpově´mi	сьповѣ́ми	sъpověmi	sъpovědati	Vmip1pe		4	10	1	advcl														
žítïe.	жи́тїе.	žitie	žitie	Nnsnn		4	11	10	obj														
dějanïá+	дѣꙗнїá+	dějania	dejanie	Nnpnn		4	12	11	conj				which she went through for the sake of love of Christ.	1									
že	же	že	že	Qd		4	13	12	cc														
i+	и+	i	i	C		4	14	15	cc														
xóždenïa	хо́жденїа	xoždenia	xoždenie	Nnpnn		4	15	12	conj														
jáže	ꙗ́же	jaže	iže	Pr-npn		4	16	20	mark							Kałužniacki 1901: <i>jaže radi Xristovy podjetь ljubve</i>							
rádì	рáдѝ	radi	radi	Sg		4	17	19	case														
xvì	хвѝ	xvi	Xristov	Afsgy		4	18	19	nmod	poss													
ljúbve	лю́бве	ljubve	ljubov	Nfsgn		4	19	20	obl														
pódь_jetь.	по́дь_ѥть.	podъjetъ	podema	Vmia3se		4	20	12	acl					1									
																							
Nь`	Нь̀	nъ	no	C		5	1	7	cc				But who would tell about her works and miracles in detail?										
ktoʺ	кто̏	kto	kъto	Pq---n		5	2	7	nsubj														
oúbò	оу́бо̀	oubo	ubo	C		5	3	7	discourse														
tojè	тоѥ̀	toje	tja	Pp3fsg		5	4	8	nmod	poss													
po+	по+	po	po	Sl		5	5	6	case														
čésti	че́сти	česti	čast	Nfsgn		5	6	7	obl														
ízre_četь	и́зре_четь	izrečetъ	izreka	Vmip3se		5	7	0	root					1									
dějanïa+	дѣꙗнїа+	dějania	dejanie	Nnpnn		5	8	7	obj														
že	же	že	že	Qd		5	9	8	cc														
i+	и+	i	i	C		5	10	11	cc														
čjudesa.	чюдеса.	čjudesa	čudo	Nnpnn		5	11	8	conj														
																							
ktò	кто̀	kto	kъto	Pq---n		6	1	0	root				who (could recount her) deeds of mercy, protections and virtues										
blgo_dějanïa	блго_дѣꙗнїа	blgodějania	blagodejanie	Nnpnn		6	2	1	obj					1									
í+	и́+	i	i	C		6	3	4	cc														
zastoúpljenïa	застоу́плѥнїа	zastoupljenia	zastuplenie	Nnpnn		6	4	2	conj														
í+	и́+	i	i	C		6	5	6	cc														
prědstátelь_stva.	прѣдстáтель_ства.	prědstatelъstva	predstatelstvo	Nnpnn		6	6	4	conj					1									
jáže	ꙗ́же	jaže	iže	Pr-npn		6	7	9	mark				in Epibates, which in Thrace, in Tarnovo too, and in Moesia, and in Dalmatia?										
vь+	вь+	vъ	v	Sl		6	8	9	case														
epïvatox.	епїватох.	epivatox	Epivat	Nnpln		6	9	2	acl														
jáže	ꙗ́же	jaže	iže	Pr-npn		6	10	12	mark														
vь+	вь+	vъ	v	Sl		6	11	12	case														
trá_kïi.	трá_кїи.	trakii	Trakija	Nfsdn		6	12	10	conj					1									
trь´nově+	трь́новѣ+	trъnově	Tъrnov	Nnsln		6	13	12	conj														
že,	же,	že	že	Qd		6	14	13	cc														
í+	и́+	i	i	C		6	15	16	cc														
mísïi,	ми́сїи,	misii	Mizija	Nfsdn		6	16	13	conj														
í+	и́+	i	i	C		6	17	18	cc														
dál'ma_tïi.	дáл͛ма_тїи.	dalmatii	Dalmatija	Nfsdn		6	18	16	conj					1									
																							
ne+	не+	ne	ne	Qz		7	1	2	advmod				And you can find her name to be carried around not only (there), but over the whole world.										
tь´čiju+	ть́чию+	tъčiju	tъčijǫ	R		7	2	9	advmod														
že,	же,	že	že	Qd		7	3	2	cc														
nьʺ	нь̏	nъ	no	C		7	4	9	cc														
i+	и+	i	i	C		7	5	4	fixed														
po+	по+	po	po	Sd		7	6	7	case														
vьséljenněì	вьсе́лѥннѣѝ	vъseljenněi	vselena	Afsdy		7	7	9	obl	loc				1									
tojè	тоѥ̀	toje	tja	Pp3fsg		7	8	11	nmod	poss													
w´brě´šteši	ѡ́брѣ́щеши	obrěšteši	obrěsti	Vmip2se		7	9	0	root														
w´bnósimo	ѡ́бно́симо	obnosimo	obnosja	Ansnn	Vmpp-si	7	10	9	obl	pred													
ímè.	и́мѐ.	ime	ime	Nnsnn		7	11	9	obj														
																							
mnó_gà	мно́_гà	mnoga	mnog	Afsnn		8	1	0	root				For the story of this Reverend (Petka) will be voluminous and long.	1		NBKM 665: <i>mnogaa</i>							
oúbò	оу́бо̀	oubo	ubo	C		8	2	1	cc														
í+	и́+	i	i	C		8	3	4	cc														
dlь´ga	дль́га	dlъga	dъlъg	Afsnn		8	4	1	conj														
boúdetь	боу́деть	boudetъ	bъda	Vmip3se		8	5	1	cop														
w´+	ѡ́+	o	o (2)	Sl		8	6	7	case														
prěpodw´_bněì	прѣподѡ́_бнѣѝ	prěpodobněi	prepodoben	Afsdy		8	7	9	nmod	loc				1									
seʺi	се̏и	sei	sii	Pd-fsd		8	8	7	det	p_adj													
pově´stь.	повѣ́сть.	pověstъ	povest	Nfsnn		8	9	1	nsubj														
																							
í+	и́+	i	i	C		9	1	10	cc				and our mind does not suffice to tell her story nicely										
našь	нашь	našъ	naš	Amsnn		9	2	3	amod	poss													
oúmь`	оу́мь̀	oumъ	um	Nmsnn		9	3	10	nsubj					2									
kь+	кь+	kъ	k	Sd		9	4	5	case		191v	/img/petka/000386.jpg											
seì	сеѝ	sei	sii	Pd-fsd		9	5	10	obl														
(po)	(по)	po	po	Sl		9	6	7	case														
lě´potě	лѣ́потѣ	lěpotě	lěpota	Nfsdn		9	7	10	obl														
ne+	не+	ne	ne	Qz		9	8	9	advmod														
dóvlejètь	до́влеѥ̀ть	dovlejetъ	dovlěti	Vaip3si		9	9	10	aux							Miklosich: <i>dovlěti</i> 'sufficere'							
sьpově´dati..	сьповѣ́дати..	sъpovědati	sъpovědati	Vmn---e		9	10	0	root					1									
																							
(Sià)	(Сиà)	sia	sii	Pd-fsn		10	1	5	det				this Saint Reverend Petka's fatherland was Epibates (ʺhad Epibates as her fatherlandʺ)									3	Petka's Childhood
oúbò	оу́бо̀	oubo	ubo	C		10	2	7	discourse														
staa	стаа	staa	svęt	Afsny		10	3	5	amod														
prěpodw´bnaà	прѣподѡ́бнаà	prěpodobnaa	prepodoben	Afsny		10	4	3	conj														
pétka.	пе́тка.	petka	Petka	Nfsny		10	5	7	nsubj					1									
(wtčь´stvo)	(ѿчь́ство)	otčъstvo	otečestvo	Nnsnn		10	6	7	obl	pred													
ímějaše	и́мѣꙗше	imějaše	imam	Vmii3si		10	7	0	root														
épïvati.	е́пївати.	epivati	Epivat	Nnpnn		10	8	7	obj														
(róditelje)	(ро́дителѥ)	roditelje	roditel	Nmpay		10	9	8	conj				(and she had) pious parents	1									
žè	жѐ	že	že	Qd		10	10	9	cc														
blgočstívïi,	блгочсти́вїи,	blgočstivii	blagočestiv	Ampnn		10	11	10	amod														
xódeštïix	хо́дещїих	xodeštiix	xodja	Vmpp-pia	Ampgy	10	12	9	acl				following all the Divine commands without going astray			NBKM 665: <i>xódeštïi</i>							
vь+	вь+	vъ	v	Sl		10	13	16	case														
v'sě_(x)	в͛сѣ_(х)	vsěx	vse	Ampgy		10	14	16	amod	det				1		NBKM 665: <i>vsěx</i>							
(bžiixь)	(бжиихь)	bžiixъ	božii	Ampgy		10	15	16	amod	poss													
zapově´dexь	заповѣ́дехь	zapovědexъ	zapověd	Nmpln		10	16	12	obl	loc													
ne+	не+	ne	ne	Qz		10	17	18	advmod														
oúklón'no.	оу́кло́н͛но.	ouklonno	uklonno	R		10	18	12	advmod					1									
(milostinjami)	(милостинꙗми)	milostinjami	milostinja	Nfpin		10	19	24	obl				making their lives beautiful by alms and good deeds										
í+	и́+	i	i	C		10	20	21	cc														
blgotvórenïi	блготво́ренїи	blgotvorenii	blagotvorenie	Nnpin		10	21	19	conj														
vьsoù	вьсоу̀	vъsou	vse	Afsan		10	22	25	amod	det													
svojù	свою̀	svoju	svoi	Afsay		10	23	25	amod	poss				1									
(oukrašajušte)	(оукрашающе)	oukrašajušte	ukrasja	Vmpp-pia	Anpnn	10	24	12	conj														
žíznь.	жи́знь.	žiznъ	žiznь	Nfsnn		10	25	24	obj														
																							
Vъspítaše+	Въспи́таше+	vъspitaše	vъzpitam	Vmpa-pea	Anpnn	11	1	0	root				and they raised this good, pure dove of Christ in good manners			Cejtlin et al. 153: <i>vъspitěti</i> 'tréfein, vospitatь, vychovat'							
že	же	že	že	Qd		11	2	1	mark					1									
(siju)	(сию)	siju	sii	Pd-fsa		11	3	6	det														
dobrujù	добрꙋю̀	dobruju	dobъr	Afsay		11	4	6	amod														
čístoujù	чи́стоую̀	čistouju	čist	Afsay		11	5	4	conj														
góloubicu	го́лоубицꙋ	goloubicu	golubica	Nfsay		11	6	1	obj														
xvoù,	хвоу̀,	xvou	Xristov	Afsan		11	7	6	amod	poss				1									
(vь	(вь	vъ	v	Sl		11	8	10	case														
pwdobnyʺxь)	пѡдобны̏хь)	podobnixъ	podoben	Ampgy		11	9	10	amod														
n'rávoxь.	н͛рáвохь.	nravoxъ	nrav	Nmpln		11	10	1	obl	loc													
																							
i+	и+	i	i	C		12	1	9	cc				and after they taught her the Divine Law well										
zakónou	зако́ноу	zakonou	zakon	Nmsdn		12	2	6	nmod	iobj													
bžïjù	бжїю̀	bžiju	božii	Amsdn		12	3	2	amod	poss				1									
(dobrě)	(добрѣ)	dobrě	dobre	R		12	4	6	advmod														
touʺ	тоу̏	tou	tja	Pp3fsa		12	5	6	obj														
nakázav'še,	накáзав͛ше,	nakazavše	nakaža	Vmpa-pea	Anpnn	12	6	9	advcl														
vь+	вь+	vъ	v	Sa		12	7	10	case				they went over to the heavenly dwellings										
nbsnyʺjè	нбсны̏ѥ̀	nbsnije	nebesen	Ampny		12	8	10	amod														
prě_idoše	прѣ_идоше	prěidoše	prěiti	Vmia3pe		12	9	0	root					1									
w´býtěli.	ѡ́бы́тѣли.	obitěli	obitel	Nmpnn		12	10	9	obl	lat													
Naslě´dnicou	Наслѣ́дницоу	Naslědnicou	naslednica	Nfsay		12	11	13	nmod	pred			leaving Petka as the heiress to their house behind, together with (her) brother Euthymius										
dó_mou	до́_моу	domou	dom	Nmsdn		12	12	11	nmod	poss				1									
w´stávlьše	ѡ́стáвльше	ostavlъše	ostavja	Vmpa-pea	Anpnn	12	13	9	advcl							NBKM 665: <i>ostá_vlъšïi</i>							
pétkoù,	пе́ткоу̀,	petkou	Petka	Nfsay		12	14	13	obj														
sъ+	съ+	sъ	s	Si		12	15	16	case														
brátomь	брáтомь	bratomъ	brat	Nmsiy		12	16	13	obl					1									
eϋѳímïemь,	еѷѳи́мїемь,	evѳimiemъ	Evtimii	Nmsiy		12	17	16	appos														
íže	и́же	iže	iže	Pr-msn		12	18	19	mark				who afterwards became the bishop of Madytos										
i+	и+	i	i	C		12	19	20	advmod														
poslě´žde	послѣ́жде	poslěžde	poslěžde	R		12	20	23	advmod														
epsk'pь	епск͛пь	epskpъ	episkop	Nmsny		12	21	23	obl	pred													
má_ditou	мá_дитоу	maditou	Madit	Nmsdn		12	22	21	nmod	poss				1									
býstь.	бы́сть.	bistъ	sъm	Vmia3si		12	23	16	acl														
																							
í+	и́+	i	i	C		13	1	5	cc				and he did there many famous miracles										
mnógaʺ	мно́га̏	mnoga	mnog	Anpny		13	2	7	amod														
í+	и́+	i	i	C		13	3	4	cc														
prěslávnaà	прѣслáвнаà	prěslavnaa	preslaven	Anpny		13	4	2	conj					1									
sьtvóri	сьтво́ри	sъtvori	sъtvorja	Vmia3se		13	5	0	root														
támo	тáмо	tamo	tamo	R	Pr---a	13	6	5	advmod														
čjúdesa.	чю́деса.	čjudesa	čudo	Nnsnn		13	7	5	obj														
																							
í+	и́+	i	i	C		14	1	11	cc				and after his death his glorious and miraculous relics poured (like) an endless well of myrrh			Kałužniacki 1901: <i>I po sъmrьti slavnyje ego i divnyje mošti istočnikь mѵra istěkaaxou izlišьnь, rěkou mѵra velïju, istěkajuštou vь more na edino pьprište, emouže čjudesi i do seli mnozi svědětelïe prěbyvajutь, skazajušte divnaa ego čjudesa i děanïa.</i>							
po+	по+	po	po	Sl		14	2	3	case														
sьmrь´ti	сьмрь́ти	sъmrъti	smъrt	Nfsdn		14	3	11	obl	loc				1									
slávnyjè	слáвныѥ̀	slavnije	slaven	Afpny		14	4	8	amod														
egò	его̀	ego	toi	Pp3msg		14	5	8	nmod	poss													
i+	и+	i	i	C		14	6	7	cc														
dív'nïe	ди́в͛нїе	divnie	diven	Afpny		14	7	4	conj														
móšti,	мо́щи,	mošti	mošti	Nfpny		14	8	11	nsubj														
ístóčni_ka	и́сто́чни_ка	istočnika	iztočnik	Nmsgn		14	9	11	obj					1									
mϋra	мѷра	mira	miro	Nnsgn		14	10	9	nmod	poss													
ístě´kàxu	и́стѣ́кàхꙋ	istěkaxu	izteka	Vmii3pi		14	11	0	root														
ízlíšьnь.	и́зли́шьнь.	izlišъnъ	izlišen	Amsnn		14	12	9	amod														
																							
émoúže	е́моу́же	emouže	iže	Pr-nsd		15	1	2	det				while many witnesses of this miracle live until now,	1									
čjúdesy	чю́десы	čjudesi	čudo	Nnsdn		15	2	8	obl	iobj													
í+	и́+	i	i	C		15	3	5	advmod														
do+	до+	do	do	Sg		15	4	5	case														
séli	се́ли	seli	sele	R		15	5	8	advmod														
mnózïi	мно́зїи	mnozii	mnog	Ampny		15	6	7	amod														
svě´děte_lyjè	свѣ́дѣте_лыѥ̀	svědětelije	svidetel	Nmpay		15	7	9	nsubj					1									
prěbývajutь.	прѣбы́вають.	prěbivajutъ	prebivam	Vmip3pi		15	8	0	root														
skázoujušte	скáзоующе	skazoujušte	skaža	Vmpp-pia	Anpnn	15	9	8	advcl				retelling his wondrous miracles and works										
dí_vnaà	ди́_внаà	divnaa	diven	Afpny		15	10	12	amod					1									
jegò	ѥго̀	jego	toi	Pp3msg		15	11	12	nmod	poss													
čjúdesà	чю́десà	čjudesa	čudo	Nnpnn		15	12	9	obj														
í+	и́+	i	i	C		15	13	14	cc														
dějánïa..	дѣꙗ́нїа..	dějania	dejanie	Nnpnn		15	14	12	conj					1									
																							
Prěpodw´bnaà	Прѣподѡ́бнаà	prěpodobnaa	prepodoben	Afsny		16	1	11	nsubj				as the Reverend (Petka) sent her parents to the God well									4	Desert Life
oúbò,	оу́бо̀,	oubo	ubo	C		16	2	11	cc														
jáko	ꙗ́ко	jako	jako (2)	C		16	3	8	mark														
rw´diteljè	рѡ́дителѥ̀	roditelje	roditel	Nmpay		16	4	8	obj					1									
kь+	кь+	kъ	k	Sd		16	5	6	case														
bvì	бвѝ	bvi	bog	Nmsdy		16	6	8	obl	iobj													
dóbrě`	до́брѣ̀	dobrě	dobre	R		16	7	8	advmod														
wtslà.	ѿслà.	otsla	otslati	Vmia3se		16	8	11	advcl														
ápslъskomou	áпслъскомоу	apslъskomou	apostolski	Ansdy		16	9	12	amod				she staunchly desired to live as an apostle	2									
oúsrь´dno	оу́срь́дно	ousrъdno	usъrdno	R		16	10	11	advmod		192r	/img/petka/000387.jpg											
vьzrévnovà	вьзре́вновà	vъzrevnova	vъzrevnovati	Vmia3se		16	11	0	root														
žítïjù.	жи́тїю̀.	žitiju	žitie	Nnsdn		16	12	11	obl	iobj													
postó_mь	посто́_мь	postomъ	post	Nmsin		16	13	16	obl				conquering the (desires of the?) body by fasting and staying awake, by hardships and laying on the ground	1									
í+	и́+	i	i	C		16	14	15	cc														
bdě´nïemь	бдѣ́нїемь	bděniemъ	bdenie	Nnsin		16	15	13	conj														
íz'noúrajè	и́з͛ноу́раѥ̀	iznouraje	iznurja	Vmpp-sea	Amsnn	16	16	11	advcl							Miklosich: <i>iznourjati</i> 'dapanân, consumere'							
tě´lo.	тѣ́ло.	tělo	tělo	Nnsnn		16	17	16	obj														
zlò_strádanïi+	зло̀_стрáданїи+	zlostradanii	zlostradanie	Nnpin		16	18	15	conj					1									
že	же	že	že	Qd		16	19	18	cc														
í+	и́+	i	i	C		16	20	23	cc														
na+	на+	na	na	Sl		16	21	22	case														
zémlì	зе́млѝ	zemli	zemlja	Nfsdn		16	22	23	obl	loc													
lě´ganïi.	лѣ́ганїи.	lěganii	ljagane	Nnpin		16	23	18	conj					1									
																							
wt+	ѿ+	ot	ot	Sg		17	1	2	case				from now on, being engulfed by her divine desire										
soúdou+	соу́доу+	soudou	sьde	R	Pr---g	17	2	6	advmod							Cejtlin et al. 682: (otъ+) sǫdou 's obou stran'							
že	же	že	že	Qd		17	3	14	cc														
í+	и́+	i	i	C		17	4	6	amod														
bžstьvnyʺmь	бжстьвны̏мь	bžstъvnimъ	božestven	Ansiy		17	5	8	amod														
ráždeg'ši	рáждег͛ши	raždegši	raždešti	Vmpa-sea	Afsnn	17	6	14	advcl							Cejtlin et al. 566: raždešti 'roznítit, zažehnout'							
(se)	(се)	se	se	Px---a		17	7	6	expl					1									
žélanïemь.	же́ланїемь.	želaniemъ	želanie	Nnsin		17	8	6	obl														
ne+	не+	ne	ne	Qz		17	9	10	advmod				she couldn't torment herself anymore										
sьtrь´pě	сьтрь́пѣ	sъtrъpě	stъrpja	Vaia3se		17	10	14	aux														
na+	на+	na	na	Sl		17	11	12	case														
mnózě	мно́зѣ	mnozě	mnogo	R		17	12	14	advmod														
(sebe)	(себе)	sebe	se	Px---g		17	13	14	obj					1									
tómiti.	то́мити.	tomiti	tomiti	Vmn---i		17	14	0	root														
																							
nьʺ	нь̏	nъ	no	C		18	1	7	cc				and, leaving everything behind, began to run away (ʺtook a runʺ)										
vьsě´xь	вьсѣ́хь	vъsěxъ	vse	A-pgy		18	2	4	obj														
koúpno	коу́пно	koupno	kupno	R		18	3	4	advmod														
(w´stavlьši),	(ѡ́ставльши),	ostavlъši	ostavja	Vmpa-sia	Afsnn	18	4	7	advcl					1									
bě´gou+	бѣ́гоу+	běgou	běg	Nmsdn		18	5	7	obl							NBKM 665: běgu+ et'+ se							
se	се	se	se	Px---a		18	6	7	expl							Berl.d.: i+ načéna da+ bě´ga							
jetь.	ѥть.	jetъ	ęti	Vmia3si		18	7	0	root							Cejtlin et al. 808: jęti sę 'prinjatьsja za čto-l., začít něco' (cf. Lunt 2001:103)							
																							
í+	и́+	i	i	C		19	1	9	cc				and, as she reached the desert			NBKM 665: vъ pústyniʺ							
poústinjù	поу́стиню̀	poustinju	pustinja	Nfsan		19	2	3	obj														
(dostig'šiʺ),	(достиг͛ши̏),	dostigši	dostigna	Vmpa-sea	Afsnn	19	3	9	advcl					1									
támo	тáмо	tamo	tamo	R	Pr---a	19	4	9	advmod				she began to live an immaterial and angelic life there										
ne+	не+	ne	ne	Qz		19	5	6	amod														
veštéstv'nojè	веще́ств͛ноѥ̀	veštestvnoje	veštestven	Ansny		19	6	10	amod														
i+	и+	i	i	C		19	7	8	cc														
(ágglьskoje)	(áггльскоѥ)	agglъskoje	angelski	Ansny		19	8	6	conj					1									
prěbývaʺše	прѣбы́ва̏ше	prěbivaše	prebivam	Vmii3si		19	9	0	root														
žítïe.	жи́тїе.	žitie	žitie	Nnsnn		19	10	9	obj														
ničím'že	ничи́м͛že	ničimže	ničьtože	Pz---i		19	11	12	advmod				living the life of Prophet Eliah no less (severely)										
(mьnjeje)	(мьнѥѥ)	mъnjeje	mьne	Rc		19	12	15	advmod					1									
bgo_víd'ca	бго_ви́д͛ца	bgovidca	Bogovidec	Nmsgy		19	13	15	obl	abl													
ílïe	и́лїе	ilie	Ilija	Nmsgn		19	14	13	appos														
podrážavajè	подрáжаваѥ̀	podražavaje	podražavam	Vmpp-sia	Amsnn	19	15	9	advcl														
(žitelьstvo).	(жительство).	žitelъstvo	žitelьstvo	Nnsnn		19	16	15	obj					1									
ílì	и́лѝ	ili	ili	C		19	17	19	cc				or, to say it more precisely										
istíněíšejè	исти́нѣи́шеѥ̀	istiněišeje	istinno	Rc		19	18	19	advmod														
réšti,	ре́щи,	rešti	reka	Vmn---e		19	19	21	advcl														
krsti_teljà	крсти_телꙗ̀	krstitelja	Krъstitel	Nmsgy		19	20	21	obl	abl			imitating the life of (John) the Baptist	1									
podrážavajuštïi	подрáжавающїи	podražavajuštii	podražavam	Vmpp-sia	Afsny	19	21	15	conj														
žítïemь.	жи́тїемь.	žitiemъ	žitie	Nnsin		19	22	21	obl														
po_stómь	по_сто́мь	postomъ	post	Nmsin		19	23	27	obl				making herself strong by fasting and staying awake	1									
i+	и+	i	i	C		19	24	25	cc														
bděnïemь	бдѣнїемь	bděniemъ	bdenie	Nnsin		19	25	23	conj														
sébě	се́бѣ	sebě	se	Px---g		19	26	27	obj														
oúdroúčevaju_štïi..	оу́дроу́чеваю_щїи..	oudroučevajuštii	udrǫčevati	Vmpp-sia	Afsdy	19	27	15	advcl					1		Zogr.107: <i>ûdrǫ´čaǫšti</i>							
poustýn'noje+	поусты́н͛ноѥ+	poustinnoje	pustinja	Ansny		19	28	30	amod				eating the desert herbs										
že	же	že	že	Qd		19	29	31	cc														
býlïe	бы́лїе	bilie	bylie	Nnsnn		19	30	31	obj														
pričéšta_je+	приче́ща_ѥ+	pričeštaje	pričęštati	Vmpp-sia	Amsnn	19	31	27	conj					1									
se,	се,	se	se	Px---a		19	32	31	expl														
í+	и́+	i	i	C		19	33	34	amod				and even that badly and insufficiently										
seʺ	се̏	se	se (2)	Qd		19	34	30	expl														
skarédě+	скаре́дѣ+	skaredě	skarędě	R		19	35	31	advmod														
že	же	že	že	Qd		19	36	35	cc														
í+	и́+	i	i	C		19	37	38	cc														
xoúdě.	хоу́дѣ.	xoudě	xudě	R		19	38	35	conj														
stoú_denïju+	стоу́_денїю+	stoudeniju	studenь	Nfsin		19	39	43	obl				exposing herself to cold and heat as well	1		Cejtlin et al. 631: studenь 'zima, chlad, mráz'							
že	же	že	že	Qd		19	40	39	cc														
í+	и́+	i	i	C		19	41	42	cc														
znojemь	зноѥмь	znojemъ	znoi	Nmsin		19	42	39	conj							Cejtlin et al. 239: znoi 'vedro, žár'							
istávajema.	истáваѥма.	istavajema	istavati	Vmpp-si	Afsnn	19	43	31	conj	pass													
í+	и́+	i	i	C		19	44	48	cc														
kъ	къ	kъ	k	Sd		19	45	46	case				looking towards the only one capable of saving from ʺthe tempest and the stormʺ reconciled in the heart	1		Ps 55:8 NIV							
jedínomou	ѥди́номоу	jedinomou	edin	Amsdy		19	46	48	obl	iobj						CS: čaęxъ bga spsajuštago mę ot malodušia i ot buri (Ps 54:9)							
tь´čïjù	ть́чїю̀	tъčiju	tъčijǫ	R		19	47	48	advmod														
vьzýrajuštïi	вьзы́рающїи	vъzirajuštii	vziram	Vmpp-sia	Afsny	19	48	43	conj														
spsti	спсти	spsti	spasja	Vmn---e		19	49	46	acl														
mó_guštomou	мо́_гꙋщомоу	moguštomou	moga	Vapp-sia	Amsdy	19	50	49	aux					1									
wt+	ѿ+	ot	ot	Sg		19	51	52	case														
málodšïa	мáлодшїа	malodšia	malodušie	Nnsgn		19	52	49	obl	abl													
í	и́	i	i	C		19	53	54	cc														
boúre	боу́ре	boure	burja	Nfsgn		19	54	52	conj														
smě´re_nyje	смѣ́ре_ныѥ	směrenije	smirja	Vmpa-pe	Amsnn	19	55	49	obj	pass				1									
srdcémь.	срдце́мь.	srdcemъ	sъrdce	Nnsin		19	56	55	nmod														
																							
nьʺ	нь̏	nъ	no	C		20	1	10	cc				but she consumed neither the herbs nor water to (the point of) satisfaction										
nìže	нѝже	niže	niže	C		20	2	5	cc														
toʺ	то̏	to	to	Qd		20	3	5	det														
sámojè	сáмоѥ̀	samoje	sam	Ansny		20	4	5	amod														
býlïe	бы́лїе	bilie	bylie	Nnsnn		20	5	10	obj					1									
nìže	нѝже	niže	niže	C		20	6	7	cc														
vódu	во́дꙋ	vodu	voda	Nfsan		20	7	5	conj														
do+	до+	do	do	Sg		20	8	9	case														
sítosti	си́тости	sitosti	sitost	Nfsgn		20	9	10	obl														
prijemljaše,	приѥмлꙗше,	prijemljaše	priema	Vmii3si		20	10	0	root														
nьʺ	нь̏	nъ	no	C		20	11	12	cc				but only less and poorly	1									
málo	мáло	malo	malo	R		20	12	10	advmod														
í+	и́+	i	i	C		20	13	14	cc														
xoúdě	хоу́дѣ	xoudě	xudě	R		20	14	12	conj														
í+	и́+	i	i	C		20	15	16	cc				and even that only late in the evening										
seʺ	се̏	se	se (2)	Pd-nsn		20	16	12	expl														
źě´lò	ѕѣ́ло̀	źělo	zělo	R		20	17	19	amod														
kь+	кь+	kъ	k	Sd		20	18	19	case														
